,1,Min,Max,Avg
Cloud Energy,2679787.1221938836,2679787.1221938836,2679787.1221938836,2679787.1221938836,
Proxy Energy,166866.59999999995,166866.59999999995,166866.59999999995,166866.59999999995,
Router Energy,209917.35060000105,209917.35060000105,209917.35060000105,209917.35060000105,
Mobile Energy,169419.77099999986,169419.77099999986,169419.77099999986,169419.77099999986,
Execution time,419.0,419.0,419.0,419.0,
Delay_1,5.357142857142252,5.357142857142252,5.357142857142252,5.357142857142253,
Delay_2,3.1099999999999577,3.1099999999999577,3.1099999999999577,3.109999999999958,
MOTION_VIDEO_STREAM,2.9571428571427987,2.9571428571427987,2.9571428571427987,2.9571428571427987,
DETECTED_OBJECT,0.1111607142856883,0.1111607142856883,0.1111607142856883,0.1111607142856883,
OBJECT_LOCATION,1.5285714285714675,1.5285714285714675,1.5285714285714675,1.5285714285714675,
CAMERA,2.099999999999909,2.099999999999909,2.099999999999909,2.099999999999909,
Cost of execution in cloud,22381.74285713965,22381.74285713965,22381.74285713965,22381.74285713965,
Total network usage,43998.4,43998.4,43998.4,43998.4,
