,1,Min,Max,Avg
Cloud Energy,2846717.689285709,2846717.689285709,2846717.689285709,2846717.689285709,
Proxy Energy,166866.59999999995,166866.59999999995,166866.59999999995,166866.59999999995,
Router Energy,166866.59999999995,166866.59999999995,166866.59999999995,166866.59999999995,
Mobile Energy,169419.77099999986,169419.77099999986,169419.77099999986,169419.77099999986,
Execution time,387.0,387.0,387.0,387.0,
Delay_1,105.62197417265061,105.62197417265061,105.62197417265061,105.62197417265061,
Delay_2,105.12999999999995,105.12999999999995,105.12999999999995,105.12999999999995,
MOTION_VIDEO_STREAM,0.12460696778701612,0.12460696778701612,0.12460696778701612,0.12460696778701612,
DETECTED_OBJECT,0.18154761904778147,0.18154761904778147,0.18154761904778147,0.18154761904778147,
OBJECT_LOCATION,0.11398459450284171,0.11398459450284171,0.11398459450284171,0.11398459450284171,
CAMERA,2.099999999999909,2.099999999999909,2.099999999999909,2.099999999999909,
Cost of execution in cloud,259042.80000003622,259042.80000003622,259042.80000003622,259042.80000003622,
Total network usage,322943.2,322943.2,322943.2,322943.2,
