,1,Min,Max,Avg
Cloud Energy,2764539.067857062,2764539.067857062,2764539.067857062,2764539.067857062,
Proxy Energy,166866.59999999995,166866.59999999995,166866.59999999995,166866.59999999995,
Router Energy,166866.59999999995,166866.59999999995,166866.59999999995,166866.59999999995,
Mobile Energy,169419.77099999986,169419.77099999986,169419.77099999986,169419.77099999986,
Execution time,238.0,238.0,238.0,238.0,
Delay_1,105.2531250000004,105.2531250000004,105.2531250000004,105.2531250000004,
Delay_2,105.12999999999995,105.12999999999995,105.12999999999995,105.12999999999995,
MOTION_VIDEO_STREAM,0.15964285714270166,0.15964285714270166,0.15964285714270166,0.15964285714270166,
DETECTED_OBJECT,0.14464285714279868,0.14464285714279868,0.14464285714279868,0.14464285714279868,
OBJECT_LOCATION,0.13559796288179227,0.13559796288179227,0.13559796288179227,0.13559796288179227,
CAMERA,2.099999999999909,2.099999999999909,2.099999999999909,2.099999999999909,
Cost of execution in cloud,142536.400000017,142536.400000017,142536.400000017,142536.400000017,
Total network usage,161520.0,161520.0,161520.0,161520.0,
