,1,2,3,4,5,6,7,8,9,10,Min,Max,Avg
Cloud Energy,13405678.32142828,13405678.32142828,13405678.32142828,13405678.32142828,13405678.32142828,13405678.32142828,13405678.32142828,13405678.32142828,13405678.32142828,13405678.32142828,13405678.32142828,13405678.32142828,13405678.321428282,
Proxy Energy,834332.9999999987,834332.9999999987,834332.9999999987,834332.9999999987,834332.9999999987,834332.9999999987,834332.9999999987,834332.9999999987,834332.9999999987,834332.9999999987,834332.9999999987,834332.9999999987,834332.9999999987,
Router Energy,834332.9999999987,834332.9999999987,834332.9999999987,834332.9999999987,834332.9999999987,834332.9999999987,834332.9999999987,834332.9999999987,834332.9999999987,834332.9999999987,834332.9999999987,834332.9999999987,834332.9999999987,
Mobile Energy,845945.461000038,845945.461000038,845945.461000038,845945.461000038,845945.461000038,845945.461000038,845945.461000038,845945.461000038,845945.461000038,845945.461000038,845945.461000038,845945.461000038,845945.4610000382,
Execution time,679.0,707.0,640.0,634.0,629.0,643.0,678.0,654.0,623.0,668.0,623.0,707.0,657.0833333333334,
Delay_1,104.94464285714334,104.94464285714334,104.94464285714334,104.94464285714334,104.94464285714334,104.94464285714334,104.94464285714334,104.94464285714334,104.94464285714334,104.94464285714334,104.94464285714334,104.94464285714334,104.94464285714336,
Delay_2,105.13000000000072,105.13000000000072,105.13000000000072,105.13000000000072,105.13000000000072,105.13000000000072,105.13000000000072,105.13000000000072,105.13000000000072,105.13000000000072,105.13000000000072,105.13000000000072,105.13000000000072,
MOTION_VIDEO_STREAM,0.1446428571434808,0.1446428571434808,0.1446428571434808,0.1446428571434808,0.1446428571434808,0.1446428571434808,0.1446428571434808,0.1446428571434808,0.1446428571434808,0.1446428571434808,0.1446428571434808,0.1446428571434808,0.1446428571434808,
DETECTED_OBJECT,0.14464285714348074,0.14464285714348074,0.14464285714348074,0.14464285714348074,0.14464285714348074,0.14464285714348074,0.14464285714348074,0.14464285714348074,0.14464285714348074,0.14464285714348074,0.14464285714348074,0.14464285714348074,0.14464285714348077,
OBJECT_LOCATION,0.14464285714348074,0.14464285714348074,0.14464285714348074,0.14464285714348074,0.14464285714348074,0.14464285714348074,0.14464285714348074,0.14464285714348074,0.14464285714348074,0.14464285714348074,0.14464285714348074,0.14464285714348074,0.14464285714348077,
CAMERA,2.100000000000364,2.100000000000364,2.100000000000364,2.100000000000364,2.100000000000364,2.100000000000364,2.100000000000364,2.100000000000364,2.100000000000364,2.100000000000364,2.100000000000364,2.100000000000364,2.100000000000364,
Cost of execution in cloud,121468.00000002034,121468.00000002034,121468.00000002034,121468.00000002034,121468.00000002034,121468.00000002034,121468.00000002034,121468.00000002034,121468.00000002034,121468.00000002034,121468.00000002034,121468.00000002034,121468.00000002033,
Total network usage,33206.68,33206.68,33206.68,33206.68,33206.68,33206.68,33206.68,33206.68,33206.68,33206.68,33206.68,33206.68,33206.68,
