,1,Min,Max,Avg
Cloud Energy,800045527.5077057,800045527.5077057,800045527.5077057,800045527.5077057,
Proxy Energy,54614695.33224576,54614695.33224576,54614695.33224576,54614695.33224576,
Router Energy,58600635.567200795,58600635.567200795,58600635.567200795,58600635.5672008,
Mobile Energy,50777382.37124143,50777382.37124143,50777382.37124143,50777382.37124143,
Execution time,10533.0,10533.0,10533.0,10533.0,
Delay_1,7.407154316701749,7.407154316701749,7.407154316701749,7.407154316701749,
Delay_2,5.120000000002243,5.120000000002243,5.120000000002243,5.120000000002243,
MOTION_VIDEO_STREAM,2.957142857136205,2.957142857136205,2.957142857136205,2.957142857136205,
DETECTED_OBJECT,0.11116071429569274,0.11116071429569274,0.11116071429569274,0.11116071429569274,
OBJECT_LOCATION,1.5348850821300895,1.5348850821300895,1.5348850821300895,1.5348850821300895,
CAMERA,2.099999999976717,2.099999999976717,2.099999999976717,2.099999999976717,
Cost of execution in cloud,1198722.5429368545,1198722.5429368545,1198722.5429368545,1198722.5429368545,
Total network usage,11522.549,11522.549,11522.549,11522.549,
