,1,Min,Max,Avg
Cloud Energy,2693491.30217351,2693491.30217351,2693491.30217351,2693491.30217351,
App_Cloud Energy,354612.33188772877,354612.33188772877,354612.33188772877,354612.33188772877,
Proxy Energy,195907.2443600031,195907.2443600031,195907.2443600031,195907.24436000307,
App_Proxy Energy,131883.39051028175,131883.39051028175,131883.39051028175,131883.39051028175,
Router Energy,166866.59999999995,166866.59999999995,166866.59999999995,166866.59999999995,
App_Router Energy,0.0,0.0,0.0,0.0,
Mobile Energy,169419.77099999986,169419.77099999986,169419.77099999986,169419.77099999986,
App_Mobile Energy,78068.00699999923,78068.00699999923,78068.00699999923,78068.00699999923,
Execution time,240.0,240.0,240.0,240.0,
Delay_1,107.44063740755074,107.44063740755074,107.44063740755074,107.44063740755074,
Delay_2,105.11199999999992,105.11199999999992,105.11199999999992,105.11199999999992,
MOTION_VIDEO_STREAM,2.971809523809452,2.971809523809452,2.971809523809452,2.9718095238094526,
DETECTED_OBJECT,0.2795714285714439,0.2795714285714439,0.2795714285714439,0.2795714285714439,
OBJECT_LOCATION,0.19038020170226716,0.19038020170226716,0.19038020170226716,0.1903802017022672,
CAMERA,2.099999999999909,2.099999999999909,2.099999999999909,2.099999999999909,
Cost of execution in cloud,41810.453714272684,41810.453714272684,41810.453714272684,41810.453714272684,
Total network usage,21760.0,21760.0,21760.0,21760.0,
Rated_Cloud NIC Total energy,1110035.9099999995,1110035.9099999995,1110035.9099999995,1110035.9099999995,
Rated_Cloud NIC Application energy,56.99999999882266,56.99999999882266,56.99999999882266,56.99999999882266,
Rated_proxy-server NIC Total energy,153257.20319999504,153257.20319999504,153257.20319999504,153257.20319999504,
Rated_proxy-server NIC Application energy,931.7999999898603,931.7999999898603,931.7999999898603,931.7999999898603,
Rated_Router NIC Total energy,157475.0719999963,157475.0719999963,157475.0719999963,157475.0719999963,
Rated_Router NIC Application energy,9527.999999992468,9527.999999992468,9527.999999992468,9527.999999992468,
Rated_Mobile Device NIC Total energy,24302.480000000145,24302.480000000145,24302.480000000145,24302.480000000145,
Rated_Mobile Device NIC Application energy,2723.000000000445,2723.000000000445,2723.000000000445,2723.000000000445,
Measured_Cloud NIC Total energy,1109991.3740000003,1109991.3740000003,1109991.3740000003,1109991.3740000003,
Measured_Cloud NIC Application energy,12.463999999742555,12.463999999742555,12.463999999742555,12.463999999742555,
Measured_proxy-server NIC Total energy,152642.21520000172,152642.21520000172,152642.21520000172,152642.21520000172,
Measured_proxy-server NIC Application energy,316.8119999965525,316.8119999965525,316.8119999965525,316.8119999965525,
Measured_Router NIC Total energy,151186.59200000128,151186.59200000128,151186.59200000128,151186.59200000128,
Measured_Router NIC Application energy,3239.5199999974393,3239.5199999974393,3239.5199999974393,3239.5199999974393,
Measured_Mobile Device NIC Total energy,22575.31999999986,22575.31999999986,22575.31999999986,22575.31999999986,
Measured_Mobile Device NIC Application energy,995.8400000001628,995.8400000001628,995.8400000001628,995.8400000001628,
