,1,Min,Max,Avg
Cloud Energy,2669181.090051023,2669181.090051023,2669181.090051023,2669181.090051023,
App_Cloud Energy,263072.10755101836,263072.10755101836,263072.10755101836,263072.10755101836,
Proxy Energy,166866.59999999995,166866.59999999995,166866.59999999995,166866.59999999995,
App_Proxy Energy,0.0,0.0,0.0,0.0,
Router Energy,209917.35060000105,209917.35060000105,209917.35060000105,209917.35060000105,
App_Router Energy,193302.20485714206,193302.20485714206,193302.20485714206,193302.20485714206,
Mobile Energy,169419.77099999986,169419.77099999986,169419.77099999986,169419.77099999986,
App_Mobile Energy,78068.00699999923,78068.00699999923,78068.00699999923,78068.00699999923,
Execution time,218.0,218.0,218.0,218.0,
Delay_1,5.3571428571429625,5.3571428571429625,5.3571428571429625,5.357142857142963,
Delay_2,3.1099999999999577,3.1099999999999577,3.1099999999999577,3.109999999999958,
MOTION_VIDEO_STREAM,2.9571428571427987,2.9571428571427987,2.9571428571427987,2.9571428571427987,
DETECTED_OBJECT,0.1111607142856883,0.1111607142856883,0.1111607142856883,0.1111607142856883,
OBJECT_LOCATION,1.5285714285714675,1.5285714285714675,1.5285714285714675,1.5285714285714675,
CAMERA,2.099999999999909,2.099999999999909,2.099999999999909,2.099999999999909,
Cost of execution in cloud,7345.3428571420445,7345.3428571420445,7345.3428571420445,7345.3428571420445,
Total network usage,10973.6,10973.6,10973.6,10973.6,
Rated_Cloud NIC Total energy,1110000.0,1110000.0,1110000.0,1110000.0,
Rated_Cloud NIC Application energy,0.0,0.0,0.0,0.0,
Rated_proxy-server NIC Total energy,153026.68799999982,153026.68799999982,153026.68799999982,153026.68799999982,
Rated_proxy-server NIC Application energy,461.999999999631,461.999999999631,461.999999999631,461.999999999631,
Rated_Router NIC Total energy,153138.55999999974,153138.55999999974,153138.55999999974,153138.55999999974,
Rated_Router NIC Application energy,689.9999999994407,689.9999999994407,689.9999999994407,689.9999999994407,
Rated_Mobile Device NIC Total energy,24302.480000000145,24302.480000000145,24302.480000000145,24302.480000000145,
Rated_Mobile Device NIC Application energy,2723.000000000445,2723.000000000445,2723.000000000445,2723.000000000445,
Measured_Cloud NIC Total energy,1110000.0,1110000.0,1110000.0,1110000.0,
Measured_Cloud NIC Application energy,0.0,0.0,0.0,0.0,
Measured_proxy-server NIC Total energy,152721.76800000007,152721.76800000007,152721.76800000007,152721.76800000007,
Measured_proxy-server NIC Application energy,157.07999999987453,157.07999999987453,157.07999999987453,157.07999999987453,
Measured_Router NIC Total energy,152683.1600000001,152683.1600000001,152683.1600000001,152683.1600000001,
Measured_Router NIC Application energy,234.59999999980982,234.59999999980982,234.59999999980982,234.59999999980982,
Measured_Mobile Device NIC Total energy,22575.31999999986,22575.31999999986,22575.31999999986,22575.31999999986,
Measured_Mobile Device NIC Application energy,995.8400000001628,995.8400000001628,995.8400000001628,995.8400000001628,
