,1,Min,Max,Avg
Cloud Energy,2669181.132372451,2669181.132372451,2669181.132372451,2669181.132372451,
App_Cloud Energy,263076.145872447,263076.145872447,263076.145872447,263076.145872447,
Proxy Energy,182190.48740405854,182190.48740405854,182190.48740405854,182190.48740405854,
App_Proxy Energy,70366.19418493951,70366.19418493951,70366.19418493951,70366.19418493951,
Router Energy,195508.36067999766,195508.36067999766,195508.36067999766,195508.36067999768,
App_Router Energy,130044.20969142858,130044.20969142858,130044.20969142858,130044.20969142858,
Mobile Energy,169419.77099999986,169419.77099999986,169419.77099999986,169419.77099999986,
App_Mobile Energy,78068.00699999923,78068.00699999923,78068.00699999923,78068.00699999923,
Execution time,207.0,207.0,207.0,207.0,
Delay_1,7.3606376891841405,7.3606376891841405,7.3606376891841405,7.3606376891841405,
Delay_2,5.110999999999937,5.110999999999937,5.110999999999937,5.110999999999937,
MOTION_VIDEO_STREAM,2.9571428571427987,2.9571428571427987,2.9571428571427987,2.9571428571427987,
DETECTED_OBJECT,0.1111607142856883,0.1111607142856883,0.1111607142856883,0.1111607142856883,
OBJECT_LOCATION,1.52933894162488,1.52933894162488,1.52933894162488,1.5293389416248797,
CAMERA,2.099999999999909,2.099999999999909,2.099999999999909,2.099999999999909,
Cost of execution in cloud,7345.402857142046,7345.402857142046,7345.402857142046,7345.402857142046,
Total network usage,11130.7,11130.7,11130.7,11130.700000000003,
Rated_Cloud NIC Total energy,1110000.0,1110000.0,1110000.0,1110000.0,
Rated_Cloud NIC Application energy,0.0,0.0,0.0,0.0,
Rated_proxy-server NIC Total energy,153029.48479999977,153029.48479999977,153029.48479999977,153029.48479999977,
Rated_proxy-server NIC Application energy,467.69999999951324,467.69999999951324,467.69999999951324,467.69999999951324,
Rated_Router NIC Total energy,153367.01439999498,153367.01439999498,153367.01439999498,153367.01439999498,
Rated_Router NIC Application energy,1155.5999999897522,1155.5999999897522,1155.5999999897522,1155.5999999897522,
Rated_Mobile Device NIC Total energy,24302.480000000145,24302.480000000145,24302.480000000145,24302.480000000145,
Rated_Mobile Device NIC Application energy,2723.000000000445,2723.000000000445,2723.000000000445,2723.000000000445,
Measured_Cloud NIC Total energy,1110000.0,1110000.0,1110000.0,1110000.0,
Measured_Cloud NIC Application energy,0.0,0.0,0.0,0.0,
Measured_proxy-server NIC Total energy,152720.8028000001,152720.8028000001,152720.8028000001,152720.8028000001,
Measured_proxy-server NIC Application energy,159.0179999998345,159.0179999998345,159.0179999998345,159.0179999998345,
Measured_Router NIC Total energy,152604.31840000174,152604.31840000174,152604.31840000174,152604.31840000174,
Measured_Router NIC Application energy,392.9039999965158,392.9039999965158,392.9039999965158,392.9039999965158,
Measured_Mobile Device NIC Total energy,22575.31999999986,22575.31999999986,22575.31999999986,22575.31999999986,
Measured_Mobile Device NIC Application energy,995.8400000001628,995.8400000001628,995.8400000001628,995.8400000001628,
