,1,Min,Max,Avg
Cloud Energy,2668323.2750000013,2668323.2750000013,2668323.2750000013,2668323.2750000013,
App_Cloud Energy,355492.9442857138,355492.9442857138,355492.9442857138,355492.9442857138,
Proxy Energy,166866.59999999995,166866.59999999995,166866.59999999995,166866.59999999995,
App_Proxy Energy,0.0,0.0,0.0,0.0,
Router Energy,166866.59999999995,166866.59999999995,166866.59999999995,166866.59999999995,
App_Router Energy,0.0,0.0,0.0,0.0,
Mobile Energy,169339.3490000008,169339.3490000008,169339.3490000008,169339.3490000008,
App_Mobile Energy,76685.03299999931,76685.03299999931,76685.03299999931,76685.03299999931,
Execution time,119.0,119.0,119.0,119.0,
Delay_1,4.29999999999989,4.29999999999989,4.29999999999989,4.29999999999989,
Delay_2,1.0999999999999661,1.0999999999999661,1.0999999999999661,1.0999999999999661,
MOTION_VIDEO_STREAM,4.099999999999909,4.099999999999909,4.099999999999909,4.099999999999909,
DETECTED_OBJECT,0.1111607142856883,0.1111607142856883,0.1111607142856883,0.1111607142856883,
OBJECT_LOCATION,2.099999999999909,2.099999999999909,2.099999999999909,2.099999999999909,
CAMERA,2.099999999999909,2.099999999999909,2.099999999999909,2.099999999999909,
Cost of execution in cloud,6129.19999999979,6129.19999999979,6129.19999999979,6129.19999999979,
Total network usage,1976.0,1976.0,1976.0,1976.0,
Total network Energy,7367.683200000007,7367.683200000007,7367.683200000007,7367.683200000007,
Total networking Time,4.56,4.56,4.56,4.56,
cloud South Link Total Energy,200000.0,200000.0,200000.0,200000.0,
cloud Active Energy of South Link,0.0,0.0,0.0,0.0,
Proxy North Link Total Energy,200037.99999999997,200037.99999999997,200037.99999999997,200037.99999999997,
Proxy Active Energy of North Link,75.99999999993656,75.99999999993656,75.99999999993656,75.99999999993656,
Proxy South Link Total Energy,200000.0,200000.0,200000.0,200000.0,
Proxy Active Energy of South Link,0.0,0.0,0.0,0.0,
Router North Link Total Energy,200037.99999999997,200037.99999999997,200037.99999999997,200037.99999999997,
Router Active nergy of North Link,75.99999999993656,75.99999999993656,75.99999999993656,75.99999999993656,
Router South Link Total Energy,1640.0,1640.0,1640.0,1640.0,
Router Active Energy of South Link,0.0,0.0,0.0,0.0,
Mobile North Link Total Energy,1640.0,1640.0,1640.0,1640.0,
Mobile Active Energy of North Link,0.0,0.0,0.0,0.0,
