,1,Min,Max,Avg
cloud Flow-based Total Idle Networking Energy,210.3299999956556,210.3299999956556,210.3299999956556,210.3299999956556,
cloud Flow-based Total Active Networking Energy,23.34665334617112,23.34665334617112,23.34665334617112,23.34665334617112,
cloud Flow-based Total Device Networking Energy,233.67665334182672,233.67665334182672,233.67665334182672,233.67665334182672,
proxy-server Flow-based Total Idle Networking Energy,12719.069999861593,12719.069999861593,12719.069999861593,12719.069999861595,
proxy-server Flow-based Total Active Networking Energy,706.6149999923108,706.6149999923108,706.6149999923108,706.6149999923108,
proxy-server Flow-based Total Device Networking Energy,13425.684999853904,13425.684999853904,13425.684999853904,13425.684999853904,
d-0 Flow-based Total Idle Networking Energy,130057.19999989719,130057.19999989719,130057.19999989719,130057.1999998972,
d-0 Flow-based Total Active Networking Energy,12869.054545444405,12869.054545444405,12869.054545444405,12869.054545444405,
d-0 Flow-based Total Device Networking Energy,142926.2545453416,142926.2545453416,142926.2545453416,142926.2545453416,
m-0-0 Flow-based Total Idle Networking Energy,5600.0,5600.0,5600.0,5600.0,
m-0-0 Flow-based Total Active Networking Energy,140.04000000002287,140.04000000002287,140.04000000002287,140.04000000002287,
m-0-0 Flow-based Total Device Networking Energy,5740.040000000023,5740.040000000023,5740.040000000023,5740.040000000023,
Cloud Energy,2693491.30217351,2693491.30217351,2693491.30217351,2693491.30217351,
App_Cloud Energy,354612.33188772877,354612.33188772877,354612.33188772877,354612.33188772877,
Proxy Energy,195907.2443600031,195907.2443600031,195907.2443600031,195907.24436000307,
App_Proxy Energy,131883.39051028175,131883.39051028175,131883.39051028175,131883.39051028175,
Router Energy,166866.59999999995,166866.59999999995,166866.59999999995,166866.59999999995,
App_Router Energy,0.0,0.0,0.0,0.0,
Mobile Energy,169419.77099999986,169419.77099999986,169419.77099999986,169419.77099999986,
App_Mobile Energy,78068.00699999923,78068.00699999923,78068.00699999923,78068.00699999923,
Execution time,209.0,209.0,209.0,209.0,
Delay_1,107.44063740755074,107.44063740755074,107.44063740755074,107.44063740755074,
Delay_2,105.11199999999992,105.11199999999992,105.11199999999992,105.11199999999992,
MOTION_VIDEO_STREAM,2.971809523809452,2.971809523809452,2.971809523809452,2.9718095238094526,
DETECTED_OBJECT,0.2795714285714439,0.2795714285714439,0.2795714285714439,0.2795714285714439,
OBJECT_LOCATION,0.19038020170226716,0.19038020170226716,0.19038020170226716,0.1903802017022672,
CAMERA,2.099999999999909,2.099999999999909,2.099999999999909,2.099999999999909,
Cost of execution in cloud,41810.453714272684,41810.453714272684,41810.453714272684,41810.453714272684,
Total network usage,21760.0,21760.0,21760.0,21760.0,
Rated_Cloud NIC Total energy,1110035.9099999995,1110035.9099999995,1110035.9099999995,1110035.9099999995,
Rated_Cloud NIC Application energy,56.99999999882266,56.99999999882266,56.99999999882266,56.99999999882266,
Rated_proxy-server NIC Total energy,153257.20319999504,153257.20319999504,153257.20319999504,153257.20319999504,
Rated_proxy-server NIC Application energy,931.7999999898603,931.7999999898603,931.7999999898603,931.7999999898603,
Rated_Router NIC Total energy,157475.0719999963,157475.0719999963,157475.0719999963,157475.0719999963,
Rated_Router NIC Application energy,9527.999999992468,9527.999999992468,9527.999999992468,9527.999999992468,
Rated_Mobile Device NIC Total energy,24302.480000000145,24302.480000000145,24302.480000000145,24302.480000000145,
Rated_Mobile Device NIC Application energy,2723.000000000445,2723.000000000445,2723.000000000445,2723.000000000445,
Measured_Cloud NIC Total energy,1109991.3740000003,1109991.3740000003,1109991.3740000003,1109991.3740000003,
Measured_Cloud NIC Application energy,12.463999999742555,12.463999999742555,12.463999999742555,12.463999999742555,
Measured_proxy-server NIC Total energy,152642.21520000172,152642.21520000172,152642.21520000172,152642.21520000172,
Measured_proxy-server NIC Application energy,316.8119999965525,316.8119999965525,316.8119999965525,316.8119999965525,
Measured_Router NIC Total energy,151186.59200000128,151186.59200000128,151186.59200000128,151186.59200000128,
Measured_Router NIC Application energy,3239.5199999974393,3239.5199999974393,3239.5199999974393,3239.5199999974393,
Measured_Mobile Device NIC Total energy,22575.31999999986,22575.31999999986,22575.31999999986,22575.31999999986,
Measured_Mobile Device NIC Application energy,995.8400000001628,995.8400000001628,995.8400000001628,995.8400000001628,
