,1,Min,Max,Avg
cloud Flow-based Total Idle Networking Energy,0.0,0.0,0.0,0.0,
cloud Flow-based Total Active Networking Energy,0.0,0.0,0.0,0.0,
cloud Flow-based Total Device Networking Energy,0.0,0.0,0.0,0.0,
proxy-server Flow-based Total Idle Networking Energy,6384.104999993356,6384.104999993356,6384.104999993356,6384.104999993356,
proxy-server Flow-based Total Active Networking Energy,354.6724999996309,354.6724999996309,354.6724999996309,354.6724999996309,
proxy-server Flow-based Total Device Networking Energy,6738.777499992986,6738.777499992986,6738.777499992986,6738.777499992986,
d-0 Flow-based Total Idle Networking Energy,130220.99999989728,130220.99999989728,130220.99999989728,130220.99999989728,
d-0 Flow-based Total Active Networking Energy,12870.709090898952,12870.709090898952,12870.709090898952,12870.709090898954,
d-0 Flow-based Total Device Networking Energy,143091.70909079624,143091.70909079624,143091.70909079624,143091.70909079624,
m-0-0 Flow-based Total Idle Networking Energy,5600.0,5600.0,5600.0,5600.0,
m-0-0 Flow-based Total Active Networking Energy,140.04000000002287,140.04000000002287,140.04000000002287,140.04000000002287,
m-0-0 Flow-based Total Device Networking Energy,5740.040000000023,5740.040000000023,5740.040000000023,5740.040000000023,
Cloud Energy,2669181.936479594,2669181.936479594,2669181.936479594,2669181.936479594,
App_Cloud Energy,263152.8739795898,263152.8739795898,263152.8739795898,263152.8739795898,
Proxy Energy,210475.1730340032,210475.1730340032,210475.1730340032,210475.1730340032,
App_Proxy Energy,195806.88375142918,195806.88375142918,195806.88375142918,195806.88375142918,
Router Energy,166866.59999999995,166866.59999999995,166866.59999999995,166866.59999999995,
App_Router Energy,0.0,0.0,0.0,0.0,
Mobile Energy,169419.77099999986,169419.77099999986,169419.77099999986,169419.77099999986,
App_Mobile Energy,78068.00699999923,78068.00699999923,78068.00699999923,78068.00699999923,
Execution time,212.0,212.0,212.0,212.0,
Delay_1,7.437142857143002,7.437142857143002,7.437142857143002,7.437142857143002,
Delay_2,5.110999999999937,5.110999999999937,5.110999999999937,5.110999999999937,
MOTION_VIDEO_STREAM,2.971809523809452,2.971809523809452,2.971809523809452,2.9718095238094526,
DETECTED_OBJECT,0.1111607142856883,0.1111607142856883,0.1111607142856883,0.1111607142856883,
OBJECT_LOCATION,1.5285714285714675,1.5285714285714675,1.5285714285714675,1.5285714285714675,
CAMERA,2.099999999999909,2.099999999999909,2.099999999999909,2.099999999999909,
Cost of execution in cloud,7346.542857142045,7346.542857142045,7346.542857142045,7346.542857142045,
Total network usage,13925.5,13925.5,13925.5,13925.5,
Rated_Cloud NIC Total energy,1110000.0,1110000.0,1110000.0,1110000.0,
Rated_Cloud NIC Application energy,0.0,0.0,0.0,0.0,
Rated_proxy-server NIC Total energy,153029.48479999977,153029.48479999977,153029.48479999977,153029.48479999977,
Rated_proxy-server NIC Application energy,467.69999999951324,467.69999999951324,467.69999999951324,467.69999999951324,
Rated_Router NIC Total energy,157480.95999999632,157480.95999999632,157480.95999999632,157480.95999999632,
Rated_Router NIC Application energy,9539.999999992475,9539.999999992475,9539.999999992475,9539.999999992475,
Rated_Mobile Device NIC Total energy,24302.480000000145,24302.480000000145,24302.480000000145,24302.480000000145,
Rated_Mobile Device NIC Application energy,2723.000000000445,2723.000000000445,2723.000000000445,2723.000000000445,
Measured_Cloud NIC Total energy,1110000.0,1110000.0,1110000.0,1110000.0,
Measured_Cloud NIC Application energy,0.0,0.0,0.0,0.0,
Measured_proxy-server NIC Total energy,152720.8028000001,152720.8028000001,152720.8028000001,152720.8028000001,
Measured_proxy-server NIC Application energy,159.0179999998345,159.0179999998345,159.0179999998345,159.0179999998345,
Measured_Router NIC Total energy,151184.56000000128,151184.56000000128,151184.56000000128,151184.56000000128,
Measured_Router NIC Application energy,3243.5999999974415,3243.5999999974415,3243.5999999974415,3243.5999999974415,
Measured_Mobile Device NIC Total energy,22575.31999999986,22575.31999999986,22575.31999999986,22575.31999999986,
Measured_Mobile Device NIC Application energy,995.8400000001628,995.8400000001628,995.8400000001628,995.8400000001628,
