Scenario,Edge_20msec,Router_only_20msec,Router_Proxy_20msec,Router_Cloud_20msec,Proxy_Only_20msec,Proxy_Cloud_20msec,Cloud_Only_20msec,Cloud_Based_20msec,Edge_15msec,Router_only_15msec,Router_Proxy_15msec,Router_Cloud_15msec,Proxy_Only_15msec,Proxy_Cloud_15msec,Cloud_Only_15msec,Cloud_Based_15msec,Edge_10msec,Router_only_10msec,Router_Proxy_10msec,Router_Cloud_10msec,Proxy_Only_10msec,Proxy_Cloud_10msec,Cloud_Only_10msec,Cloud_Based_10msec,Router_only_5msec,Router_Proxy_5msec,Router_Cloud_5msec,Proxy_Only_5msec,Proxy_Cloud_5msec,Cloud_Only_5msec,Edge_2*cmp_20msec,Router_only_2*cmp_20msec,Router_Proxy_2*cmp_20msec,Router_Cloud_2*cmp_20msec,Proxy_Only_2*cmp_20msec,Proxy_Cloud_2*cmp_20msec,Cloud_Only_2*cmp_20msec,Cloud_Based_2*cmp_20msec,Edge_2*nw_20msec,Router_only_2*nw_20msec,Router_Proxy_2*nw_20msec,Router_Cloud_2*nw_20msec,Proxy_Only_2*nw_20msec,Proxy_Cloud_2*nw_20msec,Cloud_Only_2*nw_20msec,Cloud_Based_2*nw_20msec,Edge_2*cmp_2*nw_20msec,Router_only_2*cmp_2*nw_20msec,Router_Proxy_2*cmp_2*nw_20msec,Router_Cloud_2*cmp_2*nw_20msec,Proxy_Only_2*cmp_2*nw_20msec,Proxy_Cloud_2*cmp_2*nw_20msec,Cloud_Only_2*cmp_2*nw_20msec,Cloud_Based_2*cmp_2*nw_20msec
Cloud Computation Energy (j),36.27,36.27,36.27,355.9,36.27,349.7,892.08,1744.06,48.36,48.36,48.36,474.74,48.36,466.47,1188.86,2324.36,72.54,72.54,72.54,712.11,72.54,699.71,1784.17,3488.12,145.27,145.27,1424.74,145.27,1399.91,3568.48,39.91,39.91,39.91,530.85,39.91,524.65,1358.66,2326.66,36.27,36.27,36.27,373.52,36.27,361.12,770.62,31064.8,39.91,39.91,39.91,548.47,39.91,536.07,1455.99,2557.87
Proxy Computation Energy (j),0,0,164.17,0,485.99,322.57,0,0,0,0,219.05,0,648.46,430.41,0,0,0,0,328.5,0,972.46,645.45,0,0,0,657.16,0,1945.39,1291.22,0,0,0,316.9,0,944.17,628.02,0,0,0,0,164.91,0,492.41,328.99,0,0,0,0,317.64,0,950.59,634.45,0,0
Router Computation Energy (j),0,480.05,316.46,316.46,0,0,0,0,0,639.9,421.85,421.85,0,0,0,0,0,960.1,632.93,632.93,0,0,0,0,1920.19,1265.86,1265.86,0,0,0,0,937.75,621.6,621.6,0,0,0,0,0,479.88,316.46,316.46,0,0,0,0,0,937.75,621.6,621.6,0,0,0,0
M_0 Computation Energy (j),724.32,183.26,183.26,183.26,183.26,183.26,183.26,0,965.52,244.29,244.29,244.29,244.29,244.29,244.29,0,1448.64,366.52,366.52,366.52,366.52,366.52,366.52,0,733.23,733.23,733.23,733.23,733.23,733.23,1735.59,357.8,357.8,357.8,357.8,357.8,357.8,0,724.32,183.26,183.26,183.26,183.26,183.26,183.26,0,1735.59,357.8,357.8,357.8,357.8,357.8,357.8,0
M_1 Computation Energy (j),724.32,183.26,183.26,183.26,183.26,183.26,183.26,0,965.52,244.29,244.29,244.29,244.29,244.29,244.29,0,1448.64,366.52,366.52,366.52,366.52,366.52,366.52,0,733.23,733.23,733.23,733.23,733.23,733.23,1735.59,357.8,357.8,357.8,357.8,357.8,357.8,0,724.32,183.26,183.26,183.26,183.26,183.26,183.26,0,1735.59,357.8,357.8,357.8,357.8,357.8,357.8,0
M_2 Computation Energy (j),724.32,183.26,183.26,183.26,183.26,183.26,183.26,0,965.52,244.29,244.29,244.29,244.29,244.29,244.29,0,1448.64,366.52,366.52,366.52,366.52,366.52,366.52,0,733.23,733.23,733.23,733.23,733.23,733.23,1735.59,357.8,357.8,357.8,357.8,357.8,357.8,0,724.32,183.26,183.26,183.26,183.26,183.26,183.26,0,1735.59,357.8,357.8,357.8,357.8,357.8,357.8,0
M_3 Computation Energy (j),724.32,183.26,183.26,183.26,183.26,183.26,183.26,0,965.52,244.29,244.29,244.29,244.29,244.29,244.29,0,1448.64,366.52,366.52,366.52,366.52,366.52,366.52,0,733.23,733.23,733.23,733.23,733.23,733.23,1735.59,357.8,357.8,357.8,357.8,357.8,357.8,0,724.32,183.26,183.26,183.26,183.26,183.26,183.26,0,1735.59,357.8,357.8,357.8,357.8,357.8,357.8,0
Cloud Networking Energy (j),0,0,0,2.45,0,2.45,2.45,2.45,0,0,0,2.45,0,2.45,2.45,2.45,0,0,0,2.45,0,2.45,2.45,2.45,0,0,2.45,0,2.45,2.45,0,0,0,2.45,0,2.45,2.45,2.45,0,0,0,4.89,0,4.89,4.89,4.89,0,0,0,4.89,0,4.89,4.89,4.89
Proxy Networking Energy (j),17.2,17.2,18.06,35.28,18.06,35.28,345.62,3448.48,22.91,22.91,23.77,46.74,23.77,46.74,460.42,4596.54,34.41,34.41,35.27,69.72,35.27,69.72,690.38,6896.11,68.9,69.76,138.69,69.76,138.69,1379.91,17.2,17.2,18.06,35.28,18.06,35.28,345.62,3448.48,34.41,34.41,36.13,70.56,36.13,70.56,691.24,6891.02,34.41,34.41,36.13,70.56,36.13,70.56,691.24,6891.02
Router Networking Energy (j),17.94,50.87,68.85,68.68,392.53,392.37,392.37,3628.85,23.9,56.82,80.79,80.62,512.28,512.12,512.12,4826.34,35.89,68.81,104.78,104.61,752.14,751.98,751.98,7224.94,104.79,176.71,176.55,1471.36,1471.2,1471.2,17.94,50.87,68.83,68.67,392.53,392.37,392.37,3628.85,35.89,101.74,137.7,137.37,785.07,784.74,784.74,7257.7,35.89,101.74,137.66,137.33,785.07,784.74,784.74,7257.7
