,1,Min,Max,Avg
Cloud Energy,2670773.9698724523,2670773.9698724523,2670773.9698724523,2670773.9698724523,
App_Cloud Energy,259803.02087244566,259803.02087244566,259803.02087244566,259803.02087244566,
Proxy Energy,191626.16964705836,191626.16964705836,191626.16964705836,191626.16964705836,
App_Proxy Energy,112685.68133779272,112685.68133779272,112685.68133779272,112685.68133779272,
Router Energy,214252.47853999955,214252.47853999955,214252.47853999955,214252.47853999955,
App_Router Energy,214159.51000571385,214159.51000571385,214159.51000571385,214159.51000571382,
Mobile Energy,172104.74599999972,172104.74599999972,172104.74599999972,172104.74599999972,
App_Mobile Energy,124240.08199999873,124240.08199999873,124240.08199999873,124240.08199999873,
Execution time,226.0,226.0,226.0,226.0,
Delay_1,10.378671650054844,10.378671650054844,10.378671650054844,10.378671650054844,
Delay_2,5.101999999999925,5.101999999999925,5.101999999999925,5.101999999999925,
MOTION_VIDEO_STREAM,6.0,6.0,6.0,6.0,
DETECTED_OBJECT,0.1111607142856883,0.1111607142856883,0.1111607142856883,0.1111607142856883,
OBJECT_LOCATION,1.5293048954193151,1.5293048954193151,1.5293048954193151,1.5293048954193151,
CAMERA,2.099999999999909,2.099999999999909,2.099999999999909,2.099999999999909,
Cost of execution in cloud,9603.602857141514,9603.602857141514,9603.602857141514,9603.602857141514,
Total network usage,18609.9,18609.9,18609.9,18609.9,
Total network Energy,90121.6090799962,90121.6090799962,90121.6090799962,90121.6090799962,
Total networking Time,526.2389999999529,526.2389999999529,526.2389999999529,526.2389999999529,
cloud South Link Total Energy,200000.0,200000.0,200000.0,200000.0,
cloud Active Energy of South Link,0.0,0.0,0.0,0.0,
Proxy North Link Total Energy,200257.9999999998,200257.9999999998,200257.9999999998,200257.9999999998,
Proxy Active Energy of North Link,515.9999999995875,515.9999999995875,515.9999999995875,515.9999999995875,
Proxy South Link Total Energy,200001.89999999997,200001.89999999997,200001.89999999997,200001.9,
Proxy Active Energy of South Link,3.7999999999215106,3.7999999999215106,3.7999999999215106,3.7999999999215106,
Router North Link Total Energy,200516.3999999944,200516.3999999944,200516.3999999944,200516.3999999944,
Router Active nergy of North Link,1032.7999999888164,1032.7999999888164,1032.7999999888164,1032.7999999888164,
Router South Link Total Energy,1640.3723999999922,1640.3723999999922,1640.3723999999922,1640.3723999999922,
Router Active Energy of South Link,0.4347199999910208,0.4347199999910208,0.4347199999910208,0.4347199999910208,
Mobile North Link Total Energy,2275.0400000001036,2275.0400000001036,2275.0400000001036,2275.0400000001036,
Mobile Active Energy of North Link,741.3120000001211,741.3120000001211,741.3120000001211,741.3120000001212,
