,1,Min,Max,Avg
Cloud Energy,2696943.8222448956,2696943.8222448956,2696943.8222448956,2696943.8222448956,
App_Cloud Energy,373502.20867344516,373502.20867344516,373502.20867344516,373502.2086734452,
Proxy Energy,200901.82811000216,200901.82811000216,200901.82811000216,200901.82811000213,
App_Proxy Energy,154313.8652942877,154313.8652942877,154313.8652942877,154313.8652942877,
Router Energy,166866.59999999995,166866.59999999995,166866.59999999995,166866.59999999995,
App_Router Energy,0.0,0.0,0.0,0.0,
Mobile Energy,169419.77099999986,169419.77099999986,169419.77099999986,169419.77099999986,
App_Mobile Energy,78068.00699999923,78068.00699999923,78068.00699999923,78068.00699999923,
Execution time,204.0,204.0,204.0,204.0,
Delay_1,108.19208836123072,108.19208836123072,108.19208836123072,108.19208836123072,
Delay_2,105.12999999999995,105.12999999999995,105.12999999999995,105.12999999999995,
MOTION_VIDEO_STREAM,3.103809523809499,3.103809523809499,3.103809523809499,3.103809523809499,
DETECTED_OBJECT,0.15464285714278958,0.15464285714278958,0.15464285714278958,0.15464285714278958,
OBJECT_LOCATION,0.19647661758641982,0.19647661758641982,0.19647661758641982,0.1964766175864198,
CAMERA,2.099999999999909,2.099999999999909,2.099999999999909,2.099999999999909,
Cost of execution in cloud,46705.165714278686,46705.165714278686,46705.165714278686,46705.16571427868,
Total network usage,21760.0,21760.0,21760.0,21760.0,
Total network Energy,637792.4004000359,637792.4004000359,637792.4004000359,637792.4004000359,
Total networking Time,653.5699999999999,653.5699999999999,653.5699999999999,653.5699999999999,
