,1,Min,Max,Avg
Cloud Energy,2669186.168622451,2669186.168622451,2669186.168622451,2669186.168622451,
App_Cloud Energy,263556.706122447,263556.706122447,263556.706122447,263556.706122447,
Proxy Energy,166866.59999999995,166866.59999999995,166866.59999999995,166866.59999999995,
App_Proxy Energy,0.0,0.0,0.0,0.0,
Router Energy,209917.35060000105,209917.35060000105,209917.35060000105,209917.35060000105,
App_Router Energy,193302.20485714206,193302.20485714206,193302.20485714206,193302.20485714206,
Mobile Energy,169419.77099999986,169419.77099999986,169419.77099999986,169419.77099999986,
App_Mobile Energy,78068.00699999923,78068.00699999923,78068.00699999923,78068.00699999923,
Execution time,173.0,173.0,173.0,173.0,
Delay_1,5.3571428571429625,5.3571428571429625,5.3571428571429625,5.357142857142963,
Delay_2,3.1099999999999577,3.1099999999999577,3.1099999999999577,3.109999999999958,
MOTION_VIDEO_STREAM,2.9571428571427987,2.9571428571427987,2.9571428571427987,2.9571428571427987,
DETECTED_OBJECT,0.1111607142856883,0.1111607142856883,0.1111607142856883,0.1111607142856883,
OBJECT_LOCATION,1.5285714285714675,1.5285714285714675,1.5285714285714675,1.5285714285714675,
CAMERA,2.099999999999909,2.099999999999909,2.099999999999909,2.099999999999909,
Cost of execution in cloud,7352.542857142045,7352.542857142045,7352.542857142045,7352.542857142045,
Total network usage,10973.6,10973.6,10973.6,10973.6,
Total network Energy,42634.02720000091,42634.02720000091,42634.02720000091,42634.02720000091,
Total networking Time,342.75999999998874,342.75999999998874,342.75999999998874,342.7599999999887,
