,1,Min,Max,Avg
cloud Flow-based Total Idle Networking Energy,210.3299999956556,210.3299999956556,210.3299999956556,210.3299999956556,
cloud Flow-based Total Active Networking Energy,23.34665334617112,23.34665334617112,23.34665334617112,23.34665334617112,
cloud Flow-based Total Device Networking Energy,233.67665334182672,233.67665334182672,233.67665334182672,233.67665334182672,
proxy-server Flow-based Total Idle Networking Energy,127182.50999989778,127182.50999989778,127182.50999989778,127182.50999989778,
proxy-server Flow-based Total Active Networking Energy,7065.694999994321,7065.694999994321,7065.694999994321,7065.694999994321,
proxy-server Flow-based Total Device Networking Energy,134248.2049998921,134248.2049998921,134248.2049998921,134248.2049998921,
d-0 Flow-based Total Idle Networking Energy,130057.19999989719,130057.19999989719,130057.19999989719,130057.1999998972,
d-0 Flow-based Total Active Networking Energy,12869.054545444405,12869.054545444405,12869.054545444405,12869.054545444405,
d-0 Flow-based Total Device Networking Energy,142926.2545453416,142926.2545453416,142926.2545453416,142926.2545453416,
m-0-0 Flow-based Total Idle Networking Energy,5600.0,5600.0,5600.0,5600.0,
m-0-0 Flow-based Total Active Networking Energy,140.04000000002287,140.04000000002287,140.04000000002287,140.04000000002287,
m-0-0 Flow-based Total Device Networking Energy,5740.040000000023,5740.040000000023,5740.040000000023,5740.040000000023,
Cloud Energy,2734317.787142841,2734317.787142841,2734317.787142841,2734317.787142841,
App_Cloud Energy,554112.5557142599,554112.5557142599,554112.5557142599,554112.5557142599,
Proxy Energy,166866.59999999995,166866.59999999995,166866.59999999995,166866.59999999995,
App_Proxy Energy,0.0,0.0,0.0,0.0,
Router Energy,166866.59999999995,166866.59999999995,166866.59999999995,166866.59999999995,
App_Router Energy,0.0,0.0,0.0,0.0,
Mobile Energy,169419.77099999986,169419.77099999986,169419.77099999986,169419.77099999986,
App_Mobile Energy,78068.00699999923,78068.00699999923,78068.00699999923,78068.00699999923,
Execution time,313.0,313.0,313.0,313.0,
Delay_1,104.77857142857323,104.77857142857323,104.77857142857323,104.77857142857323,
Delay_2,105.11199999999992,105.11199999999992,105.11199999999992,105.11199999999992,
MOTION_VIDEO_STREAM,0.2932380952381209,0.2932380952381209,0.2932380952381209,0.2932380952381209,
DETECTED_OBJECT,0.27857142857146755,0.27857142857146755,0.27857142857146755,0.27857142857146755,
OBJECT_LOCATION,0.1893061501833862,0.1893061501833862,0.1893061501833862,0.18930615018338623,
CAMERA,2.099999999999909,2.099999999999909,2.099999999999909,2.099999999999909,
Cost of execution in cloud,99691.03999999451,99691.03999999451,99691.03999999451,99691.03999999451,
Total network usage,161520.0,161520.0,161520.0,161520.0,
Rated_Cloud NIC Total energy,1110035.9099999995,1110035.9099999995,1110035.9099999995,1110035.9099999995,
Rated_Cloud NIC Application energy,56.99999999882266,56.99999999882266,56.99999999882266,56.99999999882266,
Rated_proxy-server NIC Total energy,157371.73759999636,157371.73759999636,157371.73759999636,157371.73759999636,
Rated_proxy-server NIC Application energy,9317.39999999251,9317.39999999251,9317.39999999251,9317.39999999251,
Rated_Router NIC Total energy,157475.0719999963,157475.0719999963,157475.0719999963,157475.0719999963,
Rated_Router NIC Application energy,9527.999999992468,9527.999999992468,9527.999999992468,9527.999999992468,
Rated_Mobile Device NIC Total energy,24302.480000000145,24302.480000000145,24302.480000000145,24302.480000000145,
Rated_Mobile Device NIC Application energy,2723.000000000445,2723.000000000445,2723.000000000445,2723.000000000445,
Measured_Cloud NIC Total energy,1109991.3740000003,1109991.3740000003,1109991.3740000003,1109991.3740000003,
Measured_Cloud NIC Application energy,12.463999999742555,12.463999999742555,12.463999999742555,12.463999999742555,
Measured_proxy-server NIC Total energy,151222.2536000013,151222.2536000013,151222.2536000013,151222.2536000013,
Measured_proxy-server NIC Application energy,3167.915999997454,3167.915999997454,3167.915999997454,3167.915999997454,
Measured_Router NIC Total energy,151186.59200000128,151186.59200000128,151186.59200000128,151186.59200000128,
Measured_Router NIC Application energy,3239.5199999974393,3239.5199999974393,3239.5199999974393,3239.5199999974393,
Measured_Mobile Device NIC Total energy,22575.31999999986,22575.31999999986,22575.31999999986,22575.31999999986,
Measured_Mobile Device NIC Application energy,995.8400000001628,995.8400000001628,995.8400000001628,995.8400000001628,
