,1,Min,Max,Avg
cloud Flow-based Total Idle Networking Energy,210.3299999956556,210.3299999956556,210.3299999956556,210.3299999956556,
cloud Flow-based Total Active Networking Energy,23.34665334617112,23.34665334617112,23.34665334617112,23.34665334617112,
cloud Flow-based Total Device Networking Energy,233.67665334182672,233.67665334182672,233.67665334182672,233.67665334182672,
proxy-server Flow-based Total Idle Networking Energy,12719.069999861593,12719.069999861593,12719.069999861593,12719.069999861595,
proxy-server Flow-based Total Active Networking Energy,706.6149999923108,706.6149999923108,706.6149999923108,706.6149999923108,
proxy-server Flow-based Total Device Networking Energy,13425.684999853904,13425.684999853904,13425.684999853904,13425.684999853904,
d-0 Flow-based Total Idle Networking Energy,15610.139999860035,15610.139999860035,15610.139999860035,15610.139999860034,
d-0 Flow-based Total Active Networking Energy,1308.7454545315604,1308.7454545315604,1308.7454545315604,1308.7454545315604,
d-0 Flow-based Total Device Networking Energy,16918.885454391595,16918.885454391595,16918.885454391595,16918.885454391595,
m-0-0 Flow-based Total Idle Networking Energy,5600.0,5600.0,5600.0,5600.0,
m-0-0 Flow-based Total Active Networking Energy,140.04000000002287,140.04000000002287,140.04000000002287,140.04000000002287,
m-0-0 Flow-based Total Device Networking Energy,5740.040000000023,5740.040000000023,5740.040000000023,5740.040000000023,
Cloud Energy,2693927.3652449325,2693927.3652449325,2693927.3652449325,2693927.3652449325,
App_Cloud Energy,356790.6509591585,356790.6509591585,356790.6509591585,356790.6509591585,
Proxy Energy,166866.59999999995,166866.59999999995,166866.59999999995,166866.59999999995,
App_Proxy Energy,0.0,0.0,0.0,0.0,
Router Energy,195508.36067999766,195508.36067999766,195508.36067999766,195508.36067999768,
App_Router Energy,130044.20969142858,130044.20969142858,130044.20969142858,130044.20969142858,
Mobile Energy,169419.77099999986,169419.77099999986,169419.77099999986,169419.77099999986,
App_Mobile Energy,78068.00699999923,78068.00699999923,78068.00699999923,78068.00699999923,
Execution time,282.0,282.0,282.0,282.0,
Delay_1,107.36258223044048,107.36258223044048,107.36258223044048,107.36258223044048,
Delay_2,105.11199999999992,105.11199999999992,105.11199999999992,105.11199999999992,
MOTION_VIDEO_STREAM,2.9571428571427987,2.9571428571427987,2.9571428571427987,2.9571428571427987,
DETECTED_OBJECT,0.2795714285714439,0.2795714285714439,0.2795714285714439,0.2795714285714439,
OBJECT_LOCATION,0.19041267243635868,0.19041267243635868,0.19041267243635868,0.1904126724363587,
CAMERA,2.099999999999909,2.099999999999909,2.099999999999909,2.099999999999909,
Cost of execution in cloud,42428.66971427258,42428.66971427258,42428.66971427258,42428.66971427258,
Total network usage,18965.2,18965.2,18965.2,18965.2,
Rated_Cloud NIC Total energy,1110035.9099999995,1110035.9099999995,1110035.9099999995,1110035.9099999995,
Rated_Cloud NIC Application energy,56.99999999882266,56.99999999882266,56.99999999882266,56.99999999882266,
Rated_proxy-server NIC Total energy,153257.20319999504,153257.20319999504,153257.20319999504,153257.20319999504,
Rated_proxy-server NIC Application energy,931.7999999898603,931.7999999898603,931.7999999898603,931.7999999898603,
Rated_Router NIC Total energy,153361.12639999497,153361.12639999497,153361.12639999497,153361.12639999497,
Rated_Router NIC Application energy,1143.5999999897463,1143.5999999897463,1143.5999999897463,1143.5999999897463,
Rated_Mobile Device NIC Total energy,24302.480000000145,24302.480000000145,24302.480000000145,24302.480000000145,
Rated_Mobile Device NIC Application energy,2723.000000000445,2723.000000000445,2723.000000000445,2723.000000000445,
Measured_Cloud NIC Total energy,1109991.3740000003,1109991.3740000003,1109991.3740000003,1109991.3740000003,
Measured_Cloud NIC Application energy,12.463999999742555,12.463999999742555,12.463999999742555,12.463999999742555,
Measured_proxy-server NIC Total energy,152642.21520000172,152642.21520000172,152642.21520000172,152642.21520000172,
Measured_proxy-server NIC Application energy,316.8119999965525,316.8119999965525,316.8119999965525,316.8119999965525,
Measured_Router NIC Total energy,152606.35040000174,152606.35040000174,152606.35040000174,152606.35040000174,
Measured_Router NIC Application energy,388.8239999965137,388.8239999965137,388.8239999965137,388.8239999965137,
Measured_Mobile Device NIC Total energy,22575.31999999986,22575.31999999986,22575.31999999986,22575.31999999986,
Measured_Mobile Device NIC Application energy,995.8400000001628,995.8400000001628,995.8400000001628,995.8400000001628,
