,1,Min,Max,Avg
Cloud Energy,2764539.067857062,2764539.067857062,2764539.067857062,2764539.067857062,
App_Cloud Energy,712137.5714286326,712137.5714286326,712137.5714286326,712137.5714286327,
Proxy Energy,166866.59999999995,166866.59999999995,166866.59999999995,166866.59999999995,
App_Proxy Energy,0.0,0.0,0.0,0.0,
Router Energy,166866.59999999995,166866.59999999995,166866.59999999995,166866.59999999995,
App_Router Energy,0.0,0.0,0.0,0.0,
Mobile Energy,169419.77099999986,169419.77099999986,169419.77099999986,169419.77099999986,
App_Mobile Energy,78068.00699999923,78068.00699999923,78068.00699999923,78068.00699999923,
Execution time,229.0,229.0,229.0,229.0,
Delay_1,105.2531250000004,105.2531250000004,105.2531250000004,105.2531250000004,
Delay_2,105.12999999999995,105.12999999999995,105.12999999999995,105.12999999999995,
MOTION_VIDEO_STREAM,0.15964285714270166,0.15964285714270166,0.15964285714270166,0.15964285714270166,
DETECTED_OBJECT,0.14464285714279868,0.14464285714279868,0.14464285714279868,0.14464285714279868,
OBJECT_LOCATION,0.13559796288179227,0.13559796288179227,0.13559796288179227,0.13559796288179227,
CAMERA,2.099999999999909,2.099999999999909,2.099999999999909,2.099999999999909,
Cost of execution in cloud,142536.400000017,142536.400000017,142536.400000017,142536.400000017,
Total network usage,161520.0,161520.0,161520.0,161520.0,
Total network Energy,611676.2148000146,611676.2148000146,611676.2148000146,611676.2148000146,
Total networking Time,933.0900000000744,933.0900000000744,933.0900000000744,933.0900000000744,
