,1,Min,Max,Avg
Cloud Energy,2696921.5329591813,2696921.5329591813,2696921.5329591813,2696921.5329591813,
App_Cloud Energy,372427.6393877309,372427.6393877309,372427.6393877309,372427.6393877309,
Proxy Energy,166866.59999999995,166866.59999999995,166866.59999999995,166866.59999999995,
App_Proxy Energy,0.0,0.0,0.0,0.0,
Router Energy,195508.36067999766,195508.36067999766,195508.36067999766,195508.36067999768,
App_Router Energy,130044.20969142858,130044.20969142858,130044.20969142858,130044.20969142858,
Mobile Energy,169419.77099999986,169419.77099999986,169419.77099999986,169419.77099999986,
App_Mobile Energy,78068.00699999923,78068.00699999923,78068.00699999923,78068.00699999923,
Execution time,218.0,218.0,218.0,218.0,
Delay_1,107.41153659011323,107.41153659011323,107.41153659011323,107.41153659011324,
Delay_2,105.12999999999995,105.12999999999995,105.12999999999995,105.12999999999995,
MOTION_VIDEO_STREAM,2.9571428571427987,2.9571428571427987,2.9571428571427987,2.9571428571427987,
DETECTED_OBJECT,0.15464285714278958,0.15464285714278958,0.15464285714278958,0.15464285714278958,
OBJECT_LOCATION,0.19647661758641982,0.19647661758641982,0.19647661758641982,0.1964766175864198,
CAMERA,2.099999999999909,2.099999999999909,2.099999999999909,2.099999999999909,
Cost of execution in cloud,46673.5657142787,46673.5657142787,46673.5657142787,46673.5657142787,
Total network usage,18965.2,18965.2,18965.2,18965.2,
Total network Energy,637325.614800029,637325.614800029,637325.614800029,637325.614800029,
Total networking Time,374.08999999997167,374.08999999997167,374.08999999997167,374.08999999997167,
