,1,Min,Max,Avg
Cloud Energy,2669186.5918367365,2669186.5918367365,2669186.5918367365,2669186.5918367365,
App_Cloud Energy,263597.0893367327,263597.0893367327,263597.0893367327,263597.0893367327,
Proxy Energy,182771.76474486143,182771.76474486143,182771.76474486143,182771.76474486143,
App_Proxy Energy,72976.40251514265,72976.40251514265,72976.40251514265,72976.40251514265,
Router Energy,195508.36067999766,195508.36067999766,195508.36067999766,195508.36067999768,
App_Router Energy,130044.20969142858,130044.20969142858,130044.20969142858,130044.20969142858,
Mobile Energy,169419.77099999986,169419.77099999986,169419.77099999986,169419.77099999986,
App_Mobile Energy,78068.00699999923,78068.00699999923,78068.00699999923,78068.00699999923,
Execution time,185.0,185.0,185.0,185.0,
Delay_1,7.392091177556277,7.392091177556277,7.392091177556277,7.392091177556277,
Delay_2,5.119999999999948,5.119999999999948,5.119999999999948,5.119999999999948,
MOTION_VIDEO_STREAM,2.9571428571427987,2.9571428571427987,2.9571428571427987,2.9571428571427987,
DETECTED_OBJECT,0.1111607142856883,0.1111607142856883,0.1111607142856883,0.1111607142856883,
OBJECT_LOCATION,1.5362465591057575,1.5362465591057575,1.5362465591057575,1.5362465591057575,
CAMERA,2.099999999999909,2.099999999999909,2.099999999999909,2.099999999999909,
Cost of execution in cloud,7353.142857142046,7353.142857142046,7353.142857142046,7353.142857142045,
Total network usage,11130.7,11130.7,11130.7,11130.700000000003,
Total network Energy,54380.70840000227,54380.70840000227,54380.70840000227,54380.70840000227,
Total networking Time,358.4699999999804,358.4699999999804,358.4699999999804,358.4699999999804,
