app_class,scenario,device,energy
TwoDCNSApps,Router_Only,cloud ,2266070.3999999985
TwoDCNSApps,Router_Only,proxy-server ,0.0
TwoDCNSApps,Router_Only,d-0 ,179884.37980000017
TwoDCNSApps,Router_Only,m-0-0 ,160589.47999999972
TwoDCNSApps,Router_Only,m-0-1 ,160589.47999999972
TwoDCNSApps,Router_Only,m-0-2 ,160589.47999999972
TwoDCNSApps,Router_Only,m-0-3 ,160589.47999999972
HighResTwoDCNSApps,Router_Only,cloud ,2334340.7999999984
HighResTwoDCNSApps,Router_Only,proxy-server ,0.0
HighResTwoDCNSApps,Router_Only,d-0 ,194024.91959999772
HighResTwoDCNSApps,Router_Only,m-0-0 ,163388.80000000002
HighResTwoDCNSApps,Router_Only,m-0-1 ,163388.80000000002
HighResTwoDCNSApps,Router_Only,m-0-2 ,163388.80000000002
HighResTwoDCNSApps,Router_Only,m-0-3 ,163388.80000000002
LowResTwoDCNSApps,Router_Only,cloud ,2265803.999999999
LowResTwoDCNSApps,Router_Only,proxy-server ,0.0
LowResTwoDCNSApps,Router_Only,d-0 ,167055.6108571424
LowResTwoDCNSApps,Router_Only,m-0-0 ,158860.96999999974
LowResTwoDCNSApps,Router_Only,m-0-1 ,158860.96999999974
LowResTwoDCNSApps,Router_Only,m-0-2 ,158860.96999999974
LowResTwoDCNSApps,Router_Only,m-0-3 ,158860.96999999974
TwoDCNSApps,Router_Proxy,cloud ,2266087.525714285
TwoDCNSApps,Router_Proxy,proxy-server ,170328.9289800001
TwoDCNSApps,Router_Proxy,d-0 ,170027.4239999999
TwoDCNSApps,Router_Proxy,m-0-0 ,160589.47999999972
TwoDCNSApps,Router_Proxy,m-0-1 ,160589.47999999972
TwoDCNSApps,Router_Proxy,m-0-2 ,160589.47999999972
TwoDCNSApps,Router_Proxy,m-0-3 ,160589.47999999972
HighResTwoDCNSApps,Router_Proxy,cloud ,2334109.602857139
HighResTwoDCNSApps,Router_Proxy,proxy-server ,177630.3562054968
HighResTwoDCNSApps,Router_Proxy,d-0 ,177504.1264999998
HighResTwoDCNSApps,Router_Proxy,m-0-0 ,163388.80000000002
HighResTwoDCNSApps,Router_Proxy,m-0-1 ,163388.80000000002
HighResTwoDCNSApps,Router_Proxy,m-0-2 ,163388.80000000002
HighResTwoDCNSApps,Router_Proxy,m-0-3 ,163388.80000000002
LowResTwoDCNSApps,Router_Proxy,cloud ,2265879.162857141
LowResTwoDCNSApps,Router_Proxy,proxy-server ,163759.33100700055
LowResTwoDCNSApps,Router_Proxy,d-0 ,163632.11675857153
LowResTwoDCNSApps,Router_Proxy,m-0-0 ,158860.96999999974
LowResTwoDCNSApps,Router_Proxy,m-0-1 ,158860.96999999974
LowResTwoDCNSApps,Router_Proxy,m-0-2 ,158860.96999999974
LowResTwoDCNSApps,Router_Proxy,m-0-3 ,158860.96999999974
TwoDCNSApps,Router_Cloud,cloud ,2439363.4399999846
TwoDCNSApps,Router_Cloud,proxy-server ,0.0
TwoDCNSApps,Router_Cloud,d-0 ,170027.4239999999
TwoDCNSApps,Router_Cloud,m-0-0 ,160589.47999999972
TwoDCNSApps,Router_Cloud,m-0-1 ,160589.47999999972
TwoDCNSApps,Router_Cloud,m-0-2 ,160589.47999999972
TwoDCNSApps,Router_Cloud,m-0-3 ,160589.47999999972
HighResTwoDCNSApps,Router_Cloud,cloud ,2466455.039999971
HighResTwoDCNSApps,Router_Cloud,proxy-server ,0.0
HighResTwoDCNSApps,Router_Cloud,d-0 ,177504.1264999998
HighResTwoDCNSApps,Router_Cloud,m-0-0 ,163388.80000000002
HighResTwoDCNSApps,Router_Cloud,m-0-1 ,163388.80000000002
HighResTwoDCNSApps,Router_Cloud,m-0-2 ,163388.80000000002
