app_class,scenario,device,energy
TwoDCNSApps,Router_Only,cloud ,2266070.3999999985
TwoDCNSApps,Router_Only,proxy-server ,0.0
TwoDCNSApps,Router_Only,d-0 ,170487.44828571446
TwoDCNSApps,Router_Only,m-0-0 ,159437.13999999993
TwoDCNSApps,Router_Only,m-0-1 ,159437.13999999993
TwoDCNSApps,Router_Only,m-0-2 ,159437.13999999993
TwoDCNSApps,Router_Only,m-0-3 ,159437.13999999993
HighResTwoDCNSApps,Router_Only,cloud ,2266603.1999999993
HighResTwoDCNSApps,Router_Only,proxy-server ,0.0
HighResTwoDCNSApps,Router_Only,d-0 ,176627.35159999997
HighResTwoDCNSApps,Router_Only,m-0-0 ,160589.47999999972
HighResTwoDCNSApps,Router_Only,m-0-1 ,160589.47999999972
HighResTwoDCNSApps,Router_Only,m-0-2 ,160589.47999999972
HighResTwoDCNSApps,Router_Only,m-0-3 ,160589.47999999972
LowResTwoDCNSApps,Router_Only,cloud ,2265803.999999999
LowResTwoDCNSApps,Router_Only,proxy-server ,0.0
LowResTwoDCNSApps,Router_Only,d-0 ,167055.6108571424
LowResTwoDCNSApps,Router_Only,m-0-0 ,158860.96999999974
LowResTwoDCNSApps,Router_Only,m-0-1 ,158860.96999999974
LowResTwoDCNSApps,Router_Only,m-0-2 ,158860.96999999974
LowResTwoDCNSApps,Router_Only,m-0-3 ,158860.96999999974
TwoDCNSApps,Router_Proxy,cloud ,2266087.525714285
TwoDCNSApps,Router_Proxy,proxy-server ,165650.27343014305
TwoDCNSApps,Router_Proxy,d-0 ,165348.03547285698
TwoDCNSApps,Router_Proxy,m-0-0 ,159437.13999999993
TwoDCNSApps,Router_Proxy,m-0-1 ,159437.13999999993
TwoDCNSApps,Router_Proxy,m-0-2 ,159437.13999999993
TwoDCNSApps,Router_Proxy,m-0-3 ,159437.13999999993
HighResTwoDCNSApps,Router_Proxy,cloud ,2266372.0028571403
HighResTwoDCNSApps,Router_Proxy,proxy-server ,168453.1217359986
HighResTwoDCNSApps,Router_Proxy,d-0 ,168388.17600000015
HighResTwoDCNSApps,Router_Proxy,m-0-0 ,160589.47999999972
HighResTwoDCNSApps,Router_Proxy,m-0-1 ,160589.47999999972
HighResTwoDCNSApps,Router_Proxy,m-0-2 ,160589.47999999972
HighResTwoDCNSApps,Router_Proxy,m-0-3 ,160589.47999999972
LowResTwoDCNSApps,Router_Proxy,cloud ,2265879.162857141
LowResTwoDCNSApps,Router_Proxy,proxy-server ,163759.33100700055
LowResTwoDCNSApps,Router_Proxy,d-0 ,163632.11675857153
LowResTwoDCNSApps,Router_Proxy,m-0-0 ,158860.96999999974
LowResTwoDCNSApps,Router_Proxy,m-0-1 ,158860.96999999974
LowResTwoDCNSApps,Router_Proxy,m-0-2 ,158860.96999999974
LowResTwoDCNSApps,Router_Proxy,m-0-3 ,158860.96999999974
TwoDCNSApps,Router_Cloud,cloud ,2435146.1599999876
TwoDCNSApps,Router_Cloud,proxy-server ,0.0
TwoDCNSApps,Router_Cloud,d-0 ,165348.03547285698
TwoDCNSApps,Router_Cloud,m-0-0 ,159437.13999999993
TwoDCNSApps,Router_Cloud,m-0-1 ,159437.13999999993
TwoDCNSApps,Router_Cloud,m-0-2 ,159437.13999999993
TwoDCNSApps,Router_Cloud,m-0-3 ,159437.13999999993
HighResTwoDCNSApps,Router_Cloud,cloud ,2438611.6799999857
HighResTwoDCNSApps,Router_Cloud,proxy-server ,0.0
HighResTwoDCNSApps,Router_Cloud,d-0 ,168388.17600000015
HighResTwoDCNSApps,Router_Cloud,m-0-0 ,160589.47999999972
HighResTwoDCNSApps,Router_Cloud,m-0-1 ,160589.47999999972
HighResTwoDCNSApps,Router_Cloud,m-0-2 ,160589.47999999972
