app_class,scenario,device,app,vm,energy
TwoDCNSApps,Router_Only,cloud ,dcns_1,user_interface_1,2.966399999998801
TwoDCNSApps,Router_Only,cloud ,dcns_0,user_interface,2.966399999998801
TwoDCNSApps,Router_Only,d-0 ,dcns_1,object_tracker_1,7.437059285714778
TwoDCNSApps,Router_Only,d-0 ,dcns_1,object_detector_1,14.874118571428285
TwoDCNSApps,Router_Only,d-0 ,dcns_0,object_tracker,7.437059285714195
TwoDCNSApps,Router_Only,d-0 ,dcns_0,object_detector,14.874118571428815
TwoDCNSApps,Router_Only,m-0-0 ,dcns_1,motion_detector_1,8.490409999999994
TwoDCNSApps,Router_Only,m-0-0 ,dcns_0,motion_detector,8.490409999999994
TwoDCNSApps,Router_Only,m-0-1 ,dcns_1,motion_detector_1,8.490409999999994
TwoDCNSApps,Router_Only,m-0-1 ,dcns_0,motion_detector,8.490409999999994
TwoDCNSApps,Router_Only,m-0-2 ,dcns_1,motion_detector_1,8.490409999999994
TwoDCNSApps,Router_Only,m-0-2 ,dcns_0,motion_detector,8.490409999999994
TwoDCNSApps,Router_Only,m-0-3 ,dcns_1,motion_detector_1,8.490409999999994
TwoDCNSApps,Router_Only,m-0-3 ,dcns_0,motion_detector,8.490409999999994
HighResTwoDCNSApps,Router_Only,cloud ,dcns_1,user_interface_1,2.966399999998801
HighResTwoDCNSApps,Router_Only,cloud ,dcns_0,user_interface,2.966399999998801
HighResTwoDCNSApps,Router_Only,d-0 ,dcns_1,object_tracker_1,7.360388571428766
HighResTwoDCNSApps,Router_Only,d-0 ,dcns_1,object_detector_1,29.44155428571402
HighResTwoDCNSApps,Router_Only,d-0 ,dcns_0,object_tracker,7.360388571427806
HighResTwoDCNSApps,Router_Only,d-0 ,dcns_0,object_detector,29.484489885714847
HighResTwoDCNSApps,Router_Only,m-0-0 ,dcns_1,motion_detector_1,16.980819999999987
HighResTwoDCNSApps,Router_Only,m-0-0 ,dcns_0,motion_detector,16.980819999999987
HighResTwoDCNSApps,Router_Only,m-0-1 ,dcns_1,motion_detector_1,16.980819999999987
HighResTwoDCNSApps,Router_Only,m-0-1 ,dcns_0,motion_detector,16.980819999999987
HighResTwoDCNSApps,Router_Only,m-0-2 ,dcns_1,motion_detector_1,16.980819999999987
HighResTwoDCNSApps,Router_Only,m-0-2 ,dcns_0,motion_detector,16.980819999999987
