app_class,scenario,simulation_time
TwoDCNSApps,Router_Only,214
HighResTwoDCNSApps,Router_Only,253
LowResTwoDCNSApps,Router_Only,200
TwoDCNSApps,Router_Proxy,195
HighResTwoDCNSApps,Router_Proxy,183
LowResTwoDCNSApps,Router_Proxy,225
TwoDCNSApps,Router_Cloud,206
HighResTwoDCNSApps,Router_Cloud,198
LowResTwoDCNSApps,Router_Cloud,210
TwoDCNSApps,Proxy_Only,258
HighResTwoDCNSApps,Proxy_Only,225
LowResTwoDCNSApps,Proxy_Only,207
TwoDCNSApps,Proxy_Cloud,190
HighResTwoDCNSApps,Proxy_Cloud,221
LowResTwoDCNSApps,Proxy_Cloud,202
TwoDCNSApps,Cloud_Only,265
HighResTwoDCNSApps,Cloud_Only,242
LowResTwoDCNSApps,Cloud_Only,240
TwoDCNSApps,ModuleBased_Router_Proxy,188
HighResTwoDCNSApps,ModuleBased_Router_Proxy,217
LowResTwoDCNSApps,ModuleBased_Router_Proxy,207
