app_class,scenario,simulation_time
TwoDCNSApps,Router_Only,192
HighResTwoDCNSApps,Router_Only,199
LowResTwoDCNSApps,Router_Only,190
TwoDCNSApps,Router_Proxy,219
HighResTwoDCNSApps,Router_Proxy,171
LowResTwoDCNSApps,Router_Proxy,187
TwoDCNSApps,Router_Cloud,205
HighResTwoDCNSApps,Router_Cloud,207
LowResTwoDCNSApps,Router_Cloud,258
TwoDCNSApps,Proxy_Only,211
HighResTwoDCNSApps,Proxy_Only,287
LowResTwoDCNSApps,Proxy_Only,276
TwoDCNSApps,Proxy_Cloud,216
HighResTwoDCNSApps,Proxy_Cloud,248
LowResTwoDCNSApps,Proxy_Cloud,229
TwoDCNSApps,Cloud_Only,335
HighResTwoDCNSApps,Cloud_Only,281
LowResTwoDCNSApps,Cloud_Only,317
TwoDCNSApps,ModuleBased_Router_Proxy,227
HighResTwoDCNSApps,ModuleBased_Router_Proxy,194
LowResTwoDCNSApps,ModuleBased_Router_Proxy,189
