app_class,scenario,device,app,vm,energy
TwoDCNSApps,Router_Only,cloud ,dcns_1,user_interface_1,2.5654357142860644
TwoDCNSApps,Router_Only,cloud ,dcns_0,user_interface,3.305122857142598
TwoDCNSApps,Router_Only,d-0 ,dcns_1,object_tracker_1,32.41672685175006
TwoDCNSApps,Router_Only,d-0 ,dcns_1,object_detector_1,71.48575372667848
TwoDCNSApps,Router_Only,d-0 ,dcns_0,object_tracker,32.30935334992861
TwoDCNSApps,Router_Only,d-0 ,dcns_0,object_detector,71.50722152667848
TwoDCNSApps,Router_Only,m-0-0 ,dcns_1,motion_detector_1,69.62136199999934
TwoDCNSApps,Router_Only,m-0-0 ,dcns_0,motion_detector,69.62136199999934
TwoDCNSApps,Router_Only,m-0-1 ,dcns_1,motion_detector_1,69.62136199999934
TwoDCNSApps,Router_Only,m-0-1 ,dcns_0,motion_detector,69.62136199999934
TwoDCNSApps,Router_Only,m-0-2 ,dcns_1,motion_detector_1,69.62136199999934
TwoDCNSApps,Router_Only,m-0-2 ,dcns_0,motion_detector,69.62136199999934
TwoDCNSApps,Router_Only,m-0-3 ,dcns_1,motion_detector_1,69.62136199999934
TwoDCNSApps,Router_Only,m-0-3 ,dcns_0,motion_detector,69.62136199999934
HighResTwoDCNSApps,Router_Only,cloud ,dcns_1,user_interface_1,2.026157142856933
HighResTwoDCNSApps,Router_Only,cloud ,dcns_0,user_interface,3.146797142856101
HighResTwoDCNSApps,Router_Only,d-0 ,dcns_1,object_tracker_1,31.477794283392992
HighResTwoDCNSApps,Router_Only,d-0 ,dcns_1,object_detector_1,71.82703807717844
HighResTwoDCNSApps,Router_Only,d-0 ,dcns_0,object_tracker,31.474217594571567
HighResTwoDCNSApps,Router_Only,d-0 ,dcns_0,object_detector,71.89143764364273
HighResTwoDCNSApps,Router_Only,m-0-0 ,dcns_1,motion_detector_1,84.90409999999937
HighResTwoDCNSApps,Router_Only,m-0-0 ,dcns_0,motion_detector,84.90409999999937
HighResTwoDCNSApps,Router_Only,m-0-1 ,dcns_1,motion_detector_1,84.90409999999937
HighResTwoDCNSApps,Router_Only,m-0-1 ,dcns_0,motion_detector,84.90409999999937
HighResTwoDCNSApps,Router_Only,m-0-2 ,dcns_1,motion_detector_1,84.90409999999937
HighResTwoDCNSApps,Router_Only,m-0-2 ,dcns_0,motion_detector,84.90409999999937
HighResTwoDCNSApps,Router_Only,m-0-3 ,dcns_1,motion_detector_1,84.90409999999937
HighResTwoDCNSApps,Router_Only,m-0-3 ,dcns_0,motion_detector,84.90409999999937
LowResTwoDCNSApps,Router_Only,cloud ,dcns_1,user_interface_1,4.781407142856089
LowResTwoDCNSApps,Router_Only,cloud ,dcns_0,user_interface,5.949574285712561
LowResTwoDCNSApps,Router_Only,d-0 ,dcns_1,object_tracker_1,51.74327481025043
LowResTwoDCNSApps,Router_Only,d-0 ,dcns_1,object_detector_1,52.100050478571866
LowResTwoDCNSApps,Router_Only,d-0 ,dcns_0,object_tracker,51.74327481025043
LowResTwoDCNSApps,Router_Only,d-0 ,dcns_0,object_detector,52.11436106739329
LowResTwoDCNSApps,Router_Only,m-0-0 ,dcns_1,motion_detector_1,35.75162849999961
LowResTwoDCNSApps,Router_Only,m-0-0 ,dcns_0,motion_detector,35.75162849999961
