app_class,scenario,simulation_time
TwoDCNSApps,Router_Only,24900
HighResTwoDCNSApps,Router_Only,1631
LowResTwoDCNSApps,Router_Only,4483
TwoDCNSApps,Router_Proxy,367
HighResTwoDCNSApps,Router_Proxy,1363
LowResTwoDCNSApps,Router_Proxy,385
TwoDCNSApps,Router_Cloud,459
HighResTwoDCNSApps,Router_Cloud,1464
LowResTwoDCNSApps,Router_Cloud,444
TwoDCNSApps,Proxy_Only,32123
HighResTwoDCNSApps,Proxy_Only,1842
LowResTwoDCNSApps,Proxy_Only,5572
TwoDCNSApps,Proxy_Cloud,498
HighResTwoDCNSApps,Proxy_Cloud,1526
LowResTwoDCNSApps,Proxy_Cloud,464
TwoDCNSApps,Cloud_Only,730
HighResTwoDCNSApps,Cloud_Only,1910
LowResTwoDCNSApps,Cloud_Only,755
TwoDCNSApps,ModuleBased_Router_Proxy,3549
HighResTwoDCNSApps,ModuleBased_Router_Proxy,2318
LowResTwoDCNSApps,ModuleBased_Router_Proxy,720
