app_class,scenario,device_id,device,tuple,energy,app
TwoDCNSApps,Router_Only,5,proxy-server,DETECTED_OBJECT_1,2.1612499999982795,dcns_1
TwoDCNSApps,Router_Only,5,proxy-server,DETECTED_OBJECT,2.1612499999982795,dcns_0
TwoDCNSApps,Router_Only,6,d-0,PTZ_PARAMS_1,3.143636363633739,dcns_1
TwoDCNSApps,Router_Only,6,d-0,DETECTED_OBJECT_1,2.2543181818163878,dcns_1
TwoDCNSApps,Router_Only,6,d-0,PTZ_PARAMS,3.143636363633739,dcns_0
TwoDCNSApps,Router_Only,6,d-0,DETECTED_OBJECT,2.2543181818163878,dcns_0
TwoDCNSApps,Router_Only,7,m-0-0,MOTION_VIDEO_STREAM_1,2.938297029702993,dcns_1
TwoDCNSApps,Router_Only,7,m-0-0,MOTION_VIDEO_STREAM,2.938297029702993,dcns_0
TwoDCNSApps,Router_Only,8,m-0-1,MOTION_VIDEO_STREAM_1,2.938297029702993,dcns_1
TwoDCNSApps,Router_Only,8,m-0-1,MOTION_VIDEO_STREAM,2.938297029702993,dcns_0
TwoDCNSApps,Router_Only,9,m-0-2,MOTION_VIDEO_STREAM_1,2.938297029702993,dcns_1
TwoDCNSApps,Router_Only,9,m-0-2,MOTION_VIDEO_STREAM,2.938297029702993,dcns_0
TwoDCNSApps,Router_Only,10,m-0-3,MOTION_VIDEO_STREAM_1,2.938297029702993,dcns_1
TwoDCNSApps,Router_Only,10,m-0-3,MOTION_VIDEO_STREAM,2.938297029702993,dcns_0
HighResTwoDCNSApps,Router_Only,5,proxy-server,DETECTED_OBJECT_1,3.2850999999978727,dcns_1
HighResTwoDCNSApps,Router_Only,5,proxy-server,DETECTED_OBJECT,3.2850999999978727,dcns_0
HighResTwoDCNSApps,Router_Only,6,d-0,PTZ_PARAMS_1,3.143636363633739,dcns_1
HighResTwoDCNSApps,Router_Only,6,d-0,DETECTED_OBJECT_1,3.4265636363614167,dcns_1
HighResTwoDCNSApps,Router_Only,6,d-0,PTZ_PARAMS,3.143636363633739,dcns_0
HighResTwoDCNSApps,Router_Only,6,d-0,DETECTED_OBJECT,3.4265636363614167,dcns_0
HighResTwoDCNSApps,Router_Only,7,m-0-0,MOTION_VIDEO_STREAM_1,2.897663366336643,dcns_1
HighResTwoDCNSApps,Router_Only,7,m-0-0,MOTION_VIDEO_STREAM,2.897663366336643,dcns_0
HighResTwoDCNSApps,Router_Only,8,m-0-1,MOTION_VIDEO_STREAM_1,2.897663366336643,dcns_1
HighResTwoDCNSApps,Router_Only,8,m-0-1,MOTION_VIDEO_STREAM,2.897663366336643,dcns_0
HighResTwoDCNSApps,Router_Only,9,m-0-2,MOTION_VIDEO_STREAM_1,2.897663366336643,dcns_1
HighResTwoDCNSApps,Router_Only,9,m-0-2,MOTION_VIDEO_STREAM,2.897663366336643,dcns_0
HighResTwoDCNSApps,Router_Only,10,m-0-3,MOTION_VIDEO_STREAM_1,2.897663366336643,dcns_1
HighResTwoDCNSApps,Router_Only,10,m-0-3,MOTION_VIDEO_STREAM,2.897663366336643,dcns_0
LowResTwoDCNSApps,Router_Only,5,proxy-server,DETECTED_OBJECT_1,2.46382499999782,dcns_1
LowResTwoDCNSApps,Router_Only,5,proxy-server,DETECTED_OBJECT,2.46382499999782,dcns_0
LowResTwoDCNSApps,Router_Only,6,d-0,PTZ_PARAMS_1,3.143636363633739,dcns_1
LowResTwoDCNSApps,Router_Only,6,d-0,DETECTED_OBJECT_1,2.5699227272704563,dcns_1
LowResTwoDCNSApps,Router_Only,6,d-0,PTZ_PARAMS,3.143636363633739,dcns_0
LowResTwoDCNSApps,Router_Only,6,d-0,DETECTED_OBJECT,2.5699227272704563,dcns_0
