app_class,scenario,device,app,vm,energy
TwoDCNSApps,Router_Only,cloud ,dcns_1,user_interface_1,2.5654357142860644
TwoDCNSApps,Router_Only,cloud ,dcns_0,user_interface,3.305122857142598
TwoDCNSApps,Router_Only,d-0 ,dcns_1,object_tracker_1,32.41672685175006
TwoDCNSApps,Router_Only,d-0 ,dcns_1,object_detector_1,71.48575372667848
TwoDCNSApps,Router_Only,d-0 ,dcns_0,object_tracker,32.30935334992861
TwoDCNSApps,Router_Only,d-0 ,dcns_0,object_detector,71.50722152667848
TwoDCNSApps,Router_Only,m-0-0 ,dcns_1,motion_detector_1,69.62136199999934
TwoDCNSApps,Router_Only,m-0-0 ,dcns_0,motion_detector,69.62136199999934
TwoDCNSApps,Router_Only,m-0-1 ,dcns_1,motion_detector_1,69.62136199999934
TwoDCNSApps,Router_Only,m-0-1 ,dcns_0,motion_detector,69.62136199999934
TwoDCNSApps,Router_Only,m-0-2 ,dcns_1,motion_detector_1,69.62136199999934
TwoDCNSApps,Router_Only,m-0-2 ,dcns_0,motion_detector,69.62136199999934
TwoDCNSApps,Router_Only,m-0-3 ,dcns_1,motion_detector_1,69.62136199999934
TwoDCNSApps,Router_Only,m-0-3 ,dcns_0,motion_detector,69.62136199999934
TwoDCNSApps,Router_Proxy,cloud ,dcns_1,user_interface_1,13.373078571425586
TwoDCNSApps,Router_Proxy,cloud ,dcns_0,user_interface,13.373078571425586
TwoDCNSApps,Router_Proxy,proxy-server ,dcns_1,object_tracker_1,63.49715215714387
TwoDCNSApps,Router_Proxy,proxy-server ,dcns_1,object_detector_1,125.33913693428168
TwoDCNSApps,Router_Proxy,d-0 ,dcns_0,object_tracker,63.49715215714387
TwoDCNSApps,Router_Proxy,d-0 ,dcns_0,object_detector,122.84028501428561
TwoDCNSApps,Router_Proxy,m-0-0 ,dcns_1,motion_detector_1,69.62136199999934
TwoDCNSApps,Router_Proxy,m-0-0 ,dcns_0,motion_detector,69.62136199999934
TwoDCNSApps,Router_Proxy,m-0-1 ,dcns_1,motion_detector_1,69.62136199999934
TwoDCNSApps,Router_Proxy,m-0-1 ,dcns_0,motion_detector,69.62136199999934
TwoDCNSApps,Router_Proxy,m-0-2 ,dcns_1,motion_detector_1,69.62136199999934
TwoDCNSApps,Router_Proxy,m-0-2 ,dcns_0,motion_detector,69.62136199999934
TwoDCNSApps,Router_Proxy,m-0-3 ,dcns_1,motion_detector_1,69.62136199999934
TwoDCNSApps,Router_Proxy,m-0-3 ,dcns_0,motion_detector,69.62136199999934
TwoDCNSApps,Router_Cloud,cloud ,dcns_1,user_interface_1,16.75662857143033
TwoDCNSApps,Router_Cloud,cloud ,dcns_1,object_tracker_1,108.46782857141866
TwoDCNSApps,Router_Cloud,cloud ,dcns_1,object_detector_1,205.33138285712786
TwoDCNSApps,Router_Cloud,cloud ,dcns_0,user_interface,13.373078571425586
TwoDCNSApps,Router_Cloud,d-0 ,dcns_0,object_tracker,63.49715215714387
TwoDCNSApps,Router_Cloud,d-0 ,dcns_0,object_detector,122.84028501428561
TwoDCNSApps,Router_Cloud,m-0-0 ,dcns_1,motion_detector_1,69.62136199999934
TwoDCNSApps,Router_Cloud,m-0-0 ,dcns_0,motion_detector,69.62136199999934
TwoDCNSApps,Router_Cloud,m-0-1 ,dcns_1,motion_detector_1,69.62136199999934
