app_class,scenario,simulation_time
TwoDCNSApps,Router_Only,259
HighResTwoDCNSApps,Router_Only,220
LowResTwoDCNSApps,Router_Only,264
TwoDCNSApps,Router_Proxy,194
HighResTwoDCNSApps,Router_Proxy,207
LowResTwoDCNSApps,Router_Proxy,232
TwoDCNSApps,Router_Cloud,204
HighResTwoDCNSApps,Router_Cloud,230
LowResTwoDCNSApps,Router_Cloud,251
TwoDCNSApps,Proxy_Only,210
HighResTwoDCNSApps,Proxy_Only,266
LowResTwoDCNSApps,Proxy_Only,252
TwoDCNSApps,Proxy_Cloud,210
HighResTwoDCNSApps,Proxy_Cloud,214
LowResTwoDCNSApps,Proxy_Cloud,250
TwoDCNSApps,Cloud_Only,240
HighResTwoDCNSApps,Cloud_Only,299
LowResTwoDCNSApps,Cloud_Only,264
TwoDCNSApps,ModuleBased_Router_Proxy,208
HighResTwoDCNSApps,ModuleBased_Router_Proxy,236
LowResTwoDCNSApps,ModuleBased_Router_Proxy,227
