app_class,scenario,simulation_time
TwoDCNSApps,Router_Only,200
HighResTwoDCNSApps,Router_Only,218
LowResTwoDCNSApps,Router_Only,242
TwoDCNSApps,Router_Proxy,210
HighResTwoDCNSApps,Router_Proxy,176
LowResTwoDCNSApps,Router_Proxy,243
TwoDCNSApps,Router_Cloud,258
HighResTwoDCNSApps,Router_Cloud,252
LowResTwoDCNSApps,Router_Cloud,214
TwoDCNSApps,Proxy_Only,202
HighResTwoDCNSApps,Proxy_Only,244
LowResTwoDCNSApps,Proxy_Only,223
TwoDCNSApps,Proxy_Cloud,225
HighResTwoDCNSApps,Proxy_Cloud,227
LowResTwoDCNSApps,Proxy_Cloud,214
TwoDCNSApps,Cloud_Only,297
HighResTwoDCNSApps,Cloud_Only,236
LowResTwoDCNSApps,Cloud_Only,316
TwoDCNSApps,ModuleBased_Router_Proxy,224
HighResTwoDCNSApps,ModuleBased_Router_Proxy,212
LowResTwoDCNSApps,ModuleBased_Router_Proxy,195
TwoDCNSApps,Router_Only,236
HighResTwoDCNSApps,Router_Only,221
LowResTwoDCNSApps,Router_Only,187
TwoDCNSApps,Router_Proxy,166
HighResTwoDCNSApps,Router_Proxy,217
LowResTwoDCNSApps,Router_Proxy,192
TwoDCNSApps,Router_Cloud,200
HighResTwoDCNSApps,Router_Cloud,257
LowResTwoDCNSApps,Router_Cloud,259
TwoDCNSApps,Proxy_Only,255
HighResTwoDCNSApps,Proxy_Only,203
LowResTwoDCNSApps,Proxy_Only,218
TwoDCNSApps,Proxy_Cloud,215
HighResTwoDCNSApps,Proxy_Cloud,213
LowResTwoDCNSApps,Proxy_Cloud,190
TwoDCNSApps,Cloud_Only,242
HighResTwoDCNSApps,Cloud_Only,320
LowResTwoDCNSApps,Cloud_Only,268
TwoDCNSApps,ModuleBased_Router_Proxy,201
HighResTwoDCNSApps,ModuleBased_Router_Proxy,204
LowResTwoDCNSApps,ModuleBased_Router_Proxy,178
TwoDCNSApps,Router_Only,181
HighResTwoDCNSApps,Router_Only,182
LowResTwoDCNSApps,Router_Only,171
TwoDCNSApps,Router_Proxy,173
HighResTwoDCNSApps,Router_Proxy,200
LowResTwoDCNSApps,Router_Proxy,179
TwoDCNSApps,Router_Cloud,193
HighResTwoDCNSApps,Router_Cloud,217
LowResTwoDCNSApps,Router_Cloud,216
TwoDCNSApps,Proxy_Only,189
HighResTwoDCNSApps,Proxy_Only,207
LowResTwoDCNSApps,Proxy_Only,229
TwoDCNSApps,Proxy_Cloud,182
HighResTwoDCNSApps,Proxy_Cloud,198
LowResTwoDCNSApps,Proxy_Cloud,181
TwoDCNSApps,Cloud_Only,226
HighResTwoDCNSApps,Cloud_Only,223
LowResTwoDCNSApps,Cloud_Only,263
TwoDCNSApps,ModuleBased_Router_Proxy,235
HighResTwoDCNSApps,ModuleBased_Router_Proxy,209
LowResTwoDCNSApps,ModuleBased_Router_Proxy,165
TwoDCNSApps,Proxy_Cloud,265
HighResTwoDCNSApps,Router_Only,299
LowResTwoDCNSApps,Router_Only,226
TwoDCNSApps,Proxy_Cloud,211
HighResTwoDCNSApps,Router_Proxy,301
LowResTwoDCNSApps,Router_Proxy,205
TwoDCNSApps,Proxy_Cloud,210
HighResTwoDCNSApps,Router_Cloud,446
LowResTwoDCNSApps,Router_Cloud,275
TwoDCNSApps,Proxy_Cloud,307
HighResTwoDCNSApps,Proxy_Only,473
LowResTwoDCNSApps,Proxy_Only,312
TwoDCNSApps,Proxy_Cloud,210
HighResTwoDCNSApps,Proxy_Cloud,311
LowResTwoDCNSApps,Proxy_Cloud,221
TwoDCNSApps,Cloud_Only,251
HighResTwoDCNSApps,Cloud_Only,437
LowResTwoDCNSApps,Cloud_Only,251
TwoDCNSApps,ModuleBased_Router_Proxy,222
HighResTwoDCNSApps,ModuleBased_Router_Proxy,315
LowResTwoDCNSApps,ModuleBased_Router_Proxy,231
