app_class,scenario,simulation_time
TwoDCNSApps,Router_Only,241
HighResTwoDCNSApps,Router_Only,294
LowResTwoDCNSApps,Router_Only,303
TwoDCNSApps,Router_Proxy,239
HighResTwoDCNSApps,Router_Proxy,275
LowResTwoDCNSApps,Router_Proxy,271
TwoDCNSApps,Router_Cloud,262
HighResTwoDCNSApps,Router_Cloud,333
LowResTwoDCNSApps,Router_Cloud,310
TwoDCNSApps,Proxy_Only,271
HighResTwoDCNSApps,Proxy_Only,311
LowResTwoDCNSApps,Proxy_Only,318
TwoDCNSApps,Proxy_Cloud,248
HighResTwoDCNSApps,Proxy_Cloud,320
LowResTwoDCNSApps,Proxy_Cloud,300
TwoDCNSApps,Cloud_Only,341
HighResTwoDCNSApps,Cloud_Only,401
LowResTwoDCNSApps,Cloud_Only,421
TwoDCNSApps,ModuleBased_Router_Proxy,254
HighResTwoDCNSApps,ModuleBased_Router_Proxy,300
LowResTwoDCNSApps,ModuleBased_Router_Proxy,261
