app_class,scenario,simulation_time
TwoDCNSApps,Router_Only,244
HighResTwoDCNSApps,Router_Only,320
LowResTwoDCNSApps,Router_Only,323
TwoDCNSApps,Router_Proxy,237
HighResTwoDCNSApps,Router_Proxy,362
LowResTwoDCNSApps,Router_Proxy,274
TwoDCNSApps,Router_Cloud,339
HighResTwoDCNSApps,Router_Cloud,389
LowResTwoDCNSApps,Router_Cloud,325
TwoDCNSApps,Proxy_Only,281
HighResTwoDCNSApps,Proxy_Only,396
LowResTwoDCNSApps,Proxy_Only,322
TwoDCNSApps,Proxy_Cloud,301
HighResTwoDCNSApps,Proxy_Cloud,344
LowResTwoDCNSApps,Proxy_Cloud,350
TwoDCNSApps,Cloud_Only,333
HighResTwoDCNSApps,Cloud_Only,424
LowResTwoDCNSApps,Cloud_Only,440
TwoDCNSApps,ModuleBased_Router_Proxy,282
HighResTwoDCNSApps,ModuleBased_Router_Proxy,269
LowResTwoDCNSApps,ModuleBased_Router_Proxy,265
