app_class,scenario,device,energy
TwoDCNSApps,Router_Only,cloud ,4829641.53482143
TwoDCNSApps,Router_Only,proxy-server ,0.0
TwoDCNSApps,Router_Only,d-0 ,343375.55689571524
TwoDCNSApps,Router_Only,m-0-0 ,322779.5836666667
TwoDCNSApps,Router_Only,m-0-1 ,322779.5836666667
TwoDCNSApps,Router_Only,m-0-2 ,322779.5836666667
TwoDCNSApps,Router_Only,m-0-3 ,322779.5836666667
HighResTwoDCNSApps,Router_Only,cloud ,4929882.883928571
HighResTwoDCNSApps,Router_Only,proxy-server ,0.0
HighResTwoDCNSApps,Router_Only,d-0 ,363380.76192000083
HighResTwoDCNSApps,Router_Only,m-0-0 ,326167.10366666655
HighResTwoDCNSApps,Router_Only,m-0-1 ,326167.10366666655
HighResTwoDCNSApps,Router_Only,m-0-2 ,326167.10366666655
HighResTwoDCNSApps,Router_Only,m-0-3 ,326167.10366666655
LowResTwoDCNSApps,Router_Only,cloud ,4929771.2209821455
LowResTwoDCNSApps,Router_Only,proxy-server ,0.0
LowResTwoDCNSApps,Router_Only,d-0 ,342198.6110471443
LowResTwoDCNSApps,Router_Only,m-0-0 ,323996.763666667
LowResTwoDCNSApps,Router_Only,m-0-1 ,323996.763666667
LowResTwoDCNSApps,Router_Only,m-0-2 ,323996.763666667
LowResTwoDCNSApps,Router_Only,m-0-3 ,323996.763666667
TwoDCNSApps,Router_Proxy,cloud ,4832366.425178572
TwoDCNSApps,Router_Proxy,proxy-server ,374099.64339067123
TwoDCNSApps,Router_Proxy,d-0 ,334386.8851128595
TwoDCNSApps,Router_Proxy,m-0-0 ,322779.5836666667
TwoDCNSApps,Router_Proxy,m-0-1 ,322779.5836666667
TwoDCNSApps,Router_Proxy,m-0-2 ,322779.5836666667
TwoDCNSApps,Router_Proxy,m-0-3 ,322779.5836666667
HighResTwoDCNSApps,Router_Proxy,cloud ,4934871.187500002
HighResTwoDCNSApps,Router_Proxy,proxy-server ,387002.05035200744
HighResTwoDCNSApps,Router_Proxy,d-0 ,345055.389527146
HighResTwoDCNSApps,Router_Proxy,m-0-0 ,326167.10366666655
HighResTwoDCNSApps,Router_Proxy,m-0-1 ,326167.10366666655
HighResTwoDCNSApps,Router_Proxy,m-0-2 ,326167.10366666655
HighResTwoDCNSApps,Router_Proxy,m-0-3 ,326167.10366666655
LowResTwoDCNSApps,Router_Proxy,cloud ,4932223.354017863
LowResTwoDCNSApps,Router_Proxy,proxy-server ,376462.4071060067
LowResTwoDCNSApps,Router_Proxy,d-0 ,334872.3879985757
LowResTwoDCNSApps,Router_Proxy,m-0-0 ,323996.763666667
LowResTwoDCNSApps,Router_Proxy,m-0-1 ,323996.763666667
LowResTwoDCNSApps,Router_Proxy,m-0-2 ,323996.763666667
LowResTwoDCNSApps,Router_Proxy,m-0-3 ,323996.763666667
TwoDCNSApps,Router_Cloud,cloud ,5085120.369642824
TwoDCNSApps,Router_Cloud,proxy-server ,0.0
TwoDCNSApps,Router_Cloud,d-0 ,334386.8851128595
TwoDCNSApps,Router_Cloud,m-0-0 ,322779.5836666667
TwoDCNSApps,Router_Cloud,m-0-1 ,322779.5836666667
TwoDCNSApps,Router_Cloud,m-0-2 ,322779.5836666667
