app_class,scenario,simulation_time
TwoDCNSApps,Router_Only,266
HighResTwoDCNSApps,Router_Only,298
LowResTwoDCNSApps,Router_Only,271
TwoDCNSApps,Router_Proxy,226
HighResTwoDCNSApps,Router_Proxy,264
LowResTwoDCNSApps,Router_Proxy,272
TwoDCNSApps,Router_Cloud,278
HighResTwoDCNSApps,Router_Cloud,316
LowResTwoDCNSApps,Router_Cloud,320
TwoDCNSApps,Proxy_Only,270
HighResTwoDCNSApps,Proxy_Only,302
LowResTwoDCNSApps,Proxy_Only,323
TwoDCNSApps,Proxy_Cloud,279
HighResTwoDCNSApps,Proxy_Cloud,321
LowResTwoDCNSApps,Proxy_Cloud,299
TwoDCNSApps,Cloud_Only,451
HighResTwoDCNSApps,Cloud_Only,410
LowResTwoDCNSApps,Cloud_Only,398
TwoDCNSApps,ModuleBased_Router_Proxy,236
HighResTwoDCNSApps,ModuleBased_Router_Proxy,257
LowResTwoDCNSApps,ModuleBased_Router_Proxy,262
