app_class,scenario,device,energy
TwoDCNSApps,Router_Only,proxy-server ,0.0
TwoDCNSApps,Router_Only,d-0 ,746000.2562800089
TwoDCNSApps,Router_Only,m-0-0 ,666374.9629999975
TwoDCNSApps,Router_Only,m-0-1 ,666374.9629999975
TwoDCNSApps,Router_Only,m-0-2 ,666374.9629999975
TwoDCNSApps,Router_Only,m-0-3 ,666374.9629999975
HighResTwoDCNSApps,Router_Only,proxy-server ,0.0
HighResTwoDCNSApps,Router_Only,d-0 ,849914.8884800075
HighResTwoDCNSApps,Router_Only,m-0-0 ,674457.8829999989
HighResTwoDCNSApps,Router_Only,m-0-1 ,674457.8829999989
HighResTwoDCNSApps,Router_Only,m-0-2 ,674457.8829999989
HighResTwoDCNSApps,Router_Only,m-0-3 ,674457.8829999989
LowResTwoDCNSApps,Router_Only,proxy-server ,0.0
LowResTwoDCNSApps,Router_Only,d-0 ,718229.0198899987
LowResTwoDCNSApps,Router_Only,m-0-0 ,662333.5030000048
LowResTwoDCNSApps,Router_Only,m-0-1 ,662333.5030000048
LowResTwoDCNSApps,Router_Only,m-0-2 ,662333.5030000048
LowResTwoDCNSApps,Router_Only,m-0-3 ,662333.5030000048
TwoDCNSApps,Router_Proxy,proxy-server ,703865.2436920168
TwoDCNSApps,Router_Proxy,d-0 ,703535.5368399959
TwoDCNSApps,Router_Proxy,m-0-0 ,666374.9629999975
TwoDCNSApps,Router_Proxy,m-0-1 ,666374.9629999975
TwoDCNSApps,Router_Proxy,m-0-2 ,666374.9629999975
TwoDCNSApps,Router_Proxy,m-0-3 ,666374.9629999975
HighResTwoDCNSApps,Router_Proxy,proxy-server ,731102.9757720209
HighResTwoDCNSApps,Router_Proxy,d-0 ,730170.5541600047
HighResTwoDCNSApps,Router_Proxy,m-0-0 ,674457.8829999989
HighResTwoDCNSApps,Router_Proxy,m-0-1 ,674457.8829999989
HighResTwoDCNSApps,Router_Proxy,m-0-2 ,674457.8829999989
HighResTwoDCNSApps,Router_Proxy,m-0-3 ,674457.8829999989
LowResTwoDCNSApps,Router_Proxy,proxy-server ,690292.2765960124
LowResTwoDCNSApps,Router_Proxy,d-0 ,690197.8790899914
LowResTwoDCNSApps,Router_Proxy,m-0-0 ,662333.5030000048
LowResTwoDCNSApps,Router_Proxy,m-0-1 ,662333.5030000048
LowResTwoDCNSApps,Router_Proxy,m-0-2 ,662333.5030000048
LowResTwoDCNSApps,Router_Proxy,m-0-3 ,662333.5030000048
TwoDCNSApps,Router_Cloud,proxy-server ,0.0
TwoDCNSApps,Router_Cloud,d-0 ,703535.5368399959
TwoDCNSApps,Router_Cloud,m-0-0 ,666374.9629999975
TwoDCNSApps,Router_Cloud,m-0-1 ,666374.9629999975
TwoDCNSApps,Router_Cloud,m-0-2 ,666374.9629999975
TwoDCNSApps,Router_Cloud,m-0-3 ,666374.9629999975
HighResTwoDCNSApps,Router_Cloud,proxy-server ,0.0
HighResTwoDCNSApps,Router_Cloud,d-0 ,730170.5541600047
HighResTwoDCNSApps,Router_Cloud,m-0-0 ,674457.8829999989
HighResTwoDCNSApps,Router_Cloud,m-0-1 ,674457.8829999989
HighResTwoDCNSApps,Router_Cloud,m-0-2 ,674457.8829999989
HighResTwoDCNSApps,Router_Cloud,m-0-3 ,674457.8829999989
LowResTwoDCNSApps,Router_Cloud,proxy-server ,0.0
LowResTwoDCNSApps,Router_Cloud,d-0 ,690197.8790899914
LowResTwoDCNSApps,Router_Cloud,m-0-0 ,662333.5030000048
