app_class,scenario,device_id,device,tuple,energy,app
TwoDCNSApps,Router_Only,5,proxy-server,DETECTED_OBJECT_1,1.9883499999983143,dcns_1
TwoDCNSApps,Router_Only,5,proxy-server,DETECTED_OBJECT,2.3341499999982456,dcns_0
TwoDCNSApps,Router_Only,6,d-0,PTZ_PARAMS_1,3.1436363636335045,dcns_1
TwoDCNSApps,Router_Only,6,d-0,DETECTED_OBJECT_1,2.073972727270969,dcns_1
TwoDCNSApps,Router_Only,6,d-0,PTZ_PARAMS,3.143636363633739,dcns_0
TwoDCNSApps,Router_Only,6,d-0,DETECTED_OBJECT,2.4346636363618064,dcns_0
TwoDCNSApps,Router_Only,7,m-0-0,MOTION_VIDEO_STREAM_1,2.8736466909849203,dcns_1
TwoDCNSApps,Router_Only,7,m-0-0,MOTION_VIDEO_STREAM,2.997244398124036,dcns_0
TwoDCNSApps,Router_Only,8,m-0-1,MOTION_VIDEO_STREAM_1,2.8736466909849203,dcns_1
TwoDCNSApps,Router_Only,8,m-0-1,MOTION_VIDEO_STREAM,2.997244398124036,dcns_0
TwoDCNSApps,Router_Only,9,m-0-2,MOTION_VIDEO_STREAM_1,2.8736466909849203,dcns_1
TwoDCNSApps,Router_Only,9,m-0-2,MOTION_VIDEO_STREAM,2.997244398124036,dcns_0
TwoDCNSApps,Router_Only,10,m-0-3,MOTION_VIDEO_STREAM_1,2.8736466909849203,dcns_1
TwoDCNSApps,Router_Only,10,m-0-3,MOTION_VIDEO_STREAM,2.997244398124036,dcns_0
HighResTwoDCNSApps,Router_Only,5,proxy-server,DETECTED_OBJECT_1,2.593499999997765,dcns_1
HighResTwoDCNSApps,Router_Only,5,proxy-server,DETECTED_OBJECT,2.7663999999982827,dcns_0
HighResTwoDCNSApps,Router_Only,6,d-0,PTZ_PARAMS_1,3.1436363636335045,dcns_1
HighResTwoDCNSApps,Router_Only,6,d-0,DETECTED_OBJECT_1,2.705181818179486,dcns_1
HighResTwoDCNSApps,Router_Only,6,d-0,PTZ_PARAMS,3.143636363633739,dcns_0
HighResTwoDCNSApps,Router_Only,6,d-0,DETECTED_OBJECT,2.8855272727254815,dcns_0
HighResTwoDCNSApps,Router_Only,7,m-0-0,MOTION_VIDEO_STREAM_1,2.769556084722527,dcns_1
HighResTwoDCNSApps,Router_Only,7,m-0-0,MOTION_VIDEO_STREAM,3.112028073693351,dcns_0
HighResTwoDCNSApps,Router_Only,8,m-0-1,MOTION_VIDEO_STREAM_1,2.769556084722527,dcns_1
HighResTwoDCNSApps,Router_Only,8,m-0-1,MOTION_VIDEO_STREAM,3.112028073693351,dcns_0
HighResTwoDCNSApps,Router_Only,9,m-0-2,MOTION_VIDEO_STREAM_1,2.769556084722527,dcns_1
HighResTwoDCNSApps,Router_Only,9,m-0-2,MOTION_VIDEO_STREAM,3.112028073693351,dcns_0
HighResTwoDCNSApps,Router_Only,10,m-0-3,MOTION_VIDEO_STREAM_1,2.769556084722527,dcns_1
HighResTwoDCNSApps,Router_Only,10,m-0-3,MOTION_VIDEO_STREAM,3.112028073693351,dcns_0
LowResTwoDCNSApps,Router_Only,5,proxy-server,DETECTED_OBJECT_1,1.3831999999988647,dcns_1
LowResTwoDCNSApps,Router_Only,5,proxy-server,DETECTED_OBJECT,3.285099999997128,dcns_0
LowResTwoDCNSApps,Router_Only,6,d-0,PTZ_PARAMS_1,3.1436363636335045,dcns_1
LowResTwoDCNSApps,Router_Only,6,d-0,DETECTED_OBJECT_1,1.4427636363624523,dcns_1
LowResTwoDCNSApps,Router_Only,6,d-0,PTZ_PARAMS,3.143636363633739,dcns_0
LowResTwoDCNSApps,Router_Only,6,d-0,DETECTED_OBJECT,3.4265636363606546,dcns_0
LowResTwoDCNSApps,Router_Only,7,m-0-0,MOTION_VIDEO_STREAM_1,3.813159430431383,dcns_1
LowResTwoDCNSApps,Router_Only,7,m-0-0,MOTION_VIDEO_STREAM,1.9885831438260388,dcns_0
LowResTwoDCNSApps,Router_Only,8,m-0-1,MOTION_VIDEO_STREAM_1,3.813159430431383,dcns_1
LowResTwoDCNSApps,Router_Only,8,m-0-1,MOTION_VIDEO_STREAM,1.9885831438260388,dcns_0
LowResTwoDCNSApps,Router_Only,9,m-0-2,MOTION_VIDEO_STREAM_1,3.813159430431383,dcns_1
LowResTwoDCNSApps,Router_Only,9,m-0-2,MOTION_VIDEO_STREAM,1.9885831438260388,dcns_0
LowResTwoDCNSApps,Router_Only,10,m-0-3,MOTION_VIDEO_STREAM_1,3.813159430431383,dcns_1
LowResTwoDCNSApps,Router_Only,10,m-0-3,MOTION_VIDEO_STREAM,1.9885831438260388,dcns_0
TwoDCNSApps,Router_Proxy,5,proxy-server,PTZ_PARAMS_1,0.0821274999981808,dcns_1
TwoDCNSApps,Router_Proxy,5,proxy-server,DETECTED_OBJECT_1,6.397299999994661,dcns_1
TwoDCNSApps,Router_Proxy,5,proxy-server,DETECTED_OBJECT,6.656649999994668,dcns_0
TwoDCNSApps,Router_Proxy,6,d-0,MOTION_VIDEO_STREAM_1,134.17701818170713,dcns_1
TwoDCNSApps,Router_Proxy,6,d-0,PTZ_PARAMS_1,3.1436363636335045,dcns_1
TwoDCNSApps,Router_Proxy,6,d-0,PTZ_PARAMS,3.143636363633739,dcns_0
TwoDCNSApps,Router_Proxy,6,d-0,DETECTED_OBJECT,6.943299999994467,dcns_0
TwoDCNSApps,Router_Proxy,7,m-0-0,MOTION_VIDEO_STREAM_1,2.8736466909849203,dcns_1
TwoDCNSApps,Router_Proxy,7,m-0-0,MOTION_VIDEO_STREAM,2.997244398124036,dcns_0
TwoDCNSApps,Router_Proxy,8,m-0-1,MOTION_VIDEO_STREAM_1,2.8736466909849203,dcns_1
TwoDCNSApps,Router_Proxy,8,m-0-1,MOTION_VIDEO_STREAM,2.997244398124036,dcns_0
TwoDCNSApps,Router_Proxy,9,m-0-2,MOTION_VIDEO_STREAM_1,2.8736466909849203,dcns_1
TwoDCNSApps,Router_Proxy,9,m-0-2,MOTION_VIDEO_STREAM,2.997244398124036,dcns_0
TwoDCNSApps,Router_Proxy,10,m-0-3,MOTION_VIDEO_STREAM_1,2.8736466909849203,dcns_1
TwoDCNSApps,Router_Proxy,10,m-0-3,MOTION_VIDEO_STREAM,2.997244398124036,dcns_0
HighResTwoDCNSApps,Router_Proxy,5,proxy-server,PTZ_PARAMS_1,0.0821274999981808,dcns_1
HighResTwoDCNSApps,Router_Proxy,5,proxy-server,DETECTED_OBJECT_1,6.397299999994661,dcns_1
HighResTwoDCNSApps,Router_Proxy,5,proxy-server,DETECTED_OBJECT,7.088899999995587,dcns_0
HighResTwoDCNSApps,Router_Proxy,6,d-0,MOTION_VIDEO_STREAM_1,134.17701818170713,dcns_1
HighResTwoDCNSApps,Router_Proxy,6,d-0,PTZ_PARAMS_1,3.1436363636335045,dcns_1
HighResTwoDCNSApps,Router_Proxy,6,d-0,PTZ_PARAMS,3.143636363633739,dcns_0
HighResTwoDCNSApps,Router_Proxy,6,d-0,DETECTED_OBJECT,7.394163636359026,dcns_0
HighResTwoDCNSApps,Router_Proxy,7,m-0-0,MOTION_VIDEO_STREAM_1,2.769556084722527,dcns_1
HighResTwoDCNSApps,Router_Proxy,7,m-0-0,MOTION_VIDEO_STREAM,3.112028073693351,dcns_0
HighResTwoDCNSApps,Router_Proxy,8,m-0-1,MOTION_VIDEO_STREAM_1,2.769556084722527,dcns_1
HighResTwoDCNSApps,Router_Proxy,8,m-0-1,MOTION_VIDEO_STREAM,3.112028073693351,dcns_0
HighResTwoDCNSApps,Router_Proxy,9,m-0-2,MOTION_VIDEO_STREAM_1,2.769556084722527,dcns_1
HighResTwoDCNSApps,Router_Proxy,9,m-0-2,MOTION_VIDEO_STREAM,3.112028073693351,dcns_0
HighResTwoDCNSApps,Router_Proxy,10,m-0-3,MOTION_VIDEO_STREAM_1,2.769556084722527,dcns_1
HighResTwoDCNSApps,Router_Proxy,10,m-0-3,MOTION_VIDEO_STREAM,3.112028073693351,dcns_0
LowResTwoDCNSApps,Router_Proxy,5,proxy-server,PTZ_PARAMS_1,0.0821274999981808,dcns_1
LowResTwoDCNSApps,Router_Proxy,5,proxy-server,DETECTED_OBJECT_1,6.397299999994661,dcns_1
LowResTwoDCNSApps,Router_Proxy,5,proxy-server,DETECTED_OBJECT,3.3283249999970885,dcns_0
LowResTwoDCNSApps,Router_Proxy,6,d-0,MOTION_VIDEO_STREAM_1,134.17701818170713,dcns_1
LowResTwoDCNSApps,Router_Proxy,6,d-0,PTZ_PARAMS_1,3.1436363636335045,dcns_1
LowResTwoDCNSApps,Router_Proxy,6,d-0,PTZ_PARAMS,3.143636363633739,dcns_0
LowResTwoDCNSApps,Router_Proxy,6,d-0,DETECTED_OBJECT,3.4716499999969774,dcns_0
LowResTwoDCNSApps,Router_Proxy,7,m-0-0,MOTION_VIDEO_STREAM_1,3.813159430431383,dcns_1
LowResTwoDCNSApps,Router_Proxy,7,m-0-0,MOTION_VIDEO_STREAM,1.9885831438260388,dcns_0
LowResTwoDCNSApps,Router_Proxy,8,m-0-1,MOTION_VIDEO_STREAM_1,3.813159430431383,dcns_1
LowResTwoDCNSApps,Router_Proxy,8,m-0-1,MOTION_VIDEO_STREAM,1.9885831438260388,dcns_0
LowResTwoDCNSApps,Router_Proxy,9,m-0-2,MOTION_VIDEO_STREAM_1,3.813159430431383,dcns_1
LowResTwoDCNSApps,Router_Proxy,9,m-0-2,MOTION_VIDEO_STREAM,1.9885831438260388,dcns_0
LowResTwoDCNSApps,Router_Proxy,10,m-0-3,MOTION_VIDEO_STREAM_1,3.813159430431383,dcns_1
LowResTwoDCNSApps,Router_Proxy,10,m-0-3,MOTION_VIDEO_STREAM,1.9885831438260388,dcns_0
TwoDCNSApps,Router_Cloud,4,cloud,PTZ_PARAMS_1,0.23367665334147722,dcns_1
TwoDCNSApps,Router_Cloud,5,proxy-server,MOTION_VIDEO_STREAM_1,128.63759999989736,dcns_1
TwoDCNSApps,Router_Cloud,5,proxy-server,PTZ_PARAMS_1,0.07780499999816015,dcns_1
