app_class,scenario,simulation_time
TwoDCNSApps,Router_Only,21751
HighResTwoDCNSApps,Router_Only,10317
LowResTwoDCNSApps,Router_Only,17501
TwoDCNSApps,Router_Proxy,432
HighResTwoDCNSApps,Router_Proxy,843
LowResTwoDCNSApps,Router_Proxy,452
TwoDCNSApps,Router_Cloud,518
HighResTwoDCNSApps,Router_Cloud,1086
LowResTwoDCNSApps,Router_Cloud,562
TwoDCNSApps,Proxy_Only,29590
HighResTwoDCNSApps,Proxy_Only,12309
LowResTwoDCNSApps,Proxy_Only,22648
TwoDCNSApps,Proxy_Cloud,571
HighResTwoDCNSApps,Proxy_Cloud,1399
LowResTwoDCNSApps,Proxy_Cloud,614
TwoDCNSApps,Cloud_Only,769
HighResTwoDCNSApps,Cloud_Only,1442
LowResTwoDCNSApps,Cloud_Only,719
TwoDCNSApps,ModuleBased_Router_Proxy,3035
HighResTwoDCNSApps,ModuleBased_Router_Proxy,2422
LowResTwoDCNSApps,ModuleBased_Router_Proxy,2112
