app_class,scenario,simulation_time
TwoDCNSApps,Router_Only,21766
HighResTwoDCNSApps,Router_Only,1601
LowResTwoDCNSApps,Router_Only,4188
TwoDCNSApps,Router_Proxy,376
HighResTwoDCNSApps,Router_Proxy,1486
LowResTwoDCNSApps,Router_Proxy,4274
TwoDCNSApps,Router_Cloud,483
HighResTwoDCNSApps,Router_Cloud,1483
LowResTwoDCNSApps,Router_Cloud,4756
TwoDCNSApps,Proxy_Only,30328
HighResTwoDCNSApps,Proxy_Only,1643
LowResTwoDCNSApps,Proxy_Only,4342
TwoDCNSApps,Proxy_Cloud,566
HighResTwoDCNSApps,Proxy_Cloud,1749
LowResTwoDCNSApps,Proxy_Cloud,5014
TwoDCNSApps,Cloud_Only,576
HighResTwoDCNSApps,Cloud_Only,1829
LowResTwoDCNSApps,Cloud_Only,4591
TwoDCNSApps,ModuleBased_Router_Proxy,3323
HighResTwoDCNSApps,ModuleBased_Router_Proxy,1799
LowResTwoDCNSApps,ModuleBased_Router_Proxy,4725
