app_class,scenario,device,app,vm,energy
TwoDCNSApps,Router_Only,cloud ,dcns_1,user_interface_1,4.030242857141915
TwoDCNSApps,Router_Only,cloud ,dcns_0,user_interface,4.579821428570498
TwoDCNSApps,Router_Only,d-0 ,dcns_1,object_tracker_1,31.223952882535762
TwoDCNSApps,Router_Only,d-0 ,dcns_1,object_detector_1,68.40599847282125
TwoDCNSApps,Router_Only,d-0 ,dcns_0,object_tracker,33.95689199385719
TwoDCNSApps,Router_Only,d-0 ,dcns_0,object_detector,74.493653187107
TwoDCNSApps,Router_Only,m-0-0 ,dcns_1,motion_detector_1,34.28112449999962
TwoDCNSApps,Router_Only,m-0-0 ,dcns_0,motion_detector,37.4847224999996
TwoDCNSApps,Router_Only,m-0-1 ,dcns_1,motion_detector_1,34.28112449999962
TwoDCNSApps,Router_Only,m-0-1 ,dcns_0,motion_detector,37.4847224999996
TwoDCNSApps,Router_Only,m-0-2 ,dcns_1,motion_detector_1,34.28112449999962
TwoDCNSApps,Router_Only,m-0-2 ,dcns_0,motion_detector,37.4847224999996
TwoDCNSApps,Router_Only,m-0-3 ,dcns_1,motion_detector_1,34.28112449999962
TwoDCNSApps,Router_Only,m-0-3 ,dcns_0,motion_detector,37.4847224999996
HighResTwoDCNSApps,Router_Only,cloud ,dcns_1,user_interface_1,1.411100000000356
HighResTwoDCNSApps,Router_Only,cloud ,dcns_0,user_interface,1.8142714285717725
HighResTwoDCNSApps,Router_Only,d-0 ,dcns_1,object_tracker_1,7.368661341500041
HighResTwoDCNSApps,Router_Only,d-0 ,dcns_1,object_detector_1,92.01036956177214
HighResTwoDCNSApps,Router_Only,d-0 ,dcns_0,object_tracker,9.05147618107148
HighResTwoDCNSApps,Router_Only,d-0 ,dcns_0,object_detector,99.72804366177175
HighResTwoDCNSApps,Router_Only,m-0-0 ,dcns_1,motion_detector_1,66.92543799999933
HighResTwoDCNSApps,Router_Only,m-0-0 ,dcns_0,motion_detector,69.95397599999934
HighResTwoDCNSApps,Router_Only,m-0-1 ,dcns_1,motion_detector_1,66.92543799999933
HighResTwoDCNSApps,Router_Only,m-0-1 ,dcns_0,motion_detector,69.95397599999934
HighResTwoDCNSApps,Router_Only,m-0-2 ,dcns_1,motion_detector_1,66.92543799999933
HighResTwoDCNSApps,Router_Only,m-0-2 ,dcns_0,motion_detector,69.95397599999934
HighResTwoDCNSApps,Router_Only,m-0-3 ,dcns_1,motion_detector_1,66.92543799999933
