app_class,scenario,simulation_time
TwoDCNSApps,Router_Only,21540
HighResTwoDCNSApps,Router_Only,33233
LowResTwoDCNSApps,Router_Only,4450
TwoDCNSApps,Router_Proxy,408
HighResTwoDCNSApps,Router_Proxy,9288
LowResTwoDCNSApps,Router_Proxy,481
TwoDCNSApps,Router_Cloud,587
HighResTwoDCNSApps,Router_Cloud,4984
LowResTwoDCNSApps,Router_Cloud,534
TwoDCNSApps,Proxy_Only,28923
HighResTwoDCNSApps,Proxy_Only,42461
LowResTwoDCNSApps,Proxy_Only,4769
TwoDCNSApps,Proxy_Cloud,450
HighResTwoDCNSApps,Proxy_Cloud,6607
LowResTwoDCNSApps,Proxy_Cloud,562
TwoDCNSApps,Cloud_Only,783
HighResTwoDCNSApps,Cloud_Only,751
LowResTwoDCNSApps,Cloud_Only,772
TwoDCNSApps,ModuleBased_Router_Proxy,3327
HighResTwoDCNSApps,ModuleBased_Router_Proxy,26692
LowResTwoDCNSApps,ModuleBased_Router_Proxy,457
