app_class,scenario,device,app,vm,energy
TwoDCNSApps,Router_Only,cloud ,dcns_1,user_interface_1,4.030242857141915
TwoDCNSApps,Router_Only,cloud ,dcns_0,user_interface,4.579821428570498
TwoDCNSApps,Router_Only,d-0 ,dcns_1,object_tracker_1,31.091824962761958
TwoDCNSApps,Router_Only,d-0 ,dcns_1,object_detector_1,68.640935431226
TwoDCNSApps,Router_Only,d-0 ,dcns_0,object_tracker,33.6897622803691
TwoDCNSApps,Router_Only,d-0 ,dcns_0,object_detector,74.69281047884512
TwoDCNSApps,Router_Only,m-0-0 ,dcns_1,motion_detector_1,23.398227833333525
TwoDCNSApps,Router_Only,m-0-0 ,dcns_0,motion_detector,26.134999166666795
TwoDCNSApps,Router_Only,m-0-1 ,dcns_1,motion_detector_1,23.398227833333525
TwoDCNSApps,Router_Only,m-0-1 ,dcns_0,motion_detector,26.134999166666795
TwoDCNSApps,Router_Only,m-0-2 ,dcns_1,motion_detector_1,23.398227833333525
TwoDCNSApps,Router_Only,m-0-2 ,dcns_0,motion_detector,26.134999166666795
TwoDCNSApps,Router_Only,m-0-3 ,dcns_1,motion_detector_1,23.398227833333525
TwoDCNSApps,Router_Only,m-0-3 ,dcns_0,motion_detector,26.134999166666795
HighResTwoDCNSApps,Router_Only,cloud ,dcns_1,user_interface_1,1.411100000000356
HighResTwoDCNSApps,Router_Only,cloud ,dcns_0,user_interface,1.8142714285717725
HighResTwoDCNSApps,Router_Only,d-0 ,dcns_1,object_tracker_1,7.553506766571478
HighResTwoDCNSApps,Router_Only,d-0 ,dcns_1,object_detector_1,91.95965729559737
HighResTwoDCNSApps,Router_Only,d-0 ,dcns_0,object_tracker,9.112049878892913
HighResTwoDCNSApps,Router_Only,d-0 ,dcns_0,object_detector,99.6057720622637
HighResTwoDCNSApps,Router_Only,m-0-0 ,dcns_1,motion_detector_1,45.16402116666634
HighResTwoDCNSApps,Router_Only,m-0-0 ,dcns_0,motion_detector,48.83444583333293
HighResTwoDCNSApps,Router_Only,m-0-1 ,dcns_1,motion_detector_1,45.16402116666634
HighResTwoDCNSApps,Router_Only,m-0-1 ,dcns_0,motion_detector,48.83444583333293
HighResTwoDCNSApps,Router_Only,m-0-2 ,dcns_1,motion_detector_1,45.16402116666634
HighResTwoDCNSApps,Router_Only,m-0-2 ,dcns_0,motion_detector,48.83444583333293
HighResTwoDCNSApps,Router_Only,m-0-3 ,dcns_1,motion_detector_1,45.16402116666634
