app_class,scenario,device,energy
TwoDCNSApps,Router_Only,cloud ,2345967.112142855
TwoDCNSApps,Router_Only,proxy-server ,0.0
TwoDCNSApps,Router_Only,d-0 ,207980.04640000052
TwoDCNSApps,Router_Only,m-0-0 ,168380.89199999926
TwoDCNSApps,Router_Only,m-0-1 ,168380.89199999926
TwoDCNSApps,Router_Only,m-0-2 ,168380.89199999926
TwoDCNSApps,Router_Only,m-0-3 ,168380.89199999926
HighResTwoDCNSApps,Router_Only,cloud ,2291184.488571428
HighResTwoDCNSApps,Router_Only,proxy-server ,0.0
HighResTwoDCNSApps,Router_Only,d-0 ,206788.58349999954
HighResTwoDCNSApps,Router_Only,m-0-0 ,170158.31999999876
HighResTwoDCNSApps,Router_Only,m-0-1 ,170158.31999999876
HighResTwoDCNSApps,Router_Only,m-0-2 ,170158.31999999876
HighResTwoDCNSApps,Router_Only,m-0-3 ,170158.31999999876
LowResTwoDCNSApps,Router_Only,cloud ,2403104.0464285715
LowResTwoDCNSApps,Router_Only,proxy-server ,0.0
LowResTwoDCNSApps,Router_Only,d-0 ,208203.06773000179
LowResTwoDCNSApps,Router_Only,m-0-0 ,164518.09099999978
LowResTwoDCNSApps,Router_Only,m-0-1 ,164518.09099999978
LowResTwoDCNSApps,Router_Only,m-0-2 ,164518.09099999978
LowResTwoDCNSApps,Router_Only,m-0-3 ,164518.09099999978
TwoDCNSApps,Router_Proxy,cloud ,2419382.316428573
TwoDCNSApps,Router_Proxy,proxy-server ,203538.92685400264
TwoDCNSApps,Router_Proxy,d-0 ,203222.12908000097
TwoDCNSApps,Router_Proxy,m-0-0 ,168380.89199999926
TwoDCNSApps,Router_Proxy,m-0-1 ,168380.89199999926
TwoDCNSApps,Router_Proxy,m-0-2 ,168380.89199999926
TwoDCNSApps,Router_Proxy,m-0-3 ,168380.89199999926
HighResTwoDCNSApps,Router_Proxy,cloud ,2344339.597142855
HighResTwoDCNSApps,Router_Proxy,proxy-server ,184972.13608599963
HighResTwoDCNSApps,Router_Proxy,d-0 ,184818.56218000082
HighResTwoDCNSApps,Router_Proxy,m-0-0 ,170158.31999999876
HighResTwoDCNSApps,Router_Proxy,m-0-1 ,170158.31999999876
HighResTwoDCNSApps,Router_Proxy,m-0-2 ,170158.31999999876
HighResTwoDCNSApps,Router_Proxy,m-0-3 ,170158.31999999876
LowResTwoDCNSApps,Router_Proxy,cloud ,2423851.558214287
LowResTwoDCNSApps,Router_Proxy,proxy-server ,190279.77329700376
LowResTwoDCNSApps,Router_Proxy,d-0 ,190191.83032999886
LowResTwoDCNSApps,Router_Proxy,m-0-0 ,164518.09099999978
LowResTwoDCNSApps,Router_Proxy,m-0-1 ,164518.09099999978
LowResTwoDCNSApps,Router_Proxy,m-0-2 ,164518.09099999978
LowResTwoDCNSApps,Router_Proxy,m-0-3 ,164518.09099999978
TwoDCNSApps,Router_Cloud,cloud ,2510647.0553571233
TwoDCNSApps,Router_Cloud,proxy-server ,0.0
TwoDCNSApps,Router_Cloud,d-0 ,203222.12908000097
TwoDCNSApps,Router_Cloud,m-0-0 ,168380.89199999926
TwoDCNSApps,Router_Cloud,m-0-1 ,168380.89199999926
TwoDCNSApps,Router_Cloud,m-0-2 ,168380.89199999926
TwoDCNSApps,Router_Cloud,m-0-3 ,168380.89199999926
HighResTwoDCNSApps,Router_Cloud,cloud ,2462818.0899999896
HighResTwoDCNSApps,Router_Cloud,proxy-server ,0.0
HighResTwoDCNSApps,Router_Cloud,d-0 ,184818.56218000082
HighResTwoDCNSApps,Router_Cloud,m-0-0 ,170158.31999999876
HighResTwoDCNSApps,Router_Cloud,m-0-1 ,170158.31999999876
HighResTwoDCNSApps,Router_Cloud,m-0-2 ,170158.31999999876
HighResTwoDCNSApps,Router_Cloud,m-0-3 ,170158.31999999876
LowResTwoDCNSApps,Router_Cloud,cloud ,2499663.684821426
LowResTwoDCNSApps,Router_Cloud,proxy-server ,0.0
LowResTwoDCNSApps,Router_Cloud,d-0 ,190191.83032999886
LowResTwoDCNSApps,Router_Cloud,m-0-0 ,164518.09099999978
LowResTwoDCNSApps,Router_Cloud,m-0-1 ,164518.09099999978
LowResTwoDCNSApps,Router_Cloud,m-0-2 ,164518.09099999978
LowResTwoDCNSApps,Router_Cloud,m-0-3 ,164518.09099999978
TwoDCNSApps,Proxy_Only,cloud ,2352293.505357141
TwoDCNSApps,Proxy_Only,proxy-server ,207763.2216200075
TwoDCNSApps,Proxy_Only,d-0 ,0.0
TwoDCNSApps,Proxy_Only,m-0-0 ,168380.89199999926
TwoDCNSApps,Proxy_Only,m-0-1 ,168380.89199999926
TwoDCNSApps,Proxy_Only,m-0-2 ,168380.89199999926
TwoDCNSApps,Proxy_Only,m-0-3 ,168380.89199999926
HighResTwoDCNSApps,Proxy_Only,cloud ,2291184.4885714278
HighResTwoDCNSApps,Proxy_Only,proxy-server ,206569.6119399987
HighResTwoDCNSApps,Proxy_Only,d-0 ,0.0
HighResTwoDCNSApps,Proxy_Only,m-0-0 ,170158.31999999876
HighResTwoDCNSApps,Proxy_Only,m-0-1 ,170158.31999999876
HighResTwoDCNSApps,Proxy_Only,m-0-2 ,170158.31999999876
HighResTwoDCNSApps,Proxy_Only,m-0-3 ,170158.31999999876
LowResTwoDCNSApps,Proxy_Only,cloud ,2403104.0464285715
LowResTwoDCNSApps,Proxy_Only,proxy-server ,207987.31634000898
LowResTwoDCNSApps,Proxy_Only,d-0 ,0.0
LowResTwoDCNSApps,Proxy_Only,m-0-0 ,164518.09099999978
LowResTwoDCNSApps,Proxy_Only,m-0-1 ,164518.09099999978
LowResTwoDCNSApps,Proxy_Only,m-0-2 ,164518.09099999978
LowResTwoDCNSApps,Proxy_Only,m-0-3 ,164518.09099999978
TwoDCNSApps,Proxy_Cloud,cloud ,2510647.0553571233
TwoDCNSApps,Proxy_Cloud,proxy-server ,203560.39465400288
TwoDCNSApps,Proxy_Cloud,d-0 ,0.0
TwoDCNSApps,Proxy_Cloud,m-0-0 ,168380.89199999926
TwoDCNSApps,Proxy_Cloud,m-0-1 ,168380.89199999926
TwoDCNSApps,Proxy_Cloud,m-0-2 ,168380.89199999926
TwoDCNSApps,Proxy_Cloud,m-0-3 ,168380.89199999926
