app_class,scenario,device,app,vm,energy
TwoDCNSApps,Router_Only,cloud ,dcns_1,user_interface_1,2.3182357142862893
TwoDCNSApps,Router_Only,cloud ,dcns_0,user_interface,3.076315714285787
TwoDCNSApps,Router_Only,d-0 ,dcns_1,object_tracker_1,32.84343387857148
TwoDCNSApps,Router_Only,d-0 ,dcns_1,object_detector_1,71.15399571242841
TwoDCNSApps,Router_Only,d-0 ,dcns_0,object_tracker,32.80675460885719
TwoDCNSApps,Router_Only,d-0 ,dcns_0,object_detector,71.17546351242842
TwoDCNSApps,Router_Only,m-0-0 ,dcns_1,motion_detector_1,69.79642199999934
TwoDCNSApps,Router_Only,m-0-0 ,dcns_0,motion_detector,69.79642199999934
TwoDCNSApps,Router_Only,m-0-1 ,dcns_1,motion_detector_1,69.79642199999934
TwoDCNSApps,Router_Only,m-0-1 ,dcns_0,motion_detector,69.79642199999934
TwoDCNSApps,Router_Only,m-0-2 ,dcns_1,motion_detector_1,69.79642199999934
TwoDCNSApps,Router_Only,m-0-2 ,dcns_0,motion_detector,69.79642199999934
TwoDCNSApps,Router_Only,m-0-3 ,dcns_1,motion_detector_1,69.79642199999934
TwoDCNSApps,Router_Only,m-0-3 ,dcns_0,motion_detector,69.79642199999934
HighResTwoDCNSApps,Router_Only,cloud ,dcns_1,user_interface_1,2.145342857142599
HighResTwoDCNSApps,Router_Only,cloud ,dcns_0,user_interface,3.331902857141707
HighResTwoDCNSApps,Router_Only,d-0 ,dcns_1,object_tracker_1,30.61545192507156
HighResTwoDCNSApps,Router_Only,d-0 ,dcns_1,object_detector_1,72.84517149339275
HighResTwoDCNSApps,Router_Only,d-0 ,dcns_0,object_tracker,30.417821658392985
HighResTwoDCNSApps,Router_Only,d-0 ,dcns_0,object_detector,72.90957105985707
HighResTwoDCNSApps,Router_Only,m-0-0 ,dcns_1,motion_detector_1,85.07915999999938
HighResTwoDCNSApps,Router_Only,m-0-0 ,dcns_0,motion_detector,85.07915999999938
HighResTwoDCNSApps,Router_Only,m-0-1 ,dcns_1,motion_detector_1,85.07915999999938
HighResTwoDCNSApps,Router_Only,m-0-1 ,dcns_0,motion_detector,85.07915999999938
HighResTwoDCNSApps,Router_Only,m-0-2 ,dcns_1,motion_detector_1,85.07915999999938
HighResTwoDCNSApps,Router_Only,m-0-2 ,dcns_0,motion_detector,85.07915999999938
HighResTwoDCNSApps,Router_Only,m-0-3 ,dcns_1,motion_detector_1,85.07915999999938
HighResTwoDCNSApps,Router_Only,m-0-3 ,dcns_0,motion_detector,85.07915999999938
LowResTwoDCNSApps,Router_Only,cloud ,dcns_1,user_interface_1,4.946207142856034
LowResTwoDCNSApps,Router_Only,cloud ,dcns_0,user_interface,5.836127142855271
LowResTwoDCNSApps,Router_Only,d-0 ,dcns_1,object_tracker_1,51.86403118525045
LowResTwoDCNSApps,Router_Only,d-0 ,dcns_1,object_detector_1,52.226173803571875
LowResTwoDCNSApps,Router_Only,d-0 ,dcns_0,object_tracker,51.86403118525045
LowResTwoDCNSApps,Router_Only,d-0 ,dcns_0,object_detector,52.240484392393306
LowResTwoDCNSApps,Router_Only,m-0-0 ,dcns_1,motion_detector_1,35.75162849999961
LowResTwoDCNSApps,Router_Only,m-0-0 ,dcns_0,motion_detector,37.4146984999996
LowResTwoDCNSApps,Router_Only,m-0-1 ,dcns_1,motion_detector_1,35.75162849999961
LowResTwoDCNSApps,Router_Only,m-0-1 ,dcns_0,motion_detector,37.4146984999996
LowResTwoDCNSApps,Router_Only,m-0-2 ,dcns_1,motion_detector_1,35.75162849999961
LowResTwoDCNSApps,Router_Only,m-0-2 ,dcns_0,motion_detector,37.4146984999996
LowResTwoDCNSApps,Router_Only,m-0-3 ,dcns_1,motion_detector_1,35.75162849999961
LowResTwoDCNSApps,Router_Only,m-0-3 ,dcns_0,motion_detector,37.4146984999996
TwoDCNSApps,Router_Proxy,cloud ,dcns_1,user_interface_1,13.373078571425586
TwoDCNSApps,Router_Proxy,cloud ,dcns_0,user_interface,13.373078571425586
TwoDCNSApps,Router_Proxy,proxy-server ,dcns_1,object_tracker_1,63.49715215714387
TwoDCNSApps,Router_Proxy,proxy-server ,dcns_1,object_detector_1,125.37348541428169
TwoDCNSApps,Router_Proxy,d-0 ,dcns_0,object_tracker,63.49715215714387
TwoDCNSApps,Router_Proxy,d-0 ,dcns_0,object_detector,123.11936641428557
TwoDCNSApps,Router_Proxy,m-0-0 ,dcns_1,motion_detector_1,69.79642199999934
TwoDCNSApps,Router_Proxy,m-0-0 ,dcns_0,motion_detector,69.79642199999934
TwoDCNSApps,Router_Proxy,m-0-1 ,dcns_1,motion_detector_1,69.79642199999934
TwoDCNSApps,Router_Proxy,m-0-1 ,dcns_0,motion_detector,69.79642199999934
TwoDCNSApps,Router_Proxy,m-0-2 ,dcns_1,motion_detector_1,69.79642199999934
TwoDCNSApps,Router_Proxy,m-0-2 ,dcns_0,motion_detector,69.79642199999934
TwoDCNSApps,Router_Proxy,m-0-3 ,dcns_1,motion_detector_1,69.79642199999934
TwoDCNSApps,Router_Proxy,m-0-3 ,dcns_0,motion_detector,69.79642199999934
HighResTwoDCNSApps,Router_Proxy,cloud ,dcns_1,user_interface_1,5.2412285714299145
HighResTwoDCNSApps,Router_Proxy,cloud ,dcns_0,user_interface,5.2412285714299145
HighResTwoDCNSApps,Router_Proxy,proxy-server ,dcns_1,object_tracker_1,22.478320014286197
HighResTwoDCNSApps,Router_Proxy,proxy-server ,dcns_1,object_detector_1,87.26630031714124
HighResTwoDCNSApps,Router_Proxy,d-0 ,dcns_0,object_tracker,22.478320014286183
HighResTwoDCNSApps,Router_Proxy,d-0 ,dcns_0,object_detector,85.66265565714272
HighResTwoDCNSApps,Router_Proxy,m-0-0 ,dcns_1,motion_detector_1,85.07915999999938
HighResTwoDCNSApps,Router_Proxy,m-0-0 ,dcns_0,motion_detector,85.07915999999938
HighResTwoDCNSApps,Router_Proxy,m-0-1 ,dcns_1,motion_detector_1,85.07915999999938
HighResTwoDCNSApps,Router_Proxy,m-0-1 ,dcns_0,motion_detector,85.07915999999938
HighResTwoDCNSApps,Router_Proxy,m-0-2 ,dcns_1,motion_detector_1,85.07915999999938
HighResTwoDCNSApps,Router_Proxy,m-0-2 ,dcns_0,motion_detector,85.07915999999938
HighResTwoDCNSApps,Router_Proxy,m-0-3 ,dcns_1,motion_detector_1,85.07915999999938
HighResTwoDCNSApps,Router_Proxy,m-0-3 ,dcns_0,motion_detector,85.07915999999938
LowResTwoDCNSApps,Router_Proxy,cloud ,dcns_1,user_interface_1,12.70173928571231
LowResTwoDCNSApps,Router_Proxy,cloud ,dcns_0,user_interface,12.70173928571231
LowResTwoDCNSApps,Router_Proxy,proxy-server ,dcns_1,object_tracker_1,63.59713076857249
LowResTwoDCNSApps,Router_Proxy,proxy-server ,dcns_1,object_detector_1,64.91065344571315
LowResTwoDCNSApps,Router_Proxy,d-0 ,dcns_0,object_tracker,63.661227485715294
LowResTwoDCNSApps,Router_Proxy,d-0 ,dcns_0,object_detector,63.661227485715294
LowResTwoDCNSApps,Router_Proxy,m-0-0 ,dcns_1,motion_detector_1,35.75162849999961
LowResTwoDCNSApps,Router_Proxy,m-0-0 ,dcns_0,motion_detector,37.4146984999996
LowResTwoDCNSApps,Router_Proxy,m-0-1 ,dcns_1,motion_detector_1,35.75162849999961
LowResTwoDCNSApps,Router_Proxy,m-0-1 ,dcns_0,motion_detector,37.4146984999996
