app_class,scenario,device,app,vm,energy
TwoDCNSApps,Router_Only,cloud ,dcns_1,user_interface_1,5.359384285720475
TwoDCNSApps,Router_Only,cloud ,dcns_0,user_interface,1.252479999998861
TwoDCNSApps,Router_Only,d-0 ,dcns_1,object_tracker_1,16.161419864286152
TwoDCNSApps,Router_Only,d-0 ,dcns_1,object_detector_1,31.26555057857233
TwoDCNSApps,Router_Only,d-0 ,dcns_0,object_tracker,16.161419864286152
TwoDCNSApps,Router_Only,d-0 ,dcns_0,object_detector,35.49470717857071
TwoDCNSApps,Router_Only,m-0-0 ,dcns_1,motion_detector_1,12.357777166667017
TwoDCNSApps,Router_Only,m-0-0 ,dcns_0,motion_detector,49.908147166667135
TwoDCNSApps,Router_Only,m-0-1 ,dcns_1,motion_detector_1,12.357777166667017
TwoDCNSApps,Router_Only,m-0-1 ,dcns_0,motion_detector,49.908147166667135
TwoDCNSApps,Router_Only,m-0-2 ,dcns_1,motion_detector_1,12.357777166667017
TwoDCNSApps,Router_Only,m-0-2 ,dcns_0,motion_detector,49.908147166667135
TwoDCNSApps,Router_Only,m-0-3 ,dcns_1,motion_detector_1,12.357777166667017
TwoDCNSApps,Router_Only,m-0-3 ,dcns_0,motion_detector,49.908147166667135
HighResTwoDCNSApps,Router_Only,cloud ,dcns_1,user_interface_1,4.456368571428941
HighResTwoDCNSApps,Router_Only,cloud ,dcns_0,user_interface,2.504959999998003
HighResTwoDCNSApps,Router_Only,d-0 ,dcns_1,object_tracker_1,16.07938220000044
HighResTwoDCNSApps,Router_Only,d-0 ,dcns_1,object_detector_1,61.34066053333323
HighResTwoDCNSApps,Router_Only,d-0 ,dcns_0,object_tracker,16.07938220000044
HighResTwoDCNSApps,Router_Only,d-0 ,dcns_0,object_detector,69.79897373333475
HighResTwoDCNSApps,Router_Only,m-0-0 ,dcns_1,motion_detector_1,23.853383833334103
HighResTwoDCNSApps,Router_Only,m-0-0 ,dcns_0,motion_detector,61.403753833334484
HighResTwoDCNSApps,Router_Only,m-0-1 ,dcns_1,motion_detector_1,23.853383833334103
HighResTwoDCNSApps,Router_Only,m-0-1 ,dcns_0,motion_detector,61.403753833334484
HighResTwoDCNSApps,Router_Only,m-0-2 ,dcns_1,motion_detector_1,23.853383833334103
HighResTwoDCNSApps,Router_Only,m-0-2 ,dcns_0,motion_detector,61.403753833334484
HighResTwoDCNSApps,Router_Only,m-0-3 ,dcns_1,motion_detector_1,23.853383833334103
HighResTwoDCNSApps,Router_Only,m-0-3 ,dcns_0,motion_detector,61.403753833334484
LowResTwoDCNSApps,Router_Only,cloud ,dcns_1,user_interface_1,5.8108921428531275
LowResTwoDCNSApps,Router_Only,cloud ,dcns_0,user_interface,0.6262400000061753
LowResTwoDCNSApps,Router_Only,d-0 ,dcns_1,object_tracker_1,16.161419864286152
LowResTwoDCNSApps,Router_Only,d-0 ,dcns_1,object_detector_1,16.161419864286156
LowResTwoDCNSApps,Router_Only,d-0 ,dcns_0,object_tracker,16.161419864286152
LowResTwoDCNSApps,Router_Only,d-0 ,dcns_0,object_detector,18.275998164284786
LowResTwoDCNSApps,Router_Only,m-0-0 ,dcns_1,motion_detector_1,6.609973833334174
LowResTwoDCNSApps,Router_Only,m-0-0 ,dcns_0,motion_detector,44.16034383333437
LowResTwoDCNSApps,Router_Only,m-0-1 ,dcns_1,motion_detector_1,6.609973833334174
LowResTwoDCNSApps,Router_Only,m-0-1 ,dcns_0,motion_detector,44.16034383333437
LowResTwoDCNSApps,Router_Only,m-0-2 ,dcns_1,motion_detector_1,6.609973833334174
LowResTwoDCNSApps,Router_Only,m-0-2 ,dcns_0,motion_detector,44.16034383333437
