app_class,scenario,simulation_time
TwoDCNSApps,Router_Only,231
HighResTwoDCNSApps,Router_Only,287
LowResTwoDCNSApps,Router_Only,291
TwoDCNSApps,Router_Proxy,234
HighResTwoDCNSApps,Router_Proxy,250
LowResTwoDCNSApps,Router_Proxy,279
TwoDCNSApps,Router_Cloud,248
HighResTwoDCNSApps,Router_Cloud,292
LowResTwoDCNSApps,Router_Cloud,286
TwoDCNSApps,Proxy_Only,280
HighResTwoDCNSApps,Proxy_Only,309
LowResTwoDCNSApps,Proxy_Only,305
TwoDCNSApps,Proxy_Cloud,249
HighResTwoDCNSApps,Proxy_Cloud,346
LowResTwoDCNSApps,Proxy_Cloud,294
TwoDCNSApps,Cloud_Only,412
HighResTwoDCNSApps,Cloud_Only,484
LowResTwoDCNSApps,Cloud_Only,418
TwoDCNSApps,ModuleBased_Router_Proxy,252
HighResTwoDCNSApps,ModuleBased_Router_Proxy,285
LowResTwoDCNSApps,ModuleBased_Router_Proxy,255
