app_class,scenario,simulation_time
TwoDCNSApps,Router_Only,245
HighResTwoDCNSApps,Router_Only,289
LowResTwoDCNSApps,Router_Only,309
TwoDCNSApps,Router_Proxy,230
HighResTwoDCNSApps,Router_Proxy,254
LowResTwoDCNSApps,Router_Proxy,255
TwoDCNSApps,Router_Cloud,246
HighResTwoDCNSApps,Router_Cloud,298
LowResTwoDCNSApps,Router_Cloud,285
TwoDCNSApps,Proxy_Only,247
HighResTwoDCNSApps,Proxy_Only,297
LowResTwoDCNSApps,Proxy_Only,302
TwoDCNSApps,Proxy_Cloud,266
HighResTwoDCNSApps,Proxy_Cloud,309
LowResTwoDCNSApps,Proxy_Cloud,291
TwoDCNSApps,Cloud_Only,326
HighResTwoDCNSApps,Cloud_Only,370
LowResTwoDCNSApps,Cloud_Only,372
TwoDCNSApps,ModuleBased_Router_Proxy,243
HighResTwoDCNSApps,ModuleBased_Router_Proxy,290
LowResTwoDCNSApps,ModuleBased_Router_Proxy,283
