app_class,scenario,simulation_time
TwoDCNSApps,Router_Only,320
HighResTwoDCNSApps,Router_Only,276
LowResTwoDCNSApps,Router_Only,318
TwoDCNSApps,Router_Proxy,251
HighResTwoDCNSApps,Router_Proxy,270
LowResTwoDCNSApps,Router_Proxy,279
TwoDCNSApps,Router_Cloud,271
HighResTwoDCNSApps,Router_Cloud,345
LowResTwoDCNSApps,Router_Cloud,287
TwoDCNSApps,Proxy_Only,254
HighResTwoDCNSApps,Proxy_Only,290
LowResTwoDCNSApps,Proxy_Only,295
TwoDCNSApps,Proxy_Cloud,251
HighResTwoDCNSApps,Proxy_Cloud,347
LowResTwoDCNSApps,Proxy_Cloud,290
TwoDCNSApps,Cloud_Only,370
HighResTwoDCNSApps,Cloud_Only,513
LowResTwoDCNSApps,Cloud_Only,373
TwoDCNSApps,ModuleBased_Router_Proxy,249
HighResTwoDCNSApps,ModuleBased_Router_Proxy,258
LowResTwoDCNSApps,ModuleBased_Router_Proxy,296
