app_class,scenario,device,energy
TwoDCNSApps,Router_Only,cloud ,2279458.3853571415
TwoDCNSApps,Router_Only,proxy-server ,0.0
TwoDCNSApps,Router_Only,d-0 ,207722.4328000006
TwoDCNSApps,Router_Only,m-0-0 ,168030.77199999927
TwoDCNSApps,Router_Only,m-0-1 ,168030.77199999927
TwoDCNSApps,Router_Only,m-0-2 ,168030.77199999927
TwoDCNSApps,Router_Only,m-0-3 ,168030.77199999927
HighResTwoDCNSApps,Router_Only,cloud ,2224526.1414285717
HighResTwoDCNSApps,Router_Only,proxy-server ,0.0
HighResTwoDCNSApps,Router_Only,d-0 ,206670.51059999954
HighResTwoDCNSApps,Router_Only,m-0-0 ,169808.19999999876
HighResTwoDCNSApps,Router_Only,m-0-1 ,169808.19999999876
HighResTwoDCNSApps,Router_Only,m-0-2 ,169808.19999999876
HighResTwoDCNSApps,Router_Only,m-0-3 ,169808.19999999876
LowResTwoDCNSApps,Router_Only,cloud ,2373312.2257142854
LowResTwoDCNSApps,Router_Only,proxy-server ,0.0
LowResTwoDCNSApps,Router_Only,d-0 ,207709.30833000172
LowResTwoDCNSApps,Router_Only,m-0-0 ,164264.7449999998
LowResTwoDCNSApps,Router_Only,m-0-1 ,164264.7449999998
LowResTwoDCNSApps,Router_Only,m-0-2 ,164264.7449999998
LowResTwoDCNSApps,Router_Only,m-0-3 ,164264.7449999998
TwoDCNSApps,Router_Proxy,cloud ,2403222.8967857156
TwoDCNSApps,Router_Proxy,proxy-server ,203504.57837400265
TwoDCNSApps,Router_Proxy,d-0 ,202943.04768000092
TwoDCNSApps,Router_Proxy,m-0-0 ,168030.77199999927
TwoDCNSApps,Router_Proxy,m-0-1 ,168030.77199999927
TwoDCNSApps,Router_Proxy,m-0-2 ,168030.77199999927
TwoDCNSApps,Router_Proxy,m-0-3 ,168030.77199999927
HighResTwoDCNSApps,Router_Proxy,cloud ,2340525.5578571404
HighResTwoDCNSApps,Router_Proxy,proxy-server ,184847.2245168568
HighResTwoDCNSApps,Router_Proxy,d-0 ,184444.20281285793
HighResTwoDCNSApps,Router_Proxy,m-0-0 ,169808.19999999876
HighResTwoDCNSApps,Router_Proxy,m-0-1 ,169808.19999999876
HighResTwoDCNSApps,Router_Proxy,m-0-2 ,169808.19999999876
HighResTwoDCNSApps,Router_Proxy,m-0-3 ,169808.19999999876
LowResTwoDCNSApps,Router_Proxy,cloud ,2402784.8483928577
LowResTwoDCNSApps,Router_Proxy,proxy-server ,190179.79468557515
LowResTwoDCNSApps,Router_Proxy,d-0 ,190063.1046671416
LowResTwoDCNSApps,Router_Proxy,m-0-0 ,164264.7449999998
LowResTwoDCNSApps,Router_Proxy,m-0-1 ,164264.7449999998
LowResTwoDCNSApps,Router_Proxy,m-0-2 ,164264.7449999998
LowResTwoDCNSApps,Router_Proxy,m-0-3 ,164264.7449999998
TwoDCNSApps,Router_Cloud,cloud ,2510618.51249998
TwoDCNSApps,Router_Cloud,proxy-server ,0.0
TwoDCNSApps,Router_Cloud,d-0 ,202943.04768000092
TwoDCNSApps,Router_Cloud,m-0-0 ,168030.77199999927
TwoDCNSApps,Router_Cloud,m-0-1 ,168030.77199999927
TwoDCNSApps,Router_Cloud,m-0-2 ,168030.77199999927
TwoDCNSApps,Router_Cloud,m-0-3 ,168030.77199999927
HighResTwoDCNSApps,Router_Cloud,cloud ,2458311.410714275
HighResTwoDCNSApps,Router_Cloud,proxy-server ,0.0
HighResTwoDCNSApps,Router_Cloud,d-0 ,184444.20281285793
HighResTwoDCNSApps,Router_Cloud,m-0-0 ,169808.19999999876
HighResTwoDCNSApps,Router_Cloud,m-0-1 ,169808.19999999876
HighResTwoDCNSApps,Router_Cloud,m-0-2 ,169808.19999999876
HighResTwoDCNSApps,Router_Cloud,m-0-3 ,169808.19999999876
LowResTwoDCNSApps,Router_Cloud,cloud ,2496904.5419642823
