app_class,scenario,simulation_time
TwoDCNSApps,Router_Only,24681
HighResTwoDCNSApps,Router_Only,1616
LowResTwoDCNSApps,Router_Only,4441
TwoDCNSApps,Router_Proxy,388
HighResTwoDCNSApps,Router_Proxy,1395
LowResTwoDCNSApps,Router_Proxy,384
TwoDCNSApps,Router_Cloud,430
HighResTwoDCNSApps,Router_Cloud,1364
LowResTwoDCNSApps,Router_Cloud,450
TwoDCNSApps,Proxy_Only,31596
HighResTwoDCNSApps,Proxy_Only,1749
LowResTwoDCNSApps,Proxy_Only,5410
TwoDCNSApps,Proxy_Cloud,549
HighResTwoDCNSApps,Proxy_Cloud,1699
LowResTwoDCNSApps,Proxy_Cloud,577
TwoDCNSApps,Cloud_Only,791
HighResTwoDCNSApps,Cloud_Only,1804
LowResTwoDCNSApps,Cloud_Only,793
TwoDCNSApps,ModuleBased_Router_Proxy,3357
HighResTwoDCNSApps,ModuleBased_Router_Proxy,1562
LowResTwoDCNSApps,ModuleBased_Router_Proxy,477
