app_class,scenario,device,energy
TwoDCNSApps,Router_Only,cloud ,2279458.3853571415
TwoDCNSApps,Router_Only,proxy-server ,0.0
TwoDCNSApps,Router_Only,d-0 ,207722.4328000006
TwoDCNSApps,Router_Only,m-0-0 ,168030.77199999927
TwoDCNSApps,Router_Only,m-0-1 ,168030.77199999927
TwoDCNSApps,Router_Only,m-0-2 ,168030.77199999927
TwoDCNSApps,Router_Only,m-0-3 ,168030.77199999927
TwoDCNSApps,Router_Proxy,cloud ,2403222.8967857156
TwoDCNSApps,Router_Proxy,proxy-server ,203504.57837400265
TwoDCNSApps,Router_Proxy,d-0 ,202943.04768000092
TwoDCNSApps,Router_Proxy,m-0-0 ,168030.77199999927
TwoDCNSApps,Router_Proxy,m-0-1 ,168030.77199999927
TwoDCNSApps,Router_Proxy,m-0-2 ,168030.77199999927
TwoDCNSApps,Router_Proxy,m-0-3 ,168030.77199999927
TwoDCNSApps,Router_Cloud,cloud ,2510618.51249998
TwoDCNSApps,Router_Cloud,proxy-server ,0.0
TwoDCNSApps,Router_Cloud,d-0 ,202943.04768000092
TwoDCNSApps,Router_Cloud,m-0-0 ,168030.77199999927
TwoDCNSApps,Router_Cloud,m-0-1 ,168030.77199999927
TwoDCNSApps,Router_Cloud,m-0-2 ,168030.77199999927
TwoDCNSApps,Router_Cloud,m-0-3 ,168030.77199999927
TwoDCNSApps,Proxy_Only,cloud ,2292180.53142857
TwoDCNSApps,Proxy_Only,proxy-server ,207728.87314000752
TwoDCNSApps,Proxy_Only,d-0 ,0.0
TwoDCNSApps,Proxy_Only,m-0-0 ,168030.77199999927
TwoDCNSApps,Proxy_Only,m-0-1 ,168030.77199999927
TwoDCNSApps,Proxy_Only,m-0-2 ,168030.77199999927
TwoDCNSApps,Proxy_Only,m-0-3 ,168030.77199999927
TwoDCNSApps,Proxy_Cloud,cloud ,2510618.51249998
TwoDCNSApps,Proxy_Cloud,proxy-server ,203504.57837400283
TwoDCNSApps,Proxy_Cloud,d-0 ,0.0
TwoDCNSApps,Proxy_Cloud,m-0-0 ,168030.77199999927
TwoDCNSApps,Proxy_Cloud,m-0-1 ,168030.77199999927
TwoDCNSApps,Proxy_Cloud,m-0-2 ,168030.77199999927
TwoDCNSApps,Proxy_Cloud,m-0-3 ,168030.77199999927
TwoDCNSApps,Cloud_Only,cloud ,2554636.8189627635
TwoDCNSApps,Cloud_Only,proxy-server ,0.0
TwoDCNSApps,Cloud_Only,d-0 ,0.0
TwoDCNSApps,Cloud_Only,m-0-0 ,168030.77199999927
TwoDCNSApps,Cloud_Only,m-0-1 ,168030.77199999927
TwoDCNSApps,Cloud_Only,m-0-2 ,168030.77199999927
TwoDCNSApps,Cloud_Only,m-0-3 ,168030.77199999927
TwoDCNSApps,ModuleBased_Router_Proxy,cloud ,2373004.9125000006
TwoDCNSApps,ModuleBased_Router_Proxy,proxy-server ,180930.29310040225
TwoDCNSApps,ModuleBased_Router_Proxy,d-0 ,207722.43280000004
TwoDCNSApps,ModuleBased_Router_Proxy,m-0-0 ,168030.77199999927
TwoDCNSApps,ModuleBased_Router_Proxy,m-0-1 ,168030.77199999927
TwoDCNSApps,ModuleBased_Router_Proxy,m-0-2 ,168030.77199999927
TwoDCNSApps,ModuleBased_Router_Proxy,m-0-3 ,168030.77199999927
