app_class,scenario,device,app,vm,energy
TwoDCNSApps,Router_Only,cloud ,dcns_1,user_interface_1,7.8618428571306085
TwoDCNSApps,Router_Only,cloud ,dcns_0,user_interface,10.432722857156
TwoDCNSApps,Router_Only,d-0 ,dcns_1,object_tracker_1,62.848517914283626
TwoDCNSApps,Router_Only,d-0 ,dcns_1,object_detector_1,123.70053042857117
TwoDCNSApps,Router_Only,d-0 ,dcns_0,object_tracker,62.848517914283626
TwoDCNSApps,Router_Only,d-0 ,dcns_0,object_detector,132.22324702856676
TwoDCNSApps,Router_Only,m-0-0 ,dcns_1,motion_detector_1,71.23629050000271
TwoDCNSApps,Router_Only,m-0-0 ,dcns_0,motion_detector,147.29986050000153
TwoDCNSApps,Router_Only,m-0-1 ,dcns_1,motion_detector_1,71.23629050000271
TwoDCNSApps,Router_Only,m-0-1 ,dcns_0,motion_detector,147.29986050000153
TwoDCNSApps,Router_Only,m-0-2 ,dcns_1,motion_detector_1,71.23629050000271
TwoDCNSApps,Router_Only,m-0-2 ,dcns_0,motion_detector,147.29986050000153
TwoDCNSApps,Router_Only,m-0-3 ,dcns_1,motion_detector_1,71.23629050000271
TwoDCNSApps,Router_Only,m-0-3 ,dcns_0,motion_detector,147.29986050000153
HighResTwoDCNSApps,Router_Only,cloud ,dcns_1,user_interface_1,9.296485714279193
HighResTwoDCNSApps,Router_Only,cloud ,dcns_0,user_interface,14.438245714274798
HighResTwoDCNSApps,Router_Only,d-0 ,dcns_1,object_tracker_1,110.23563875338859
HighResTwoDCNSApps,Router_Only,d-0 ,dcns_1,object_detector_1,310.39218630000306
HighResTwoDCNSApps,Router_Only,d-0 ,dcns_0,object_tracker,110.23563875338859
HighResTwoDCNSApps,Router_Only,d-0 ,dcns_0,object_detector,318.91338865340094
HighResTwoDCNSApps,Router_Only,m-0-0 ,dcns_1,motion_detector_1,140.73511050000334
HighResTwoDCNSApps,Router_Only,m-0-0 ,dcns_0,motion_detector,216.798680500001
HighResTwoDCNSApps,Router_Only,m-0-1 ,dcns_1,motion_detector_1,140.73511050000334
HighResTwoDCNSApps,Router_Only,m-0-1 ,dcns_0,motion_detector,216.798680500001
HighResTwoDCNSApps,Router_Only,m-0-2 ,dcns_1,motion_detector_1,140.73511050000334
HighResTwoDCNSApps,Router_Only,m-0-2 ,dcns_0,motion_detector,216.798680500001
HighResTwoDCNSApps,Router_Only,m-0-3 ,dcns_1,motion_detector_1,140.73511050000334
HighResTwoDCNSApps,Router_Only,m-0-3 ,dcns_0,motion_detector,216.798680500001
LowResTwoDCNSApps,Router_Only,cloud ,dcns_1,user_interface_1,7.1445214285697585
LowResTwoDCNSApps,Router_Only,cloud ,dcns_0,user_interface,8.429961428590323
LowResTwoDCNSApps,Router_Only,d-0 ,dcns_1,object_tracker_1,62.93132228571205
LowResTwoDCNSApps,Router_Only,d-0 ,dcns_1,object_detector_1,63.00722629285504
LowResTwoDCNSApps,Router_Only,d-0 ,dcns_0,object_tracker,62.93132228571205
LowResTwoDCNSApps,Router_Only,d-0 ,dcns_0,object_detector,67.26858459286079
LowResTwoDCNSApps,Router_Only,m-0-0 ,dcns_1,motion_detector_1,36.4868805000026
LowResTwoDCNSApps,Router_Only,m-0-0 ,dcns_0,motion_detector,112.55045050000224
LowResTwoDCNSApps,Router_Only,m-0-1 ,dcns_1,motion_detector_1,36.4868805000026
LowResTwoDCNSApps,Router_Only,m-0-1 ,dcns_0,motion_detector,112.55045050000224
LowResTwoDCNSApps,Router_Only,m-0-2 ,dcns_1,motion_detector_1,36.4868805000026
LowResTwoDCNSApps,Router_Only,m-0-2 ,dcns_0,motion_detector,112.55045050000224
LowResTwoDCNSApps,Router_Only,m-0-3 ,dcns_1,motion_detector_1,36.4868805000026
