app_class,scenario,simulation_time
TwoDCNSApps,Router_Only,474
HighResTwoDCNSApps,Router_Only,444
LowResTwoDCNSApps,Router_Only,422
TwoDCNSApps,Router_Proxy,379
HighResTwoDCNSApps,Router_Proxy,386
LowResTwoDCNSApps,Router_Proxy,383
TwoDCNSApps,Router_Cloud,463
HighResTwoDCNSApps,Router_Cloud,436
LowResTwoDCNSApps,Router_Cloud,433
TwoDCNSApps,Proxy_Only,452
HighResTwoDCNSApps,Proxy_Only,487
LowResTwoDCNSApps,Proxy_Only,433
TwoDCNSApps,Proxy_Cloud,455
HighResTwoDCNSApps,Proxy_Cloud,452
LowResTwoDCNSApps,Proxy_Cloud,457
TwoDCNSApps,Cloud_Only,595
HighResTwoDCNSApps,Cloud_Only,561
LowResTwoDCNSApps,Cloud_Only,652
TwoDCNSApps,ModuleBased_Router_Proxy,428
HighResTwoDCNSApps,ModuleBased_Router_Proxy,415
LowResTwoDCNSApps,ModuleBased_Router_Proxy,438
