app_class,scenario,device,energy
TwoDCNSApps,Router_Only,cloud ,2418568.764642857
TwoDCNSApps,Router_Only,proxy-server ,0.0
TwoDCNSApps,Router_Only,d-0 ,207950.20324000058
TwoDCNSApps,Router_Only,m-0-0 ,168223.1019999993
TwoDCNSApps,Router_Only,m-0-1 ,168223.1019999993
TwoDCNSApps,Router_Only,m-0-2 ,168223.1019999993
TwoDCNSApps,Router_Only,m-0-3 ,168223.1019999993
HighResTwoDCNSApps,Router_Only,cloud ,2364963.9135714276
HighResTwoDCNSApps,Router_Only,proxy-server ,0.0
HighResTwoDCNSApps,Router_Only,d-0 ,207958.5786
HighResTwoDCNSApps,Router_Only,m-0-0 ,170139.99599999885
HighResTwoDCNSApps,Router_Only,m-0-1 ,170139.99599999885
HighResTwoDCNSApps,Router_Only,m-0-2 ,170139.99599999885
HighResTwoDCNSApps,Router_Only,m-0-3 ,170139.99599999885
LowResTwoDCNSApps,Router_Only,cloud ,2418441.9921428557
LowResTwoDCNSApps,Router_Only,proxy-server ,0.0
LowResTwoDCNSApps,Router_Only,d-0 ,207580.94137000162
LowResTwoDCNSApps,Router_Only,m-0-0 ,168141.66199999928
LowResTwoDCNSApps,Router_Only,m-0-1 ,168141.66199999928
LowResTwoDCNSApps,Router_Only,m-0-2 ,168141.66199999928
LowResTwoDCNSApps,Router_Only,m-0-3 ,168141.66199999928
TwoDCNSApps,Router_Proxy,cloud ,2421940.93607143
TwoDCNSApps,Router_Proxy,proxy-server ,195125.56714200202
TwoDCNSApps,Router_Proxy,d-0 ,203388.99568000098
TwoDCNSApps,Router_Proxy,m-0-0 ,168223.1019999993
TwoDCNSApps,Router_Proxy,m-0-1 ,168223.1019999993
TwoDCNSApps,Router_Proxy,m-0-2 ,168223.1019999993
TwoDCNSApps,Router_Proxy,m-0-3 ,168223.1019999993
HighResTwoDCNSApps,Router_Proxy,cloud ,2374020.604285713
HighResTwoDCNSApps,Router_Proxy,proxy-server ,199153.28875200072
HighResTwoDCNSApps,Router_Proxy,d-0 ,207958.57859999943
HighResTwoDCNSApps,Router_Proxy,m-0-0 ,170139.99599999885
HighResTwoDCNSApps,Router_Proxy,m-0-1 ,170139.99599999885
HighResTwoDCNSApps,Router_Proxy,m-0-2 ,170139.99599999885
HighResTwoDCNSApps,Router_Proxy,m-0-3 ,170139.99599999885
LowResTwoDCNSApps,Router_Proxy,cloud ,2425206.905535711
LowResTwoDCNSApps,Router_Proxy,proxy-server ,195136.30104200201
LowResTwoDCNSApps,Router_Proxy,d-0 ,190264.33530999869
LowResTwoDCNSApps,Router_Proxy,m-0-0 ,168141.66199999928
LowResTwoDCNSApps,Router_Proxy,m-0-1 ,168141.66199999928
LowResTwoDCNSApps,Router_Proxy,m-0-2 ,168141.66199999928
LowResTwoDCNSApps,Router_Proxy,m-0-3 ,168141.66199999928
TwoDCNSApps,Router_Cloud,cloud ,2480111.8524999814
TwoDCNSApps,Router_Cloud,proxy-server ,0.0
TwoDCNSApps,Router_Cloud,d-0 ,203388.99568000098
TwoDCNSApps,Router_Cloud,m-0-0 ,168223.1019999993
TwoDCNSApps,Router_Cloud,m-0-1 ,168223.1019999993
TwoDCNSApps,Router_Cloud,m-0-2 ,168223.1019999993
TwoDCNSApps,Router_Cloud,m-0-3 ,168223.1019999993
HighResTwoDCNSApps,Router_Cloud,cloud ,2431698.1657142644
HighResTwoDCNSApps,Router_Cloud,proxy-server ,0.0
HighResTwoDCNSApps,Router_Cloud,d-0 ,207958.57859999943
HighResTwoDCNSApps,Router_Cloud,m-0-0 ,170139.99599999885
HighResTwoDCNSApps,Router_Cloud,m-0-1 ,170139.99599999885
HighResTwoDCNSApps,Router_Cloud,m-0-2 ,170139.99599999885
HighResTwoDCNSApps,Router_Cloud,m-0-3 ,170139.99599999885
LowResTwoDCNSApps,Router_Cloud,cloud ,2483384.5933928424
LowResTwoDCNSApps,Router_Cloud,proxy-server ,0.0
LowResTwoDCNSApps,Router_Cloud,d-0 ,190264.33530999869
LowResTwoDCNSApps,Router_Cloud,m-0-0 ,168141.66199999928
LowResTwoDCNSApps,Router_Cloud,m-0-1 ,168141.66199999928
LowResTwoDCNSApps,Router_Cloud,m-0-2 ,168141.66199999928
LowResTwoDCNSApps,Router_Cloud,m-0-3 ,168141.66199999928
TwoDCNSApps,Proxy_Only,cloud ,2415847.6789285713
TwoDCNSApps,Proxy_Only,proxy-server ,207945.31956600765
TwoDCNSApps,Proxy_Only,d-0 ,0.0
TwoDCNSApps,Proxy_Only,m-0-0 ,168223.1019999993
TwoDCNSApps,Proxy_Only,m-0-1 ,168223.1019999993
TwoDCNSApps,Proxy_Only,m-0-2 ,168223.1019999993
TwoDCNSApps,Proxy_Only,m-0-3 ,168223.1019999993
HighResTwoDCNSApps,Proxy_Only,cloud ,2358303.9135714276
HighResTwoDCNSApps,Proxy_Only,proxy-server ,207739.6070400034
HighResTwoDCNSApps,Proxy_Only,d-0 ,0.0
HighResTwoDCNSApps,Proxy_Only,m-0-0 ,170139.99599999885
HighResTwoDCNSApps,Proxy_Only,m-0-1 ,170139.99599999885
HighResTwoDCNSApps,Proxy_Only,m-0-2 ,170139.99599999885
HighResTwoDCNSApps,Proxy_Only,m-0-3 ,170139.99599999885
LowResTwoDCNSApps,Proxy_Only,cloud ,2423166.4821428554
LowResTwoDCNSApps,Proxy_Only,proxy-server ,207293.6777860099
LowResTwoDCNSApps,Proxy_Only,d-0 ,0.0
LowResTwoDCNSApps,Proxy_Only,m-0-0 ,168141.66199999928
LowResTwoDCNSApps,Proxy_Only,m-0-1 ,168141.66199999928
LowResTwoDCNSApps,Proxy_Only,m-0-2 ,168141.66199999928
LowResTwoDCNSApps,Proxy_Only,m-0-3 ,168141.66199999928
TwoDCNSApps,Proxy_Cloud,cloud ,2480031.9324999815
TwoDCNSApps,Proxy_Cloud,proxy-server ,203727.26125400292
TwoDCNSApps,Proxy_Cloud,d-0 ,0.0
TwoDCNSApps,Proxy_Cloud,m-0-0 ,168223.1019999993
TwoDCNSApps,Proxy_Cloud,m-0-1 ,168223.1019999993
TwoDCNSApps,Proxy_Cloud,m-0-2 ,168223.1019999993
TwoDCNSApps,Proxy_Cloud,m-0-3 ,168223.1019999993
HighResTwoDCNSApps,Proxy_Cloud,cloud ,2424960.8585714074
HighResTwoDCNSApps,Proxy_Cloud,proxy-server ,207739.6070399996
HighResTwoDCNSApps,Proxy_Cloud,d-0 ,0.0
HighResTwoDCNSApps,Proxy_Cloud,m-0-0 ,170139.99599999885
HighResTwoDCNSApps,Proxy_Cloud,m-0-1 ,170139.99599999885
HighResTwoDCNSApps,Proxy_Cloud,m-0-2 ,170139.99599999885
HighResTwoDCNSApps,Proxy_Cloud,m-0-3 ,170139.99599999885
LowResTwoDCNSApps,Proxy_Cloud,cloud ,2483344.6333928425
LowResTwoDCNSApps,Proxy_Cloud,proxy-server ,190328.5196670038
LowResTwoDCNSApps,Proxy_Cloud,d-0 ,0.0
LowResTwoDCNSApps,Proxy_Cloud,m-0-0 ,168141.66199999928
LowResTwoDCNSApps,Proxy_Cloud,m-0-1 ,168141.66199999928
LowResTwoDCNSApps,Proxy_Cloud,m-0-2 ,168141.66199999928
LowResTwoDCNSApps,Proxy_Cloud,m-0-3 ,168141.66199999928
TwoDCNSApps,Cloud_Only,cloud ,2552688.81327154
TwoDCNSApps,Cloud_Only,proxy-server ,0.0
TwoDCNSApps,Cloud_Only,d-0 ,0.0
TwoDCNSApps,Cloud_Only,m-0-0 ,168223.1019999993
TwoDCNSApps,Cloud_Only,m-0-1 ,168223.1019999993
TwoDCNSApps,Cloud_Only,m-0-2 ,168223.1019999993
TwoDCNSApps,Cloud_Only,m-0-3 ,168223.1019999993
HighResTwoDCNSApps,Cloud_Only,cloud ,2544850.2116357465
HighResTwoDCNSApps,Cloud_Only,proxy-server ,0.0
HighResTwoDCNSApps,Cloud_Only,d-0 ,0.0
HighResTwoDCNSApps,Cloud_Only,m-0-0 ,170139.99599999885
HighResTwoDCNSApps,Cloud_Only,m-0-1 ,170139.99599999885
HighResTwoDCNSApps,Cloud_Only,m-0-2 ,170139.99599999885
