app_class,scenario,tuple,execution_time
TwoDCNSApps,Router_Only,"[motion_detector, object_detector, object_tracker]",{'562.9045502645496'}
TwoDCNSApps,Router_Only,"[object_tracker, PTZ_CONTROL]",{'3.1099999999999577'}
TwoDCNSApps,Router_Only,"[motion_detector_1, object_detector_1, object_tracker_1]",{'637.9948508020561'}
TwoDCNSApps,Router_Only,"[object_tracker_1, PTZ_CONTROL_1]",{'3.1099999999999524'}
TwoDCNSApps,Router_Only,MOTION_VIDEO_STREAM,{'1259.001302362737'}
TwoDCNSApps,Router_Only,DETECTED_OBJECT,{'0.1111607142856883'}
TwoDCNSApps,Router_Only,OBJECT_LOCATION,{'9.899999999956435'}
TwoDCNSApps,Router_Only,CAMERA,{'4.099999999999909'}
TwoDCNSApps,Router_Only,OBJECT_LOCATION_1,{'9.899999999956435'}
TwoDCNSApps,Router_Only,MOTION_VIDEO_STREAM_1,{'1258.801302362737'}
TwoDCNSApps,Router_Only,CAMERA_1,{'4.099999999999909'}
TwoDCNSApps,Router_Only,DETECTED_OBJECT_1,{'0.1111607142856883'}
HighResTwoDCNSApps,Router_Only,"[motion_detector, object_detector, object_tracker]",{'584.0478080796048'}
HighResTwoDCNSApps,Router_Only,"[object_tracker, PTZ_CONTROL]",{'3.1099999999999577'}
HighResTwoDCNSApps,Router_Only,"[motion_detector_1, object_detector_1, object_tracker_1]",{'556.2140240252788'}
HighResTwoDCNSApps,Router_Only,"[object_tracker_1, PTZ_CONTROL_1]",{'3.1099999999999524'}
HighResTwoDCNSApps,Router_Only,MOTION_VIDEO_STREAM,{'1209.2706726013878'}
HighResTwoDCNSApps,Router_Only,DETECTED_OBJECT,{'0.127321428571463'}
HighResTwoDCNSApps,Router_Only,OBJECT_LOCATION,{'4.741766233276445'}
HighResTwoDCNSApps,Router_Only,CAMERA,{'898.7701825360457'}
HighResTwoDCNSApps,Router_Only,OBJECT_LOCATION_1,{'4.6576490654447475'}
HighResTwoDCNSApps,Router_Only,MOTION_VIDEO_STREAM_1,{'1084.376775196261'}
HighResTwoDCNSApps,Router_Only,CAMERA_1,{'4.099999999999909'}
HighResTwoDCNSApps,Router_Only,DETECTED_OBJECT_1,{'0.1118582589285495'}
LowResTwoDCNSApps,Router_Only,"[motion_detector, object_detector, object_tracker]",{'31.894375703037646'}
LowResTwoDCNSApps,Router_Only,"[object_tracker, PTZ_CONTROL]",{'3.1099999999999577'}
LowResTwoDCNSApps,Router_Only,"[motion_detector_1, object_detector_1, object_tracker_1]",{'730.7071428571409'}
LowResTwoDCNSApps,Router_Only,"[object_tracker_1, PTZ_CONTROL_1]",{'3.1099999999999524'}
