app_class,scenario,device,energy
TwoDCNSApps,Router_Only,cloud ,2418568.764642857
TwoDCNSApps,Router_Only,proxy-server ,0.0
TwoDCNSApps,Router_Only,d-0 ,207950.20324000058
TwoDCNSApps,Router_Only,m-0-0 ,168223.1019999993
TwoDCNSApps,Router_Only,m-0-1 ,168223.1019999993
TwoDCNSApps,Router_Only,m-0-2 ,168223.1019999993
TwoDCNSApps,Router_Only,m-0-3 ,168223.1019999993
HighResTwoDCNSApps,Router_Only,cloud ,2364902.462857142
HighResTwoDCNSApps,Router_Only,proxy-server ,0.0
HighResTwoDCNSApps,Router_Only,d-0 ,207958.57860000152
HighResTwoDCNSApps,Router_Only,m-0-0 ,170139.99599999876
HighResTwoDCNSApps,Router_Only,m-0-1 ,170139.99599999876
HighResTwoDCNSApps,Router_Only,m-0-2 ,170139.99599999876
HighResTwoDCNSApps,Router_Only,m-0-3 ,170139.99599999876
LowResTwoDCNSApps,Router_Only,cloud ,2419258.4430357106
LowResTwoDCNSApps,Router_Only,proxy-server ,0.0
LowResTwoDCNSApps,Router_Only,d-0 ,207626.36220000178
LowResTwoDCNSApps,Router_Only,m-0-0 ,164436.65099999978
LowResTwoDCNSApps,Router_Only,m-0-1 ,164436.65099999978
LowResTwoDCNSApps,Router_Only,m-0-2 ,164436.65099999978
LowResTwoDCNSApps,Router_Only,m-0-3 ,164436.65099999978
TwoDCNSApps,Router_Proxy,cloud ,2421940.93607143
TwoDCNSApps,Router_Proxy,proxy-server ,195125.56714200202
TwoDCNSApps,Router_Proxy,d-0 ,203388.99568000098
TwoDCNSApps,Router_Proxy,m-0-0 ,168223.1019999993
TwoDCNSApps,Router_Proxy,m-0-1 ,168223.1019999993
TwoDCNSApps,Router_Proxy,m-0-2 ,168223.1019999993
TwoDCNSApps,Router_Proxy,m-0-3 ,168223.1019999993
HighResTwoDCNSApps,Router_Proxy,cloud ,2372025.5721428543
HighResTwoDCNSApps,Router_Proxy,proxy-server ,177273.32553999955
HighResTwoDCNSApps,Router_Proxy,d-0 ,188116.8476000008
HighResTwoDCNSApps,Router_Proxy,m-0-0 ,170139.99599999876
HighResTwoDCNSApps,Router_Proxy,m-0-1 ,170139.99599999876
HighResTwoDCNSApps,Router_Proxy,m-0-2 ,170139.99599999876
HighResTwoDCNSApps,Router_Proxy,m-0-3 ,170139.99599999876
LowResTwoDCNSApps,Router_Proxy,cloud ,2419258.4430357106
LowResTwoDCNSApps,Router_Proxy,proxy-server ,0.0
LowResTwoDCNSApps,Router_Proxy,d-0 ,207626.36220000178
LowResTwoDCNSApps,Router_Proxy,m-0-0 ,164436.65099999978
LowResTwoDCNSApps,Router_Proxy,m-0-1 ,164436.65099999978
LowResTwoDCNSApps,Router_Proxy,m-0-2 ,164436.65099999978
LowResTwoDCNSApps,Router_Proxy,m-0-3 ,164436.65099999978
TwoDCNSApps,Router_Cloud,cloud ,2480111.8524999814
TwoDCNSApps,Router_Cloud,proxy-server ,0.0
TwoDCNSApps,Router_Cloud,d-0 ,203388.99568000098
TwoDCNSApps,Router_Cloud,m-0-0 ,168223.1019999993
TwoDCNSApps,Router_Cloud,m-0-1 ,168223.1019999993
TwoDCNSApps,Router_Cloud,m-0-2 ,168223.1019999993
TwoDCNSApps,Router_Cloud,m-0-3 ,168223.1019999993
HighResTwoDCNSApps,Router_Cloud,cloud ,2473296.6314285626
HighResTwoDCNSApps,Router_Cloud,proxy-server ,0.0
HighResTwoDCNSApps,Router_Cloud,d-0 ,188116.8476000008
HighResTwoDCNSApps,Router_Cloud,m-0-0 ,170139.99599999876
HighResTwoDCNSApps,Router_Cloud,m-0-1 ,170139.99599999876
HighResTwoDCNSApps,Router_Cloud,m-0-2 ,170139.99599999876
HighResTwoDCNSApps,Router_Cloud,m-0-3 ,170139.99599999876
LowResTwoDCNSApps,Router_Cloud,cloud ,2419258.4430357106
LowResTwoDCNSApps,Router_Cloud,proxy-server ,0.0
LowResTwoDCNSApps,Router_Cloud,d-0 ,207626.36220000178
LowResTwoDCNSApps,Router_Cloud,m-0-0 ,164436.65099999978
LowResTwoDCNSApps,Router_Cloud,m-0-1 ,164436.65099999978
LowResTwoDCNSApps,Router_Cloud,m-0-2 ,164436.65099999978
LowResTwoDCNSApps,Router_Cloud,m-0-3 ,164436.65099999978
TwoDCNSApps,Proxy_Only,cloud ,2415847.6789285713
TwoDCNSApps,Proxy_Only,proxy-server ,207945.31956600765
TwoDCNSApps,Proxy_Only,d-0 ,0.0
TwoDCNSApps,Proxy_Only,m-0-0 ,168223.1019999993
TwoDCNSApps,Proxy_Only,m-0-1 ,168223.1019999993
TwoDCNSApps,Proxy_Only,m-0-2 ,168223.1019999993
TwoDCNSApps,Proxy_Only,m-0-3 ,168223.1019999993
HighResTwoDCNSApps,Proxy_Only,cloud ,2358108.275714285
HighResTwoDCNSApps,Proxy_Only,proxy-server ,207739.60703999823
HighResTwoDCNSApps,Proxy_Only,d-0 ,0.0
HighResTwoDCNSApps,Proxy_Only,m-0-0 ,170139.99599999876
HighResTwoDCNSApps,Proxy_Only,m-0-1 ,170139.99599999876
HighResTwoDCNSApps,Proxy_Only,m-0-2 ,170139.99599999876
HighResTwoDCNSApps,Proxy_Only,m-0-3 ,170139.99599999876
LowResTwoDCNSApps,Proxy_Only,cloud ,2419258.4430357106
LowResTwoDCNSApps,Proxy_Only,proxy-server ,0.0
LowResTwoDCNSApps,Proxy_Only,d-0 ,207626.36220000178
LowResTwoDCNSApps,Proxy_Only,m-0-0 ,164436.65099999978
LowResTwoDCNSApps,Proxy_Only,m-0-1 ,164436.65099999978
LowResTwoDCNSApps,Proxy_Only,m-0-2 ,164436.65099999978
LowResTwoDCNSApps,Proxy_Only,m-0-3 ,164436.65099999978
TwoDCNSApps,Proxy_Cloud,cloud ,2480031.9324999815
TwoDCNSApps,Proxy_Cloud,proxy-server ,203727.26125400292
TwoDCNSApps,Proxy_Cloud,d-0 ,0.0
TwoDCNSApps,Proxy_Cloud,m-0-0 ,168223.1019999993
TwoDCNSApps,Proxy_Cloud,m-0-1 ,168223.1019999993
TwoDCNSApps,Proxy_Cloud,m-0-2 ,168223.1019999993
TwoDCNSApps,Proxy_Cloud,m-0-3 ,168223.1019999993
HighResTwoDCNSApps,Proxy_Cloud,cloud ,2395146.766428563
HighResTwoDCNSApps,Proxy_Cloud,proxy-server ,188679.8656379996
HighResTwoDCNSApps,Proxy_Cloud,d-0 ,0.0
HighResTwoDCNSApps,Proxy_Cloud,m-0-0 ,170139.99599999876
HighResTwoDCNSApps,Proxy_Cloud,m-0-1 ,170139.99599999876
HighResTwoDCNSApps,Proxy_Cloud,m-0-2 ,170139.99599999876
HighResTwoDCNSApps,Proxy_Cloud,m-0-3 ,170139.99599999876
LowResTwoDCNSApps,Proxy_Cloud,cloud ,2419258.4430357106
LowResTwoDCNSApps,Proxy_Cloud,proxy-server ,0.0
LowResTwoDCNSApps,Proxy_Cloud,d-0 ,207626.36220000178
LowResTwoDCNSApps,Proxy_Cloud,m-0-0 ,164436.65099999978
LowResTwoDCNSApps,Proxy_Cloud,m-0-1 ,164436.65099999978
LowResTwoDCNSApps,Proxy_Cloud,m-0-2 ,164436.65099999978
LowResTwoDCNSApps,Proxy_Cloud,m-0-3 ,164436.65099999978
TwoDCNSApps,Cloud_Only,cloud ,2552688.81327154
TwoDCNSApps,Cloud_Only,proxy-server ,0.0
TwoDCNSApps,Cloud_Only,d-0 ,0.0
TwoDCNSApps,Cloud_Only,m-0-0 ,168223.1019999993
TwoDCNSApps,Cloud_Only,m-0-1 ,168223.1019999993
TwoDCNSApps,Cloud_Only,m-0-2 ,168223.1019999993
TwoDCNSApps,Cloud_Only,m-0-3 ,168223.1019999993
HighResTwoDCNSApps,Cloud_Only,cloud ,2510051.9199999785
HighResTwoDCNSApps,Cloud_Only,proxy-server ,0.0
HighResTwoDCNSApps,Cloud_Only,d-0 ,0.0
HighResTwoDCNSApps,Cloud_Only,m-0-0 ,170139.99599999876
HighResTwoDCNSApps,Cloud_Only,m-0-1 ,170139.99599999876
HighResTwoDCNSApps,Cloud_Only,m-0-2 ,170139.99599999876
