app_class,scenario,device,app,vm,energy
TwoDCNSApps,Router_Only,cloud ,dcns_1,user_interface_1,4.030242857141915
TwoDCNSApps,Router_Only,cloud ,dcns_0,user_interface,4.579821428570498
TwoDCNSApps,Router_Only,d-0 ,dcns_1,object_tracker_1,31.26006478896435
TwoDCNSApps,Router_Only,d-0 ,dcns_1,object_detector_1,68.4309164549641
TwoDCNSApps,Router_Only,d-0 ,dcns_0,object_tracker,33.87362759814291
TwoDCNSApps,Router_Only,d-0 ,dcns_0,object_detector,73.53105236924984
TwoDCNSApps,Router_Only,m-0-0 ,dcns_1,motion_detector_1,66.92543799999933
TwoDCNSApps,Router_Only,m-0-0 ,dcns_0,motion_detector,69.95397599999934
TwoDCNSApps,Router_Only,m-0-1 ,dcns_1,motion_detector_1,66.92543799999933
TwoDCNSApps,Router_Only,m-0-1 ,dcns_0,motion_detector,69.95397599999934
TwoDCNSApps,Router_Only,m-0-2 ,dcns_1,motion_detector_1,66.92543799999933
TwoDCNSApps,Router_Only,m-0-2 ,dcns_0,motion_detector,69.95397599999934
TwoDCNSApps,Router_Only,m-0-3 ,dcns_1,motion_detector_1,66.92543799999933
TwoDCNSApps,Router_Only,m-0-3 ,dcns_0,motion_detector,69.95397599999934
HighResTwoDCNSApps,Router_Only,cloud ,dcns_1,user_interface_1,3.665328571429614
HighResTwoDCNSApps,Router_Only,cloud ,dcns_0,user_interface,4.20034000000091
HighResTwoDCNSApps,Router_Only,d-0 ,dcns_1,object_tracker_1,25.914787927600266
HighResTwoDCNSApps,Router_Only,d-0 ,dcns_1,object_detector_1,72.80370848881961
HighResTwoDCNSApps,Router_Only,d-0 ,dcns_0,object_tracker,28.04901093689292
HighResTwoDCNSApps,Router_Only,d-0 ,dcns_0,object_detector,81.17146806941996
HighResTwoDCNSApps,Router_Only,m-0-0 ,dcns_1,motion_detector_1,81.57795999999942
HighResTwoDCNSApps,Router_Only,m-0-0 ,dcns_0,motion_detector,88.26525199999934
HighResTwoDCNSApps,Router_Only,m-0-1 ,dcns_1,motion_detector_1,81.57795999999942
HighResTwoDCNSApps,Router_Only,m-0-1 ,dcns_0,motion_detector,88.26525199999934
HighResTwoDCNSApps,Router_Only,m-0-2 ,dcns_1,motion_detector_1,81.57795999999942
HighResTwoDCNSApps,Router_Only,m-0-2 ,dcns_0,motion_detector,88.26525199999934
HighResTwoDCNSApps,Router_Only,m-0-3 ,dcns_1,motion_detector_1,81.57795999999942
