app_class,scenario,device,energy
TwoDCNSApps,Router_Only,cloud ,2351968.7646428565
TwoDCNSApps,Router_Only,proxy-server ,0.0
TwoDCNSApps,Router_Only,d-0 ,188123.13310000033
TwoDCNSApps,Router_Only,m-0-0 ,162443.5870000004
TwoDCNSApps,Router_Only,m-0-1 ,162443.5870000004
TwoDCNSApps,Router_Only,m-0-2 ,162443.5870000004
TwoDCNSApps,Router_Only,m-0-3 ,162443.5870000004
HighResTwoDCNSApps,Router_Only,cloud ,2344909.049285714
HighResTwoDCNSApps,Router_Only,proxy-server ,0.0
HighResTwoDCNSApps,Router_Only,d-0 ,206150.60059000173
HighResTwoDCNSApps,Router_Only,m-0-0 ,164749.35699999979
HighResTwoDCNSApps,Router_Only,m-0-1 ,164749.35699999979
HighResTwoDCNSApps,Router_Only,m-0-2 ,164749.35699999979
HighResTwoDCNSApps,Router_Only,m-0-3 ,164749.35699999979
LowResTwoDCNSApps,Router_Only,cloud ,2355280.5823214273
LowResTwoDCNSApps,Router_Only,proxy-server ,0.0
LowResTwoDCNSApps,Router_Only,d-0 ,179574.70673000015
LowResTwoDCNSApps,Router_Only,m-0-0 ,161155.81700000004
LowResTwoDCNSApps,Router_Only,m-0-1 ,161155.81700000004
LowResTwoDCNSApps,Router_Only,m-0-2 ,161155.81700000004
LowResTwoDCNSApps,Router_Only,m-0-3 ,161155.81700000004
TwoDCNSApps,Router_Proxy,cloud ,2351968.764642856
TwoDCNSApps,Router_Proxy,proxy-server ,167577.59640600038
TwoDCNSApps,Router_Proxy,d-0 ,175600.64441999956
TwoDCNSApps,Router_Proxy,m-0-0 ,162443.5870000004
TwoDCNSApps,Router_Proxy,m-0-1 ,162443.5870000004
TwoDCNSApps,Router_Proxy,m-0-2 ,162443.5870000004
TwoDCNSApps,Router_Proxy,m-0-3 ,162443.5870000004
HighResTwoDCNSApps,Router_Proxy,cloud ,2345345.129285713
HighResTwoDCNSApps,Router_Proxy,proxy-server ,175916.87389199954
HighResTwoDCNSApps,Router_Proxy,d-0 ,183452.4799500007
