app_class,scenario,device,app,vm,energy
TwoDCNSApps,Router_Only,cloud ,dcns_1,user_interface_1,4.21343571428473
TwoDCNSApps,Router_Only,cloud ,dcns_0,user_interface,4.396628571427591
TwoDCNSApps,Router_Only,d-0 ,dcns_1,object_tracker_1,20.345340742857577
TwoDCNSApps,Router_Only,d-0 ,dcns_1,object_detector_1,39.35967788571403
TwoDCNSApps,Router_Only,d-0 ,dcns_0,object_tracker,21.165717385714725
TwoDCNSApps,Router_Only,d-0 ,dcns_0,object_detector,40.94676167142829
TwoDCNSApps,Router_Only,m-0-0 ,dcns_1,motion_detector_1,22.792811999999564
TwoDCNSApps,Router_Only,m-0-0 ,dcns_0,motion_detector,28.87614699999952
TwoDCNSApps,Router_Only,m-0-1 ,dcns_1,motion_detector_1,22.792811999999564
TwoDCNSApps,Router_Only,m-0-1 ,dcns_0,motion_detector,28.87614699999952
TwoDCNSApps,Router_Only,m-0-2 ,dcns_1,motion_detector_1,22.792811999999564
TwoDCNSApps,Router_Only,m-0-2 ,dcns_0,motion_detector,28.87614699999952
TwoDCNSApps,Router_Only,m-0-3 ,dcns_1,motion_detector_1,22.792811999999564
TwoDCNSApps,Router_Only,m-0-3 ,dcns_0,motion_detector,28.87614699999952
HighResTwoDCNSApps,Router_Only,cloud ,dcns_1,user_interface_1,2.7412714285711166
HighResTwoDCNSApps,Router_Only,cloud ,dcns_0,user_interface,4.459017142855751
HighResTwoDCNSApps,Router_Only,d-0 ,dcns_1,object_tracker_1,19.32055446988588
HighResTwoDCNSApps,Router_Only,d-0 ,dcns_1,object_detector_1,79.92321249239342
HighResTwoDCNSApps,Router_Only,d-0 ,dcns_0,object_tracker,20.72920417453568
HighResTwoDCNSApps,Router_Only,d-0 ,dcns_0,object_detector,83.6132917944222
HighResTwoDCNSApps,Router_Only,m-0-0 ,dcns_1,motion_detector_1,44.5002519999996
HighResTwoDCNSApps,Router_Only,m-0-0 ,dcns_0,motion_detector,46.8197969999996
HighResTwoDCNSApps,Router_Only,m-0-1 ,dcns_1,motion_detector_1,44.5002519999996
HighResTwoDCNSApps,Router_Only,m-0-1 ,dcns_0,motion_detector,46.8197969999996
HighResTwoDCNSApps,Router_Only,m-0-2 ,dcns_1,motion_detector_1,44.5002519999996
HighResTwoDCNSApps,Router_Only,m-0-2 ,dcns_0,motion_detector,46.8197969999996
HighResTwoDCNSApps,Router_Only,m-0-3 ,dcns_1,motion_detector_1,44.5002519999996
HighResTwoDCNSApps,Router_Only,m-0-3 ,dcns_0,motion_detector,46.8197969999996
LowResTwoDCNSApps,Router_Only,cloud ,dcns_1,user_interface_1,4.001917857142233
LowResTwoDCNSApps,Router_Only,cloud ,dcns_0,user_interface,4.1759142857136595
LowResTwoDCNSApps,Router_Only,d-0 ,dcns_1,object_tracker_1,20.345340742857573
LowResTwoDCNSApps,Router_Only,d-0 ,dcns_1,object_detector_1,20.34534074285757
LowResTwoDCNSApps,Router_Only,d-0 ,dcns_0,object_tracker,21.165717385714725
LowResTwoDCNSApps,Router_Only,d-0 ,dcns_0,object_detector,21.165717385714718
LowResTwoDCNSApps,Router_Only,m-0-0 ,dcns_1,motion_detector_1,11.939091999999595
LowResTwoDCNSApps,Router_Only,m-0-0 ,dcns_0,motion_detector,17.58477699999959
LowResTwoDCNSApps,Router_Only,m-0-1 ,dcns_1,motion_detector_1,11.939091999999595
LowResTwoDCNSApps,Router_Only,m-0-1 ,dcns_0,motion_detector,17.58477699999959
LowResTwoDCNSApps,Router_Only,m-0-2 ,dcns_1,motion_detector_1,11.939091999999595
LowResTwoDCNSApps,Router_Only,m-0-2 ,dcns_0,motion_detector,17.58477699999959
LowResTwoDCNSApps,Router_Only,m-0-3 ,dcns_1,motion_detector_1,11.939091999999595
LowResTwoDCNSApps,Router_Only,m-0-3 ,dcns_0,motion_detector,17.58477699999959
TwoDCNSApps,Router_Proxy,cloud ,dcns_1,user_interface_1,4.21343571428473
TwoDCNSApps,Router_Proxy,cloud ,dcns_0,user_interface,4.396628571427591
TwoDCNSApps,Router_Proxy,proxy-server ,dcns_1,object_tracker_1,20.18126541428614
TwoDCNSApps,Router_Proxy,proxy-server ,dcns_1,object_detector_1,40.111357568570476
TwoDCNSApps,Router_Proxy,d-0 ,dcns_0,object_tracker,21.165717385714725
TwoDCNSApps,Router_Proxy,d-0 ,dcns_0,object_detector,44.42454527142823
TwoDCNSApps,Router_Proxy,m-0-0 ,dcns_1,motion_detector_1,22.792811999999564
TwoDCNSApps,Router_Proxy,m-0-0 ,dcns_0,motion_detector,28.87614699999952
TwoDCNSApps,Router_Proxy,m-0-1 ,dcns_1,motion_detector_1,22.792811999999564
TwoDCNSApps,Router_Proxy,m-0-1 ,dcns_0,motion_detector,28.87614699999952
TwoDCNSApps,Router_Proxy,m-0-2 ,dcns_1,motion_detector_1,22.792811999999564
TwoDCNSApps,Router_Proxy,m-0-2 ,dcns_0,motion_detector,28.87614699999952
TwoDCNSApps,Router_Proxy,m-0-3 ,dcns_1,motion_detector_1,22.792811999999564
TwoDCNSApps,Router_Proxy,m-0-3 ,dcns_0,motion_detector,28.87614699999952
HighResTwoDCNSApps,Router_Proxy,cloud ,dcns_1,user_interface_1,4.636471428572625
HighResTwoDCNSApps,Router_Proxy,cloud ,dcns_0,user_interface,4.838057142858357
HighResTwoDCNSApps,Router_Proxy,proxy-server ,dcns_1,object_tracker_1,20.18126541428614
HighResTwoDCNSApps,Router_Proxy,proxy-server ,dcns_1,object_detector_1,78.38721823714147
HighResTwoDCNSApps,Router_Proxy,d-0 ,dcns_0,object_tracker,21.161117142857602
HighResTwoDCNSApps,Router_Proxy,d-0 ,dcns_0,object_detector,80.50885024285697
HighResTwoDCNSApps,Router_Proxy,m-0-0 ,dcns_1,motion_detector_1,44.5002519999996
HighResTwoDCNSApps,Router_Proxy,m-0-0 ,dcns_0,motion_detector,46.8197969999996
HighResTwoDCNSApps,Router_Proxy,m-0-1 ,dcns_1,motion_detector_1,44.5002519999996
HighResTwoDCNSApps,Router_Proxy,m-0-1 ,dcns_0,motion_detector,46.8197969999996
HighResTwoDCNSApps,Router_Proxy,m-0-2 ,dcns_1,motion_detector_1,44.5002519999996
HighResTwoDCNSApps,Router_Proxy,m-0-2 ,dcns_0,motion_detector,46.8197969999996
HighResTwoDCNSApps,Router_Proxy,m-0-3 ,dcns_1,motion_detector_1,44.5002519999996
HighResTwoDCNSApps,Router_Proxy,m-0-3 ,dcns_0,motion_detector,46.8197969999996
LowResTwoDCNSApps,Router_Proxy,cloud ,dcns_1,user_interface_1,4.001917857142233
LowResTwoDCNSApps,Router_Proxy,cloud ,dcns_0,user_interface,4.1759142857136595
LowResTwoDCNSApps,Router_Proxy,proxy-server ,dcns_1,object_tracker_1,20.345340742857577
LowResTwoDCNSApps,Router_Proxy,proxy-server ,dcns_1,object_detector_1,20.744641822857176
LowResTwoDCNSApps,Router_Proxy,d-0 ,dcns_0,object_tracker,21.165717385714725
LowResTwoDCNSApps,Router_Proxy,d-0 ,dcns_0,object_detector,29.924579785714624
LowResTwoDCNSApps,Router_Proxy,m-0-0 ,dcns_1,motion_detector_1,11.939091999999595
LowResTwoDCNSApps,Router_Proxy,m-0-0 ,dcns_0,motion_detector,17.58477699999959
LowResTwoDCNSApps,Router_Proxy,m-0-1 ,dcns_1,motion_detector_1,11.939091999999595
LowResTwoDCNSApps,Router_Proxy,m-0-1 ,dcns_0,motion_detector,17.58477699999959
LowResTwoDCNSApps,Router_Proxy,m-0-2 ,dcns_1,motion_detector_1,11.939091999999595
LowResTwoDCNSApps,Router_Proxy,m-0-2 ,dcns_0,motion_detector,17.58477699999959
LowResTwoDCNSApps,Router_Proxy,m-0-3 ,dcns_1,motion_detector_1,11.939091999999595
LowResTwoDCNSApps,Router_Proxy,m-0-3 ,dcns_0,motion_detector,17.58477699999959
TwoDCNSApps,Router_Cloud,cloud ,dcns_1,user_interface_1,5.279485714286313
TwoDCNSApps,Router_Cloud,cloud ,dcns_1,object_tracker_1,34.60211428571091
TwoDCNSApps,Router_Cloud,cloud ,dcns_1,object_detector_1,65.28198857142476
TwoDCNSApps,Router_Cloud,cloud ,dcns_0,user_interface,4.396628571427591
TwoDCNSApps,Router_Cloud,d-0 ,dcns_0,object_tracker,21.165717385714725
TwoDCNSApps,Router_Cloud,d-0 ,dcns_0,object_detector,44.42454527142823
TwoDCNSApps,Router_Cloud,m-0-0 ,dcns_1,motion_detector_1,22.792811999999564
TwoDCNSApps,Router_Cloud,m-0-0 ,dcns_0,motion_detector,28.87614699999952
TwoDCNSApps,Router_Cloud,m-0-1 ,dcns_1,motion_detector_1,22.792811999999564
TwoDCNSApps,Router_Cloud,m-0-1 ,dcns_0,motion_detector,28.87614699999952
TwoDCNSApps,Router_Cloud,m-0-2 ,dcns_1,motion_detector_1,22.792811999999564
TwoDCNSApps,Router_Cloud,m-0-2 ,dcns_0,motion_detector,28.87614699999952
TwoDCNSApps,Router_Cloud,m-0-3 ,dcns_1,motion_detector_1,22.792811999999564
TwoDCNSApps,Router_Cloud,m-0-3 ,dcns_0,motion_detector,28.87614699999952
HighResTwoDCNSApps,Router_Cloud,cloud ,dcns_1,user_interface_1,4.494331428572894
HighResTwoDCNSApps,Router_Cloud,cloud ,dcns_1,object_tracker_1,223.3369599999977
HighResTwoDCNSApps,Router_Cloud,cloud ,dcns_1,object_detector_1,111.28237714283797
HighResTwoDCNSApps,Router_Cloud,cloud ,dcns_0,user_interface,189.72158571428574
HighResTwoDCNSApps,Router_Cloud,d-0 ,dcns_0,object_tracker,21.161117142857602
HighResTwoDCNSApps,Router_Cloud,d-0 ,dcns_0,object_detector,80.50885024285697
HighResTwoDCNSApps,Router_Cloud,m-0-0 ,dcns_1,motion_detector_1,44.5002519999996
HighResTwoDCNSApps,Router_Cloud,m-0-0 ,dcns_0,motion_detector,46.8197969999996
HighResTwoDCNSApps,Router_Cloud,m-0-1 ,dcns_1,motion_detector_1,44.5002519999996
HighResTwoDCNSApps,Router_Cloud,m-0-1 ,dcns_0,motion_detector,46.8197969999996
HighResTwoDCNSApps,Router_Cloud,m-0-2 ,dcns_1,motion_detector_1,44.5002519999996
HighResTwoDCNSApps,Router_Cloud,m-0-2 ,dcns_0,motion_detector,46.8197969999996
HighResTwoDCNSApps,Router_Cloud,m-0-3 ,dcns_1,motion_detector_1,44.5002519999996
HighResTwoDCNSApps,Router_Cloud,m-0-3 ,dcns_0,motion_detector,46.8197969999996
LowResTwoDCNSApps,Router_Cloud,cloud ,dcns_1,user_interface_1,5.279485714286313
LowResTwoDCNSApps,Router_Cloud,cloud ,dcns_1,object_tracker_1,34.60211428571091
LowResTwoDCNSApps,Router_Cloud,cloud ,dcns_1,object_detector_1,42.28179428570378
LowResTwoDCNSApps,Router_Cloud,cloud ,dcns_0,user_interface,4.1759142857136595
LowResTwoDCNSApps,Router_Cloud,d-0 ,dcns_0,object_tracker,21.165717385714725
LowResTwoDCNSApps,Router_Cloud,d-0 ,dcns_0,object_detector,29.924579785714624
LowResTwoDCNSApps,Router_Cloud,m-0-0 ,dcns_1,motion_detector_1,11.939091999999595
LowResTwoDCNSApps,Router_Cloud,m-0-0 ,dcns_0,motion_detector,17.58477699999959
LowResTwoDCNSApps,Router_Cloud,m-0-1 ,dcns_1,motion_detector_1,11.939091999999595
LowResTwoDCNSApps,Router_Cloud,m-0-1 ,dcns_0,motion_detector,17.58477699999959
LowResTwoDCNSApps,Router_Cloud,m-0-2 ,dcns_1,motion_detector_1,11.939091999999595
LowResTwoDCNSApps,Router_Cloud,m-0-2 ,dcns_0,motion_detector,17.58477699999959
LowResTwoDCNSApps,Router_Cloud,m-0-3 ,dcns_1,motion_detector_1,11.939091999999595
LowResTwoDCNSApps,Router_Cloud,m-0-3 ,dcns_0,motion_detector,17.58477699999959
TwoDCNSApps,Proxy_Only,cloud ,dcns_1,user_interface_1,4.21343571428473
TwoDCNSApps,Proxy_Only,cloud ,dcns_0,user_interface,4.396628571427591
TwoDCNSApps,Proxy_Only,proxy-server ,dcns_1,object_tracker_1,20.18126541428614
TwoDCNSApps,Proxy_Only,proxy-server ,dcns_1,object_detector_1,40.111357568570476
TwoDCNSApps,Proxy_Only,proxy-server ,dcns_0,object_tracker,21.16571738571473
TwoDCNSApps,Proxy_Only,proxy-server ,dcns_0,object_detector,41.77756553142753
TwoDCNSApps,Proxy_Only,m-0-0 ,dcns_1,motion_detector_1,22.792811999999564
TwoDCNSApps,Proxy_Only,m-0-0 ,dcns_0,motion_detector,28.87614699999952
TwoDCNSApps,Proxy_Only,m-0-1 ,dcns_1,motion_detector_1,22.792811999999564
TwoDCNSApps,Proxy_Only,m-0-1 ,dcns_0,motion_detector,28.87614699999952
TwoDCNSApps,Proxy_Only,m-0-2 ,dcns_1,motion_detector_1,22.792811999999564
TwoDCNSApps,Proxy_Only,m-0-2 ,dcns_0,motion_detector,28.87614699999952
TwoDCNSApps,Proxy_Only,m-0-3 ,dcns_1,motion_detector_1,22.792811999999564
TwoDCNSApps,Proxy_Only,m-0-3 ,dcns_0,motion_detector,28.87614699999952
HighResTwoDCNSApps,Proxy_Only,cloud ,dcns_1,user_interface_1,3.0517428571434606
HighResTwoDCNSApps,Proxy_Only,cloud ,dcns_0,user_interface,3.7147685714288663
HighResTwoDCNSApps,Proxy_Only,proxy-server ,dcns_1,object_tracker_1,30.270574018192868
HighResTwoDCNSApps,Proxy_Only,proxy-server ,dcns_1,object_detector_1,68.85488403716349
HighResTwoDCNSApps,Proxy_Only,proxy-server ,dcns_0,object_tracker,32.495581914685694
HighResTwoDCNSApps,Proxy_Only,proxy-server ,dcns_0,object_detector,75.02794992716358
HighResTwoDCNSApps,Proxy_Only,m-0-0 ,dcns_1,motion_detector_1,44.5002519999996
HighResTwoDCNSApps,Proxy_Only,m-0-0 ,dcns_0,motion_detector,46.8197969999996
HighResTwoDCNSApps,Proxy_Only,m-0-1 ,dcns_1,motion_detector_1,44.5002519999996
HighResTwoDCNSApps,Proxy_Only,m-0-1 ,dcns_0,motion_detector,46.8197969999996
HighResTwoDCNSApps,Proxy_Only,m-0-2 ,dcns_1,motion_detector_1,44.5002519999996
HighResTwoDCNSApps,Proxy_Only,m-0-2 ,dcns_0,motion_detector,46.8197969999996
HighResTwoDCNSApps,Proxy_Only,m-0-3 ,dcns_1,motion_detector_1,44.5002519999996
HighResTwoDCNSApps,Proxy_Only,m-0-3 ,dcns_0,motion_detector,46.8197969999996
LowResTwoDCNSApps,Proxy_Only,cloud ,dcns_1,user_interface_1,4.001917857142233
LowResTwoDCNSApps,Proxy_Only,cloud ,dcns_0,user_interface,4.1759142857136595
LowResTwoDCNSApps,Proxy_Only,proxy-server ,dcns_1,object_tracker_1,20.345340742857577
LowResTwoDCNSApps,Proxy_Only,proxy-server ,dcns_1,object_detector_1,20.744641822857176
LowResTwoDCNSApps,Proxy_Only,proxy-server ,dcns_0,object_tracker,21.165717385714725
LowResTwoDCNSApps,Proxy_Only,proxy-server ,dcns_0,object_detector,21.581119315714307
LowResTwoDCNSApps,Proxy_Only,m-0-0 ,dcns_1,motion_detector_1,11.939091999999595
LowResTwoDCNSApps,Proxy_Only,m-0-0 ,dcns_0,motion_detector,17.58477699999959
LowResTwoDCNSApps,Proxy_Only,m-0-1 ,dcns_1,motion_detector_1,11.939091999999595
LowResTwoDCNSApps,Proxy_Only,m-0-1 ,dcns_0,motion_detector,17.58477699999959
LowResTwoDCNSApps,Proxy_Only,m-0-2 ,dcns_1,motion_detector_1,11.939091999999595
LowResTwoDCNSApps,Proxy_Only,m-0-2 ,dcns_0,motion_detector,17.58477699999959
LowResTwoDCNSApps,Proxy_Only,m-0-3 ,dcns_1,motion_detector_1,11.939091999999595
LowResTwoDCNSApps,Proxy_Only,m-0-3 ,dcns_0,motion_detector,17.58477699999959
TwoDCNSApps,Proxy_Cloud,cloud ,dcns_1,user_interface_1,5.279485714286313
TwoDCNSApps,Proxy_Cloud,cloud ,dcns_1,object_tracker_1,34.60211428571091
TwoDCNSApps,Proxy_Cloud,cloud ,dcns_1,object_detector_1,65.28198857142476
TwoDCNSApps,Proxy_Cloud,cloud ,dcns_0,user_interface,4.396628571427591
TwoDCNSApps,Proxy_Cloud,proxy-server ,dcns_0,object_tracker,21.16571738571473
TwoDCNSApps,Proxy_Cloud,proxy-server ,dcns_0,object_detector,48.1148600914273
TwoDCNSApps,Proxy_Cloud,m-0-0 ,dcns_1,motion_detector_1,22.792811999999564
TwoDCNSApps,Proxy_Cloud,m-0-0 ,dcns_0,motion_detector,28.87614699999952
TwoDCNSApps,Proxy_Cloud,m-0-1 ,dcns_1,motion_detector_1,22.792811999999564
TwoDCNSApps,Proxy_Cloud,m-0-1 ,dcns_0,motion_detector,28.87614699999952
TwoDCNSApps,Proxy_Cloud,m-0-2 ,dcns_1,motion_detector_1,22.792811999999564
TwoDCNSApps,Proxy_Cloud,m-0-2 ,dcns_0,motion_detector,28.87614699999952
TwoDCNSApps,Proxy_Cloud,m-0-3 ,dcns_1,motion_detector_1,22.792811999999564
TwoDCNSApps,Proxy_Cloud,m-0-3 ,dcns_0,motion_detector,28.87614699999952
HighResTwoDCNSApps,Proxy_Cloud,cloud ,dcns_1,user_interface_1,5.279485714286313
HighResTwoDCNSApps,Proxy_Cloud,cloud ,dcns_1,object_tracker_1,34.60211428571091
HighResTwoDCNSApps,Proxy_Cloud,cloud ,dcns_1,object_detector_1,111.28237714283797
HighResTwoDCNSApps,Proxy_Cloud,cloud ,dcns_0,user_interface,4.838057142858357
HighResTwoDCNSApps,Proxy_Cloud,proxy-server ,dcns_0,object_tracker,21.001642057143293
HighResTwoDCNSApps,Proxy_Cloud,proxy-server ,dcns_0,object_detector,82.10881470857005
HighResTwoDCNSApps,Proxy_Cloud,m-0-0 ,dcns_1,motion_detector_1,44.5002519999996
HighResTwoDCNSApps,Proxy_Cloud,m-0-0 ,dcns_0,motion_detector,46.8197969999996
HighResTwoDCNSApps,Proxy_Cloud,m-0-1 ,dcns_1,motion_detector_1,44.5002519999996
HighResTwoDCNSApps,Proxy_Cloud,m-0-1 ,dcns_0,motion_detector,46.8197969999996
HighResTwoDCNSApps,Proxy_Cloud,m-0-2 ,dcns_1,motion_detector_1,44.5002519999996
HighResTwoDCNSApps,Proxy_Cloud,m-0-2 ,dcns_0,motion_detector,46.8197969999996
HighResTwoDCNSApps,Proxy_Cloud,m-0-3 ,dcns_1,motion_detector_1,44.5002519999996
HighResTwoDCNSApps,Proxy_Cloud,m-0-3 ,dcns_0,motion_detector,46.8197969999996
LowResTwoDCNSApps,Proxy_Cloud,cloud ,dcns_1,user_interface_1,5.279485714286313
LowResTwoDCNSApps,Proxy_Cloud,cloud ,dcns_1,object_tracker_1,34.60211428571091
LowResTwoDCNSApps,Proxy_Cloud,cloud ,dcns_1,object_detector_1,42.28179428570378
LowResTwoDCNSApps,Proxy_Cloud,cloud ,dcns_0,user_interface,4.1759142857136595
LowResTwoDCNSApps,Proxy_Cloud,proxy-server ,dcns_0,object_tracker,21.165717385714725
LowResTwoDCNSApps,Proxy_Cloud,proxy-server ,dcns_0,object_detector,25.64497385571418
LowResTwoDCNSApps,Proxy_Cloud,m-0-0 ,dcns_1,motion_detector_1,11.939091999999595
LowResTwoDCNSApps,Proxy_Cloud,m-0-0 ,dcns_0,motion_detector,17.58477699999959
LowResTwoDCNSApps,Proxy_Cloud,m-0-1 ,dcns_1,motion_detector_1,11.939091999999595
LowResTwoDCNSApps,Proxy_Cloud,m-0-1 ,dcns_0,motion_detector,17.58477699999959
LowResTwoDCNSApps,Proxy_Cloud,m-0-2 ,dcns_1,motion_detector_1,11.939091999999595
LowResTwoDCNSApps,Proxy_Cloud,m-0-2 ,dcns_0,motion_detector,17.58477699999959
LowResTwoDCNSApps,Proxy_Cloud,m-0-3 ,dcns_1,motion_detector_1,11.939091999999595
LowResTwoDCNSApps,Proxy_Cloud,m-0-3 ,dcns_0,motion_detector,17.58477699999959
TwoDCNSApps,Cloud_Only,cloud ,dcns_1,user_interface_1,5.279485714286313
TwoDCNSApps,Cloud_Only,cloud ,dcns_1,object_tracker_1,34.60211428571091
TwoDCNSApps,Cloud_Only,cloud ,dcns_1,object_detector_1,65.28198857142476
TwoDCNSApps,Cloud_Only,cloud ,dcns_0,user_interface,5.5090285714291785
TwoDCNSApps,Cloud_Only,cloud ,dcns_0,object_tracker,36.07942857142522
TwoDCNSApps,Cloud_Only,cloud ,dcns_0,object_detector,68.0718171428531
TwoDCNSApps,Cloud_Only,m-0-0 ,dcns_1,motion_detector_1,22.792811999999564
TwoDCNSApps,Cloud_Only,m-0-0 ,dcns_0,motion_detector,28.87614699999952
TwoDCNSApps,Cloud_Only,m-0-1 ,dcns_1,motion_detector_1,22.792811999999564
TwoDCNSApps,Cloud_Only,m-0-1 ,dcns_0,motion_detector,28.87614699999952
TwoDCNSApps,Cloud_Only,m-0-2 ,dcns_1,motion_detector_1,22.792811999999564
TwoDCNSApps,Cloud_Only,m-0-2 ,dcns_0,motion_detector,28.87614699999952
TwoDCNSApps,Cloud_Only,m-0-3 ,dcns_1,motion_detector_1,22.792811999999564
TwoDCNSApps,Cloud_Only,m-0-3 ,dcns_0,motion_detector,28.87614699999952
HighResTwoDCNSApps,Cloud_Only,cloud ,dcns_1,user_interface_1,5.279485714286313
HighResTwoDCNSApps,Cloud_Only,cloud ,dcns_1,object_tracker_1,34.60211428571091
HighResTwoDCNSApps,Cloud_Only,cloud ,dcns_1,object_detector_1,111.28237714283797
HighResTwoDCNSApps,Cloud_Only,cloud ,dcns_0,user_interface,5.5090285714291785
HighResTwoDCNSApps,Cloud_Only,cloud ,dcns_0,object_tracker,36.07942857142522
HighResTwoDCNSApps,Cloud_Only,cloud ,dcns_0,object_detector,116.03803428569503
HighResTwoDCNSApps,Cloud_Only,m-0-0 ,dcns_1,motion_detector_1,44.5002519999996
HighResTwoDCNSApps,Cloud_Only,m-0-0 ,dcns_0,motion_detector,46.8197969999996
HighResTwoDCNSApps,Cloud_Only,m-0-1 ,dcns_1,motion_detector_1,44.5002519999996
HighResTwoDCNSApps,Cloud_Only,m-0-1 ,dcns_0,motion_detector,46.8197969999996
HighResTwoDCNSApps,Cloud_Only,m-0-2 ,dcns_1,motion_detector_1,44.5002519999996
HighResTwoDCNSApps,Cloud_Only,m-0-2 ,dcns_0,motion_detector,46.8197969999996
HighResTwoDCNSApps,Cloud_Only,m-0-3 ,dcns_1,motion_detector_1,44.5002519999996
HighResTwoDCNSApps,Cloud_Only,m-0-3 ,dcns_0,motion_detector,46.8197969999996
LowResTwoDCNSApps,Cloud_Only,cloud ,dcns_1,user_interface_1,5.279485714286313
LowResTwoDCNSApps,Cloud_Only,cloud ,dcns_1,object_tracker_1,34.60211428571091
LowResTwoDCNSApps,Cloud_Only,cloud ,dcns_1,object_detector_1,42.28179428570378
LowResTwoDCNSApps,Cloud_Only,cloud ,dcns_0,user_interface,5.5090285714291785
LowResTwoDCNSApps,Cloud_Only,cloud ,dcns_0,object_tracker,36.07942857142522
LowResTwoDCNSApps,Cloud_Only,cloud ,dcns_0,object_detector,44.088708571418174
LowResTwoDCNSApps,Cloud_Only,m-0-0 ,dcns_1,motion_detector_1,11.939091999999595
LowResTwoDCNSApps,Cloud_Only,m-0-0 ,dcns_0,motion_detector,17.58477699999959
LowResTwoDCNSApps,Cloud_Only,m-0-1 ,dcns_1,motion_detector_1,11.939091999999595
LowResTwoDCNSApps,Cloud_Only,m-0-1 ,dcns_0,motion_detector,17.58477699999959
LowResTwoDCNSApps,Cloud_Only,m-0-2 ,dcns_1,motion_detector_1,11.939091999999595
