app_class,scenario,device,energy
TwoDCNSApps,Router_Only,cloud ,2386111.807499998
TwoDCNSApps,Router_Only,proxy-server ,0.0
TwoDCNSApps,Router_Only,d-0 ,202006.72192000135
TwoDCNSApps,Router_Only,m-0-0 ,163915.01599999997
TwoDCNSApps,Router_Only,m-0-1 ,163915.01599999997
TwoDCNSApps,Router_Only,m-0-2 ,163915.01599999997
TwoDCNSApps,Router_Only,m-0-3 ,163915.01599999997
HighResTwoDCNSApps,Router_Only,cloud ,2372451.300714284
HighResTwoDCNSApps,Router_Only,proxy-server ,0.0
HighResTwoDCNSApps,Router_Only,d-0 ,207355.9721699989
HighResTwoDCNSApps,Router_Only,m-0-0 ,167783.41599999947
HighResTwoDCNSApps,Router_Only,m-0-1 ,167783.41599999947
HighResTwoDCNSApps,Router_Only,m-0-2 ,167783.41599999947
HighResTwoDCNSApps,Router_Only,m-0-3 ,167783.41599999947
LowResTwoDCNSApps,Router_Only,cloud ,2389381.303749998
LowResTwoDCNSApps,Router_Only,proxy-server ,0.0
LowResTwoDCNSApps,Router_Only,d-0 ,188794.97650000048
LowResTwoDCNSApps,Router_Only,m-0-0 ,161980.81600000078
LowResTwoDCNSApps,Router_Only,m-0-1 ,161980.81600000078
LowResTwoDCNSApps,Router_Only,m-0-2 ,161980.81600000078
LowResTwoDCNSApps,Router_Only,m-0-3 ,161980.81600000078
TwoDCNSApps,Router_Proxy,cloud ,2386111.8075
TwoDCNSApps,Router_Proxy,proxy-server ,174496.06299000024
TwoDCNSApps,Router_Proxy,d-0 ,182168.40602000034
TwoDCNSApps,Router_Proxy,m-0-0 ,163915.01599999997
TwoDCNSApps,Router_Proxy,m-0-1 ,163915.01599999997
TwoDCNSApps,Router_Proxy,m-0-2 ,163915.01599999997
TwoDCNSApps,Router_Proxy,m-0-3 ,163915.01599999997
HighResTwoDCNSApps,Router_Proxy,cloud ,2379534.161428571
HighResTwoDCNSApps,Router_Proxy,proxy-server ,186982.88533799959
HighResTwoDCNSApps,Router_Proxy,d-0 ,195104.98394000166
HighResTwoDCNSApps,Router_Proxy,m-0-0 ,167783.41599999947
HighResTwoDCNSApps,Router_Proxy,m-0-1 ,167783.41599999947
HighResTwoDCNSApps,Router_Proxy,m-0-2 ,167783.41599999947
HighResTwoDCNSApps,Router_Proxy,m-0-3 ,167783.41599999947
LowResTwoDCNSApps,Router_Proxy,cloud ,2389381.3037500004
LowResTwoDCNSApps,Router_Proxy,proxy-server ,168280.27997500126
LowResTwoDCNSApps,Router_Proxy,d-0 ,175679.96797000078
LowResTwoDCNSApps,Router_Proxy,m-0-0 ,161980.81600000078
LowResTwoDCNSApps,Router_Proxy,m-0-1 ,161980.81600000078
LowResTwoDCNSApps,Router_Proxy,m-0-2 ,161980.81600000078
LowResTwoDCNSApps,Router_Proxy,m-0-3 ,161980.81600000078
TwoDCNSApps,Router_Cloud,cloud ,2415167.358571419
TwoDCNSApps,Router_Cloud,proxy-server ,0.0
TwoDCNSApps,Router_Cloud,d-0 ,182168.40602000034
TwoDCNSApps,Router_Cloud,m-0-0 ,163915.01599999997
TwoDCNSApps,Router_Cloud,m-0-1 ,163915.01599999997
TwoDCNSApps,Router_Cloud,m-0-2 ,163915.01599999997
TwoDCNSApps,Router_Cloud,m-0-3 ,163915.01599999997
HighResTwoDCNSApps,Router_Cloud,cloud ,2421590.939999988
HighResTwoDCNSApps,Router_Cloud,proxy-server ,0.0
HighResTwoDCNSApps,Router_Cloud,d-0 ,195104.98394000166
HighResTwoDCNSApps,Router_Cloud,m-0-0 ,167783.41599999947
HighResTwoDCNSApps,Router_Cloud,m-0-1 ,167783.41599999947
HighResTwoDCNSApps,Router_Cloud,m-0-2 ,167783.41599999947
HighResTwoDCNSApps,Router_Cloud,m-0-3 ,167783.41599999947
LowResTwoDCNSApps,Router_Cloud,cloud ,2411924.193571428
LowResTwoDCNSApps,Router_Cloud,proxy-server ,0.0
LowResTwoDCNSApps,Router_Cloud,d-0 ,175679.96797000078
LowResTwoDCNSApps,Router_Cloud,m-0-0 ,161980.81600000078
LowResTwoDCNSApps,Router_Cloud,m-0-1 ,161980.81600000078
LowResTwoDCNSApps,Router_Cloud,m-0-2 ,161980.81600000078
LowResTwoDCNSApps,Router_Cloud,m-0-3 ,161980.81600000078
TwoDCNSApps,Proxy_Only,cloud ,2376449.707499999
TwoDCNSApps,Proxy_Only,proxy-server ,207308.42553200375
TwoDCNSApps,Proxy_Only,d-0 ,0.0
TwoDCNSApps,Proxy_Only,m-0-0 ,163915.01599999997
TwoDCNSApps,Proxy_Only,m-0-1 ,163915.01599999997
TwoDCNSApps,Proxy_Only,m-0-2 ,163915.01599999997
TwoDCNSApps,Proxy_Only,m-0-3 ,163915.01599999997
HighResTwoDCNSApps,Proxy_Only,cloud ,2345772.6471428555
HighResTwoDCNSApps,Proxy_Only,proxy-server ,207142.2598639987
HighResTwoDCNSApps,Proxy_Only,d-0 ,0.0
HighResTwoDCNSApps,Proxy_Only,m-0-0 ,167783.41599999947
HighResTwoDCNSApps,Proxy_Only,m-0-1 ,167783.41599999947
HighResTwoDCNSApps,Proxy_Only,m-0-2 ,167783.41599999947
HighResTwoDCNSApps,Proxy_Only,m-0-3 ,167783.41599999947
LowResTwoDCNSApps,Proxy_Only,cloud ,2389341.343749998
LowResTwoDCNSApps,Proxy_Only,proxy-server ,188720.02968300434
LowResTwoDCNSApps,Proxy_Only,d-0 ,0.0
LowResTwoDCNSApps,Proxy_Only,m-0-0 ,161980.81600000078
LowResTwoDCNSApps,Proxy_Only,m-0-1 ,161980.81600000078
LowResTwoDCNSApps,Proxy_Only,m-0-2 ,161980.81600000078
LowResTwoDCNSApps,Proxy_Only,m-0-3 ,161980.81600000078
TwoDCNSApps,Proxy_Cloud,cloud ,2415087.438571419
TwoDCNSApps,Proxy_Cloud,proxy-server ,182228.40924600055
TwoDCNSApps,Proxy_Cloud,d-0 ,0.0
TwoDCNSApps,Proxy_Cloud,m-0-0 ,163915.01599999997
TwoDCNSApps,Proxy_Cloud,m-0-1 ,163915.01599999997
TwoDCNSApps,Proxy_Cloud,m-0-2 ,163915.01599999997
TwoDCNSApps,Proxy_Cloud,m-0-3 ,163915.01599999997
HighResTwoDCNSApps,Proxy_Cloud,cloud ,2421431.099999988
HighResTwoDCNSApps,Proxy_Cloud,proxy-server ,195459.68087799984
HighResTwoDCNSApps,Proxy_Cloud,d-0 ,0.0
HighResTwoDCNSApps,Proxy_Cloud,m-0-0 ,167783.41599999947
HighResTwoDCNSApps,Proxy_Cloud,m-0-1 ,167783.41599999947
HighResTwoDCNSApps,Proxy_Cloud,m-0-2 ,167783.41599999947
HighResTwoDCNSApps,Proxy_Cloud,m-0-3 ,167783.41599999947
LowResTwoDCNSApps,Proxy_Cloud,cloud ,2411884.233571428
LowResTwoDCNSApps,Proxy_Cloud,proxy-server ,175639.5136630014
LowResTwoDCNSApps,Proxy_Cloud,d-0 ,0.0
LowResTwoDCNSApps,Proxy_Cloud,m-0-0 ,161980.81600000078
LowResTwoDCNSApps,Proxy_Cloud,m-0-1 ,161980.81600000078
LowResTwoDCNSApps,Proxy_Cloud,m-0-2 ,161980.81600000078
LowResTwoDCNSApps,Proxy_Cloud,m-0-3 ,161980.81600000078
TwoDCNSApps,Cloud_Only,cloud ,2493434.9252071953
TwoDCNSApps,Cloud_Only,proxy-server ,0.0
TwoDCNSApps,Cloud_Only,d-0 ,0.0
TwoDCNSApps,Cloud_Only,m-0-0 ,163915.01599999997
TwoDCNSApps,Cloud_Only,m-0-1 ,163915.01599999997
TwoDCNSApps,Cloud_Only,m-0-2 ,163915.01599999997
TwoDCNSApps,Cloud_Only,m-0-3 ,163915.01599999997
HighResTwoDCNSApps,Cloud_Only,cloud ,2550869.440545862
