app_class,scenario,device,app,vm,energy
TwoDCNSApps,Router_Only,cloud ,dcns_1,user_interface_1,6.411749999998501
TwoDCNSApps,Router_Only,cloud ,dcns_0,user_interface,6.594942857141363
TwoDCNSApps,Router_Only,d-0 ,dcns_1,object_tracker_1,29.361050035714005
TwoDCNSApps,Router_Only,d-0 ,dcns_1,object_detector_1,57.85802112142859
TwoDCNSApps,Router_Only,d-0 ,dcns_0,object_tracker,30.673652664285417
TwoDCNSApps,Router_Only,d-0 ,dcns_0,object_detector,64.39036597857232
TwoDCNSApps,Router_Only,m-0-0 ,dcns_1,motion_detector_1,33.375188999999715
TwoDCNSApps,Router_Only,m-0-0 ,dcns_0,motion_detector,36.508762999999696
TwoDCNSApps,Router_Only,m-0-1 ,dcns_1,motion_detector_1,33.375188999999715
TwoDCNSApps,Router_Only,m-0-1 ,dcns_0,motion_detector,36.508762999999696
TwoDCNSApps,Router_Only,m-0-2 ,dcns_1,motion_detector_1,33.375188999999715
TwoDCNSApps,Router_Only,m-0-2 ,dcns_0,motion_detector,36.508762999999696
TwoDCNSApps,Router_Only,m-0-3 ,dcns_1,motion_detector_1,33.375188999999715
TwoDCNSApps,Router_Only,m-0-3 ,dcns_0,motion_detector,36.508762999999696
HighResTwoDCNSApps,Router_Only,cloud ,dcns_1,user_interface_1,3.0237857142864906
HighResTwoDCNSApps,Router_Only,cloud ,dcns_0,user_interface,3.225371428572222
HighResTwoDCNSApps,Router_Only,d-0 ,dcns_1,object_tracker_1,21.1648165048215
HighResTwoDCNSApps,Router_Only,d-0 ,dcns_1,object_detector_1,77.8534865602497
HighResTwoDCNSApps,Router_Only,d-0 ,dcns_0,object_tracker,22.71856003042864
HighResTwoDCNSApps,Router_Only,d-0 ,dcns_0,object_detector,85.38868436024971
HighResTwoDCNSApps,Router_Only,m-0-0 ,dcns_1,motion_detector_1,65.9363489999995
HighResTwoDCNSApps,Router_Only,m-0-0 ,dcns_0,motion_detector,70.47040299999945
HighResTwoDCNSApps,Router_Only,m-0-1 ,dcns_1,motion_detector_1,65.9363489999995
HighResTwoDCNSApps,Router_Only,m-0-1 ,dcns_0,motion_detector,70.47040299999945
HighResTwoDCNSApps,Router_Only,m-0-2 ,dcns_1,motion_detector_1,65.9363489999995
HighResTwoDCNSApps,Router_Only,m-0-2 ,dcns_0,motion_detector,70.47040299999945
HighResTwoDCNSApps,Router_Only,m-0-3 ,dcns_1,motion_detector_1,65.9363489999995
HighResTwoDCNSApps,Router_Only,m-0-3 ,dcns_0,motion_detector,70.47040299999945
LowResTwoDCNSApps,Router_Only,cloud ,dcns_1,user_interface_1,6.08987499999897
LowResTwoDCNSApps,Router_Only,cloud ,dcns_0,user_interface,6.263871428570489
LowResTwoDCNSApps,Router_Only,d-0 ,dcns_1,object_tracker_1,29.443854407142638
LowResTwoDCNSApps,Router_Only,d-0 ,dcns_1,object_detector_1,29.519758414285423
LowResTwoDCNSApps,Router_Only,d-0 ,dcns_0,object_tracker,30.756457035714053
LowResTwoDCNSApps,Router_Only,d-0 ,dcns_0,object_detector,32.82886644285625
LowResTwoDCNSApps,Router_Only,m-0-0 ,dcns_1,motion_detector_1,17.094608999999647
LowResTwoDCNSApps,Router_Only,m-0-0 ,dcns_0,motion_detector,19.52794299999969
LowResTwoDCNSApps,Router_Only,m-0-1 ,dcns_1,motion_detector_1,17.094608999999647
LowResTwoDCNSApps,Router_Only,m-0-1 ,dcns_0,motion_detector,19.52794299999969
LowResTwoDCNSApps,Router_Only,m-0-2 ,dcns_1,motion_detector_1,17.094608999999647
LowResTwoDCNSApps,Router_Only,m-0-2 ,dcns_0,motion_detector,19.52794299999969
LowResTwoDCNSApps,Router_Only,m-0-3 ,dcns_1,motion_detector_1,17.094608999999647
LowResTwoDCNSApps,Router_Only,m-0-3 ,dcns_0,motion_detector,19.52794299999969
TwoDCNSApps,Router_Proxy,cloud ,dcns_1,user_interface_1,6.411749999998501
TwoDCNSApps,Router_Proxy,cloud ,dcns_0,user_interface,6.594942857141363
TwoDCNSApps,Router_Proxy,proxy-server ,dcns_1,object_tracker_1,30.353935785715016
TwoDCNSApps,Router_Proxy,proxy-server ,dcns_1,object_detector_1,59.9543517914265
TwoDCNSApps,Router_Proxy,d-0 ,dcns_0,object_tracker,31.66653841428645
TwoDCNSApps,Router_Proxy,d-0 ,dcns_0,object_detector,61.54051552857093
TwoDCNSApps,Router_Proxy,m-0-0 ,dcns_1,motion_detector_1,33.375188999999715
TwoDCNSApps,Router_Proxy,m-0-0 ,dcns_0,motion_detector,36.508762999999696
TwoDCNSApps,Router_Proxy,m-0-1 ,dcns_1,motion_detector_1,33.375188999999715
TwoDCNSApps,Router_Proxy,m-0-1 ,dcns_0,motion_detector,36.508762999999696
TwoDCNSApps,Router_Proxy,m-0-2 ,dcns_1,motion_detector_1,33.375188999999715
TwoDCNSApps,Router_Proxy,m-0-2 ,dcns_0,motion_detector,36.508762999999696
TwoDCNSApps,Router_Proxy,m-0-3 ,dcns_1,motion_detector_1,33.375188999999715
TwoDCNSApps,Router_Proxy,m-0-3 ,dcns_0,motion_detector,36.508762999999696
HighResTwoDCNSApps,Router_Proxy,cloud ,dcns_1,user_interface_1,6.853914285716002
HighResTwoDCNSApps,Router_Proxy,cloud ,dcns_0,user_interface,7.257085714287512
HighResTwoDCNSApps,Router_Proxy,proxy-server ,dcns_1,object_tracker_1,30.189860457143578
HighResTwoDCNSApps,Router_Proxy,proxy-server ,dcns_1,object_detector_1,117.84135444285457
HighResTwoDCNSApps,Router_Proxy,d-0 ,dcns_0,object_tracker,31.666538414286453
HighResTwoDCNSApps,Router_Proxy,d-0 ,dcns_0,object_detector,120.45122555714298
HighResTwoDCNSApps,Router_Proxy,m-0-0 ,dcns_1,motion_detector_1,65.9363489999995
HighResTwoDCNSApps,Router_Proxy,m-0-0 ,dcns_0,motion_detector,70.47040299999945
HighResTwoDCNSApps,Router_Proxy,m-0-1 ,dcns_1,motion_detector_1,65.9363489999995
HighResTwoDCNSApps,Router_Proxy,m-0-1 ,dcns_0,motion_detector,70.47040299999945
HighResTwoDCNSApps,Router_Proxy,m-0-2 ,dcns_1,motion_detector_1,65.9363489999995
HighResTwoDCNSApps,Router_Proxy,m-0-2 ,dcns_0,motion_detector,70.47040299999945
HighResTwoDCNSApps,Router_Proxy,m-0-3 ,dcns_1,motion_detector_1,65.9363489999995
HighResTwoDCNSApps,Router_Proxy,m-0-3 ,dcns_0,motion_detector,70.47040299999945
LowResTwoDCNSApps,Router_Proxy,cloud ,dcns_1,user_interface_1,6.08987499999897
