app_class,scenario,simulation_time
TwoDCNSApps,Router_Only,306
HighResTwoDCNSApps,Router_Only,1978
LowResTwoDCNSApps,Router_Only,261
TwoDCNSApps,Router_Proxy,240
HighResTwoDCNSApps,Router_Proxy,243
LowResTwoDCNSApps,Router_Proxy,260
TwoDCNSApps,Router_Cloud,272
HighResTwoDCNSApps,Router_Cloud,340
LowResTwoDCNSApps,Router_Cloud,275
TwoDCNSApps,Proxy_Only,467
HighResTwoDCNSApps,Proxy_Only,2651
LowResTwoDCNSApps,Proxy_Only,290
TwoDCNSApps,Proxy_Cloud,302
HighResTwoDCNSApps,Proxy_Cloud,327
LowResTwoDCNSApps,Proxy_Cloud,291
TwoDCNSApps,Cloud_Only,394
HighResTwoDCNSApps,Cloud_Only,375
LowResTwoDCNSApps,Cloud_Only,367
TwoDCNSApps,ModuleBased_Router_Proxy,258
HighResTwoDCNSApps,ModuleBased_Router_Proxy,610
LowResTwoDCNSApps,ModuleBased_Router_Proxy,254
