app_class,scenario,device,energy
TwoDCNSApps,Router_Only,cloud ,2417179.6789285718
TwoDCNSApps,Router_Only,proxy-server ,0.0
TwoDCNSApps,Router_Only,d-0 ,208252.88596000054
TwoDCNSApps,Router_Only,m-0-0 ,164436.65099999978
TwoDCNSApps,Router_Only,m-0-1 ,164436.65099999978
TwoDCNSApps,Router_Only,m-0-2 ,164436.65099999978
TwoDCNSApps,Router_Only,m-0-3 ,164436.65099999978
HighResTwoDCNSApps,Router_Only,cloud ,2381195.4971428565
HighResTwoDCNSApps,Router_Only,proxy-server ,0.0
HighResTwoDCNSApps,Router_Only,d-0 ,208173.25659999688
HighResTwoDCNSApps,Router_Only,m-0-0 ,168223.1019999993
HighResTwoDCNSApps,Router_Only,m-0-1 ,168223.1019999993
HighResTwoDCNSApps,Router_Only,m-0-2 ,168223.1019999993
HighResTwoDCNSApps,Router_Only,m-0-3 ,168223.1019999993
LowResTwoDCNSApps,Router_Only,cloud ,2419924.4430357106
LowResTwoDCNSApps,Router_Only,proxy-server ,0.0
LowResTwoDCNSApps,Router_Only,d-0 ,207691.9845500018
LowResTwoDCNSApps,Router_Only,m-0-0 ,162497.36099999977
LowResTwoDCNSApps,Router_Only,m-0-1 ,162497.36099999977
LowResTwoDCNSApps,Router_Only,m-0-2 ,162497.36099999977
LowResTwoDCNSApps,Router_Only,m-0-3 ,162497.36099999977
TwoDCNSApps,Router_Proxy,cloud ,2423272.93607143
TwoDCNSApps,Router_Proxy,proxy-server ,195340.24514200224
TwoDCNSApps,Router_Proxy,d-0 ,203517.50830000086
TwoDCNSApps,Router_Proxy,m-0-0 ,164436.65099999978
TwoDCNSApps,Router_Proxy,m-0-1 ,164436.65099999978
TwoDCNSApps,Router_Proxy,m-0-2 ,164436.65099999978
TwoDCNSApps,Router_Proxy,m-0-3 ,164436.65099999978
HighResTwoDCNSApps,Router_Proxy,cloud ,2383244.136428568
HighResTwoDCNSApps,Router_Proxy,proxy-server ,199109.5514399966
HighResTwoDCNSApps,Router_Proxy,d-0 ,208173.25659999947
HighResTwoDCNSApps,Router_Proxy,m-0-0 ,168223.1019999993
