app_class,scenario,device,energy
TwoDCNSApps,Router_Only,cloud ,2417623.6789285704
TwoDCNSApps,Router_Only,proxy-server ,0.0
TwoDCNSApps,Router_Only,d-0 ,208288.66562666727
TwoDCNSApps,Router_Only,m-0-0 ,163143.79099999968
TwoDCNSApps,Router_Only,m-0-1 ,163143.79099999968
TwoDCNSApps,Router_Only,m-0-2 ,163143.79099999968
TwoDCNSApps,Router_Only,m-0-3 ,163143.79099999968
HighResTwoDCNSApps,Router_Only,cloud ,2382083.497142857
HighResTwoDCNSApps,Router_Only,proxy-server ,0.0
HighResTwoDCNSApps,Router_Only,d-0 ,208244.81593333
HighResTwoDCNSApps,Router_Only,m-0-0 ,165729.5109999987
HighResTwoDCNSApps,Router_Only,m-0-1 ,165729.5109999987
HighResTwoDCNSApps,Router_Only,m-0-2 ,165729.5109999987
HighResTwoDCNSApps,Router_Only,m-0-3 ,165729.5109999987
LowResTwoDCNSApps,Router_Only,cloud ,2420146.4430357106
LowResTwoDCNSApps,Router_Only,proxy-server ,0.0
LowResTwoDCNSApps,Router_Only,d-0 ,207713.85866666844
LowResTwoDCNSApps,Router_Only,m-0-0 ,161850.93099999975
LowResTwoDCNSApps,Router_Only,m-0-1 ,161850.93099999975
LowResTwoDCNSApps,Router_Only,m-0-2 ,161850.93099999975
LowResTwoDCNSApps,Router_Only,m-0-3 ,161850.93099999975
TwoDCNSApps,Router_Proxy,cloud ,2423716.93607143
TwoDCNSApps,Router_Proxy,proxy-server ,195411.09868800204
TwoDCNSApps,Router_Proxy,d-0 ,203551.69425333428
TwoDCNSApps,Router_Proxy,m-0-0 ,163143.79099999968
TwoDCNSApps,Router_Proxy,m-0-1 ,163143.79099999968
TwoDCNSApps,Router_Proxy,m-0-2 ,163143.79099999968
TwoDCNSApps,Router_Proxy,m-0-3 ,163143.79099999968
HighResTwoDCNSApps,Router_Proxy,cloud ,2384093.48285714
HighResTwoDCNSApps,Router_Proxy,proxy-server ,199252.67010666337
HighResTwoDCNSApps,Router_Proxy,d-0 ,208244.8159333327
HighResTwoDCNSApps,Router_Proxy,m-0-0 ,165729.5109999987
HighResTwoDCNSApps,Router_Proxy,m-0-1 ,165729.5109999987
HighResTwoDCNSApps,Router_Proxy,m-0-2 ,165729.5109999987
HighResTwoDCNSApps,Router_Proxy,m-0-3 ,165729.5109999987
LowResTwoDCNSApps,Router_Proxy,cloud ,2425971.4680357156
